Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Азербайджанской ж.д. (код дороги 55),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 55-001 ""ЯЛАМА (ЭКСП.) - БАЛАДЖАРЫ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Ялама (эксп.),до ст. Баладжары,,,,,,,,,,,
  1.,547508 .,Ялама (эксп.),   0  км , 192  км ,,,,,,,,,,,
  2.,545006 .,Ялама,   4  км , 188  км ,,,,,,,,,,,
  3.,549505 .,Леджет,  13  км , 179  км ,,,,,,,,,,,
  4.,545107 .,Худат,  21  км , 171  км ,,,,,,,,,,,
  5.,545307 .,Хачмас,  42  км , 150  км ,,,,,,,,,,,
  6.,545400 .,Чархи,  52  км , 140  км ,,,,,,,,,,,
  7.,545608 .,Шабран,  75  км , 117  км ,,,,,,,,,,,
  8.,545805 .,Кизил-Бурун,  94  км ,  98  км ,,,,,,,,,,,
  9.,545909 .,Сиазань, 105  км ,  87  км ,,,,,,,,,,,
 10.,549806 .,Зорат, 115  км ,  77  км ,,,,,,,,,,,
 11.,546009 .,Килязи, 125  км ,  67  км ,,,,,,,,,,,
 12.,546102 .,Ситал-Чай, 135  км ,  57  км ,,,,,,,,,,,
 13.,546901 .,Г. З. Тагиев-Сортировочная, 151  км ,  41  км ,,,,,,,,,,,
 14.,546302 .,Гаджи Зейналабдин, 156  км ,  36  км ,,,,,,,,,,,
 15.,546403 .,Сумгаит, 167  км ,  25  км ,,,,,,,,,,,
 16.,546600 .,Гюздек, 177  км ,  15  км ,,,,,,,,,,,
 17.,546615 .,ОП Платформа 2637 км, 182  км ,  10  км ,,,,,,,,,,,
 18.,546621 .,Заводская (п), 184  км ,   8  км ,,,,,,,,,,,
 19.,546704 .,Хырдалан, 186  км ,   6  км ,,,,,,,,,,,
 20.,546808 .,Баладжары, 192  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  2) участок 55-002 ""БАЛАДЖАРЫ - АЛЯТ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Баладжары,до ст. Алят,,,,,,,,,,,
  1.,546808 .,Баладжары,   0  км ,  69  км ,,,,,,,,,,,
  2.,546812 .,ОП Платформа 526 км,   8  км ,  61  км ,,,,,,,,,,,
