Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Белорусской ж.д. (код дороги 13),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 13-001 ""ГРОДНО - МОСТЫ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Гродно,до ст. Мосты,,,,,,,,,,,
  1.,135208 .,Гродно,   0  км ,  58  км ,,,,,,,,,,,
  2.,135354 .,ОП Полесский Парк,   1  км ,  57  км ,,,,,,,,,,,
  3.,135301 .,Аульс,   8  км ,  50  км ,,,,,,,,,,,
  4.,135316 .,ОП Мурованка,  13  км ,  45  км ,,,,,,,,,,,
  5.,135320 .,Завадичи,  15  км ,  43  км ,,,,,,,,,,,
  6.,135335 .,Житомля (рзд),  20  км ,  38  км ,,,,,,,,,,,
  7.,135349 .,ОП Бирюличи,  25  км ,  33  км ,,,,,,,,,,,
  8.,135405 .,Скидель,  30  км ,  28  км ,,,,,,,,,,,
  9.,135415 .,ОП Хвойняны,  35  км ,  23  км ,,,,,,,,,,,
 10.,135424 .,Черлена (рзд),  40  км ,  18  км ,,,,,,,,,,,
 11.,135439 .,ОП Дубно,  46  км ,  12  км ,,,,,,,,,,,
 12.,135443 .,ОП Заполье,  52  км ,   6  км ,,,,,,,,,,,
 13.,137203 .,Мосты,  58  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  2) участок 13-002 ""ГРОДНО - ПОРЕЧЬЕ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Гродно,до ст. Поречье,,,,,,,,,,,
  1.,135208 .,Гродно,   0  км ,  32  км ,,,,,,,,,,,
  2.,135354 .,ОП Полесский Парк,   1  км ,  31  км ,,,,,,,,,,,
  3.,135212 .,ОП Каплица,   7  км ,  25  км ,,,,,,,,,,,
  4.,135227 .,ОП Богушевка,  13  км ,  19  км ,,,,,,,,,,,
  5.,135231 .,ОП Рыбница,  21  км ,  11  км ,,,,,,,,,,,
  6.,134915 .,ОП Пересельцы,  24  км ,   8  км ,,,,,,,,,,,
  7.,134924 .,ОП Лосево,  28  км ,   4  км ,,,,,,,,,,,
  8.,134972 .,Поречье,  32  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
