Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Восточно-Сибирской ж.д. (код дороги 92),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 92-001 ""ТАЙШЕТ - ИРКУТСК-ПАССАЖИРСКИЙ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Тайшет,до ст. Иркутск-Пассажирский,,,,,,,,,,,
  1.,920002 .,Тайшет,   0  км , 670  км ,,,,,,,,,,,
  2.,920074 .,ОП Вагонное Депо,   3  км , 667  км ,,,,,,,,,,,
  3.,920017 .,ОП Приемоотправочный Парк,   6  км , 664  км ,,,,,,,,,,,
  4.,920021 .,ОП Лаврентьево,   9  км , 661  км ,,,,,,,,,,,
  5.,920055 .,ОП Дачи,  13  км , 657  км ,,,,,,,,,,,
  6.,920407 .,Байроновка,  22  км , 648  км ,,,,,,,,,,,
  7.,920411 .,ОП Шелехово,  31  км , 639  км ,,,,,,,,,,,
  8.,920500 .,Разгон,  40  км , 630  км ,,,,,,,,,,,
  9.,920642 .,Облепиха,  49  км , 621  км ,,,,,,,,,,,
 10.,920619 .,ОП Моховой,  62  км , 608  км ,,,,,,,,,,,
 11.,920623 .,ОП Ост. Пункт 4580 км,  65  км , 605  км ,,,,,,,,,,,
 12.,920638 .,ОП Старый Алзамай,  70  км , 600  км ,,,,,,,,,,,
 13.,920708 .,Алзамай,  71  км , 599  км ,,,,,,,,,,,
 14.,920712 .,ОП Ясный Хутор,  74  км , 596  км ,,,,,,,,,,,
 15.,920820 .,ОП Алгашет,  81  км , 589  км ,,,,,,,,,,,
 16.,920816 .,ОП Ост. Пункт 4604 км,  89  км , 581  км ,,,,,,,,,,,
 17.,920905 .,Замзор,  92  км , 578  км ,,,,,,,,,,,
 18.,920918 .,ОП Ост. Пункт 4611 км,  96  км , 574  км ,,,,,,,,,,,
 19.,920924 .,ОП Ост. Пункт 4615 км, 100  км , 570  км ,,,,,,,,,,,
 20.,920657 .,ОП Загорье, 102  км , 568  км ,,,,,,,,,,,
 21.,920939 .,ОП Заимка, 106  км , 564  км ,,,,,,,,,,,
 22.,920943 .,ОП Болотный, 109  км , 561  км ,,,,,,,,,,,
 23.,920958 .,Камышет, 114  км , 556  км ,,,,,,,,,,,
 24.,921024 .,ОП Ост. Пункт 4636 км, 121  км , 549  км ,,,,,,,,,,,
 25.,921039 .,ОП Ост. Пункт 4640 км, 125  км , 545  км ,,,,,,,,,,,
 26.,921013 .,ОП Хохлуша, 128  км , 542  км ,,,,,,,,,,,
 27.,921109 .,Ук, 134  км , 536  км ,,,,,,,,,,,
 28.,921113 .,ОП Ост. Пункт 4655 км, 140  км , 530  км ,,,,,,,,,,,
 29.,921128 .,ОП Мара, 145  км , 525  км ,,,,,,,,,,,
 30.,921132 .,ОП Ост. Пункт 4663 км, 148  км , 522  км ,,,,,,,,,,,
 31.,921147 .,Курят, 153  км , 517  км ,,,,,,,,,,,
 32.,921151 .,ОП Гурбей, 156  км , 514  км ,,,,,,,,,,,
 33.,921236 .,ОП Оп 4675 км, 160  км , 510  км ,,,,,,,,,,,
 34.,921166 .,ОП Зауват, 162  км , 508  км ,,,,,,,,,,,
 35.,921202 .,Нижнеудинск, 164  км , 506  км ,,,,,,,,,,,
 36.,921217 .,ОП Рубахино, 169  км , 501  км ,,,,,,,,,,,
 37.,921306 .,Уда II, 172  км , 498  км ,,,,,,,,,,,
 38.,921310 .,ОП Муксут, 177  км , 493  км ,,,,,,,,,,,
 39.,921325 .,ОП Ост. Пункт 4694 км, 179  км , 491  км ,,,,,,,,,,,
 40.,921359 .,ОП Ост. Пункт 4696 км, 181  км , 489  км ,,,,,,,,,,,
 41.,921332 .,ОП Тайгинский, 184  км , 486  км ,,,,,,,,,,,
 42.,921363 .,Хингуй, 187  км , 483  км ,,,,,,,,,,,
 43.,921414 .,ОП Лесной, 194  км , 476  км ,,,,,,,,,,,
 44.,921448 .,ОП Ост. Пункт 4711 км, 196  км , 474  км ,,,,,,,,,,,
 45.,921429 .,ОП Кадуй, 200  км , 470  км ,,,,,,,,,,,
 46.,921433 .,ОП Ост. Пункт 4721 км, 206  км , 464  км ,,,,,,,,,,,
 47.,921503 .,Худоеланская, 211  км , 459  км ,,,,,,,,,,,
 48.,921518 .,ОП Победа, 218  км , 452  км ,,,,,,,,,,,
 49.,921522 .,ОП Талый Ключ, 222  км , 448  км ,,,,,,,,,,,
 50.,921541 .,ОП Вершина, 226  км , 444  км ,,,,,,,,,,,
 51.,921537 .,ОП Ост. Пункт 4742 км, 227  км , 443  км ,,,,,,,,,,,
 52.,921607 .,Шеберта, 228  км , 442  км ,,,,,,,,,,,
 53.,921611 .,ОП Старая Шеберта, 231  км , 439  км ,,,,,,,,,,,
 54.,921626 .,ОП Варяг, 236  км , 434  км ,,,,,,,,,,,
 55.,921700 .,Будагово, 247  км , 423  км ,,,,,,,,,,,
 56.,921715 .,ОП Трактово-Курзан, 253  км , 417  км ,,,,,,,,,,,
 57.,921804 .,Утай, 262  км , 408  км ,,,,,,,,,,,
 58.,921819 .,ОП Ост. Пункт 4784 км, 269  км , 401  км ,,,,,,,,,,,
 59.,921908 .,Котик, 271  км , 399  км ,,,,,,,,,,,
 60.,921912 .,ОП Ост. Пункт 4790 км, 275  км , 395  км ,,,,,,,,,,,
 61.,922008 .,Тулун, 280  км , 390  км ,,,,,,,,,,,
 62.,922012 .,ОП Пригородная, 285  км , 385  км ,,,,,,,,,,,
 63.,922027 .,ОП Речка Ия, 287  км , 383  км ,,,,,,,,,,,
 64.,922101 .,Нюра, 292  км , 378  км ,,,,,,,,,,,
 65.,922116 .,ОП Ост. Пункт 4811 км, 296  км , 374  км ,,,,,,,,,,,
 66.,922205 .,Азей, 300  км , 370  км ,,,,,,,,,,,
 67.,922219 .,ОП Ост. Пункт 4820 км, 305  км , 365  км ,,,,,,,,,,,
 68.,922224 .,ОП Ост. Пункт 4824 км, 309  км , 361  км ,,,,,,,,,,,
 69.,922309 .,Шуба, 311  км , 359  км ,,,,,,,,,,,
 70.,922313 .,ОП Ост. Пункт 4832 км, 317  км , 353  км ,,,,,,,,,,,
 71.,922402 .,Шерагуль, 322  км , 348  км ,,,,,,,,,,,
 72.,922506 .,Тулюшка, 330  км , 340  км ,,,,,,,,,,,
 73.,922525 .,ОП Ост. Пункт 4847 км, 332  км , 338  км ,,,,,,,,,,,
 74.,922510 .,ОП Ост. Пункт 4853 км, 338  км , 332  км ,,,,,,,,,,,
 75.,922538 .,ОП Мингатуй, 341  км , 329  км ,,,,,,,,,,,
 76.,922614 .,ОП Байкальский тракт, 348  км , 322  км ,,,,,,,,,,,
 77.,922629 .,ОП Ост. Пункт 4870 км, 355  км , 315  км ,,,,,,,,,,,
 78.,922703 .,Куйтун, 359  км , 311  км ,,,,,,,,,,,
 79.,922718 .,ОП Ост. Пункт 4882 км, 367  км , 303  км ,,,,,,,,,,,
 80.,922807 .,Харик, 373  км , 297  км ,,,,,,,,,,,
 81.,922811 .,ОП Садовый, 380  км , 290  км ,,,,,,,,,,,
 82.,922826 .,ОП Ост. Пункт 4899 км, 384  км , 286  км ,,,,,,,,,,,
 83.,922900 .,Кимильтей, 391  км , 279  км ,,,,,,,,,,,
 84.,922830 .,ОП Ост. Пункт 4909 км, 394  км , 276  км ,,,,,,,,,,,
 85.,922915 .,ОП Карымск, 396  км , 274  км ,,,,,,,,,,,
 86.,923000 .,Перевоз, 405  км , 265  км ,,,,,,,,,,,
 87.,923015 .,ОП Ост. Пункт 4921 км, 406  км , 264  км ,,,,,,,,,,,
 88.,923029 .,ОП Ост. Пункт 4925 км, 410  км , 260  км ,,,,,,,,,,,
 89.,923034 .,ОП Ост. Пункт 4926 км, 411  км , 259  км ,,,,,,,,,,,
 90.,923049 .,ОП Саянскхимпром, 412  км , 258  км ,,,,,,,,,,,
 91.,923104 .,Зима, 419  км , 251  км ,,,,,,,,,,,
 92.,923119 .,ОП Ока, 423  км , 247  км ,,,,,,,,,,,
 93.,923142 .,ОП Чиркино, 427  км , 243  км ,,,,,,,,,,,
 94.,923157 .,ОП Харагун, 431  км , 239  км ,,,,,,,,,,,
 95.,923123 .,ОП Грязная Падь, 440  км , 230  км ,,,,,,,,,,,
 96.,923138 .,Делюр, 443  км , 227  км ,,,,,,,,,,,
 97.,930305 .,Тыреть, 453  км , 217  км ,,,,,,,,,,,
 98.,930319 .,ОП Заимка Мамуркова, 456  км , 214  км ,,,,,,,,,,,
 99.,930324 .,ОП Халярта, 464  км , 206  км ,,,,,,,,,,,
100.,930409 .,Залари, 474  км , 196  км ,,,,,,,,,,,
101.,930413 .,Хотхор, 489  км , 181  км ,,,,,,,,,,,
102.,930428 .,ОП Ост. Пункт 5010 км, 494  км , 176  км ,,,,,,,,,,,
103.,930521 .,Головинская, 496  км , 174  км ,,,,,,,,,,,
104.,930517 .,ОП Хартовская, 501  км , 169  км ,,,,,,,,,,,
105.,930606 .,Кутулик, 505  км , 165  км ,,,,,,,,,,,
106.,930610 .,ОП Райпотребсоюз, 507  км , 163  км ,,,,,,,,,,,
107.,930663 .,ОП Золотухино, 510  км , 160  км ,,,,,,,,,,,
108.,930625 .,Забитуй, 517  км , 153  км ,,,,,,,,,,,
109.,930638 .,ОП Ноты, 522  км , 148  км ,,,,,,,,,,,
110.,930644 .,ОП Трактовый, 526  км , 144  км ,,,,,,,,,,,
111.,930659 .,ОП Осинцево, 530  км , 140  км ,,,,,,,,,,,
112.,930818 .,ОП Жаргон, 534  км , 136  км ,,,,,,,,,,,
113.,931469 .,ОП Производственная База, 538  км , 132  км ,,,,,,,,,,,
114.,930907 .,Черемхово, 539  км , 131  км ,,,,,,,,,,,
115.,930979 .,ОП Рудоремонтный завод, 543  км , 127  км ,,,,,,,,,,,
116.,931312 .,Гришево, 546  км , 124  км ,,,,,,,,,,,
117.,931401 .,Касьяновка, 551  км , 119  км ,,,,,,,,,,,
118.,931416 .,ОП Ост. Пункт 5068 км, 553  км , 117  км ,,,,,,,,,,,
119.,931420 .,ОП Восточная, 555  км , 115  км ,,,,,,,,,,,
120.,931448 .,ОП Витух, 559  км , 111  км ,,,,,,,,,,,
121.,931435 .,ОП Черепановка, 562  км , 108  км ,,,,,,,,,,,
122.,931505 .,Половина, 566  км , 104  км ,,,,,,,,,,,
123.,931514 .,ОП Заимка, 572  км ,  98  км ,,,,,,,,,,,
124.,931524 .,ОП Ткаченко, 577  км ,  93  км ,,,,,,,,,,,
125.,931609 .,Белая, 583  км ,  87  км ,,,,,,,,,,,
126.,931613 .,ОП Бытовик, 585  км ,  85  км ,,,,,,,,,,,
127.,931702 .,Мальта, 589  км ,  81  км ,,,,,,,,,,,
128.,931717 .,ОП Мальтинка, 594  км ,  76  км ,,,,,,,,,,,
129.,931721 .,ОП Лужки, 596  км ,  74  км ,,,,,,,,,,,
130.,931736 .,ОП Зеленый Городок, 599  км ,  71  км ,,,,,,,,,,,
131.,931806 .,Усолье-Сибирское, 602  км ,  68  км ,,,,,,,,,,,
132.,931810 .,ОП Тельминка, 607  км ,  63  км ,,,,,,,,,,,
133.,931900 .,Тельма, 611  км ,  59  км ,,,,,,,,,,,
134.,931929 .,ОП Путейская, 617  км ,  53  км ,,,,,,,,,,,
135.,931914 .,ОП Биликтуй, 621  км ,  49  км ,,,,,,,,,,,
136.,932005 .,Китой, 624  км ,  46  км ,,,,,,,,,,,
137.,932014 .,ОП Майск, 627  км ,  43  км ,,,,,,,,,,,
138.,932029 .,Ангарск, 630  км ,  40  км ,,,,,,,,,,,
139.,932033 .,ОП Южная, 632  км ,  38  км ,,,,,,,,,,,
140.,932207 .,Суховская, 636  км ,  34  км ,,,,,,,,,,,
141.,932211 .,ОП Совхозная, 639  км ,  31  км ,,,,,,,,,,,
142.,932226 .,ОП Карьер, 643  км ,  27  км ,,,,,,,,,,,
143.,932508 .,Мегет, 648  км ,  22  км ,,,,,,,,,,,
144.,932512 .,ОП Вересовка, 651  км ,  19  км ,,,,,,,,,,,
145.,932599 .,ОП ПМС-45, 653  км ,  17  км ,,,,,,,,,,,
146.,932601 .,Батарейная, 655  км ,  15  км ,,,,,,,,,,,
147.,932616 .,ОП Горка, 657  км ,  13  км ,,,,,,,,,,,
148.,932620 .,ОП Компрессорная, 659  км ,  11  км ,,,,,,,,,,,
149.,932635 .,ОП Заводская, 661  км ,   9  км ,,,,,,,,,,,
150.,930004 .,Иркутск-Сортировочный, 662  км ,   8  км ,,,,,,,,,,,
