Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Горьковской ж.д. (код дороги 24),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 24-001 ""ПЕТУШКИ - ВЛАДИМИР"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Петушки,до ст. Владимир,,,,,,,,,,,
  1.,262102 .,Петушки,   0  км ,  65  км ,,,,,,,,,,,
  2.,262206 .,Костерево,   9  км ,  56  км ,,,,,,,,,,,
  3.,262210 .,Болдино,  17  км ,  48  км ,,,,,,,,,,,
  4.,262314 .,ОП Сушнево,  21  км ,  44  км ,,,,,,,,,,,
  5.,262329 .,ОП Красная Охота,  25  км ,  40  км ,,,,,,,,,,,
  6.,262403 .,Ундол,  35  км ,  30  км ,,,,,,,,,,,
  7.,262418 .,ОП УГОР,  45  км ,  20  км ,,,,,,,,,,,
  8.,262511 .,Колокша,  48  км ,  17  км ,,,,,,,,,,,
  9.,262600 .,Юрьевец,  54  км ,  11  км ,,,,,,,,,,,
 10.,262704 .,Владимир,  65  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  2) участок 24-002 ""ВЛАДИМИР - НОВКИ I"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Владимир,до ст. Новки I,,,,,,,,,,,
  1.,262704 .,Владимир,   0  км ,  49  км ,,,,,,,,,,,
  2.,262719 .,ОП Автоприбор,   5  км ,  44  км ,,,,,,,,,,,
  3.,262723 .,ОП Боголюбово,  11  км ,  38  км ,,,,,,,,,,,
  4.,262812 .,ОП Лемешки,  15  км ,  34  км ,,,,,,,,,,,
  5.,262827 .,ОП Выселки,  18  км ,  31  км ,,,,,,,,,,,
  6.,262831 .,ОП Карякинская,  20  км ,  29  км ,,,,,,,,,,,
  7.,262941 .,Второво,  28  км ,  21  км ,,,,,,,,,,,
  8.,262916 .,ОП Новая Жизнь,  33  км ,  16  км ,,,,,,,,,,,
  9.,262920 .,Тереховицы,  38  км ,  11  км ,,,,,,,,,,,
 10.,262935 .,ОП Камешково,  43  км ,   6  км ,,,,,,,,,,,
 11.,263001 .,Новки I,  49  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  3) участок 24-003 ""НОВКИ I - КОВРОВ I"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Новки I,до ст. Ковров I,,,,,,,,,,,
  1.,263001 .,Новки I,   0  км ,  15  км ,,,,,,,,,,,
  2.,263020 .,ОП ДАРЬИНО ОЗЕРО,   3  км ,  12  км ,,,,,,,,,,,
  3.,263035 .,ОП Сергейцево,   7  км ,   8  км ,,,,,,,,,,,
  4.,263047 .,Федулово,  10  км ,   5  км ,,,,,,,,,,,
  5.,263054 .,ОП КЛЯЗЬМА,  13  км ,   2  км ,,,,,,,,,,,
  6.,263105 .,Ковров I,  15  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  4) участок 24-004 ""КОВРОВ I - НИЖНИЙ НОВГОРОД-СОРТИРОВОЧНЫЙ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Ковров I,до ст. Нижний Новгород-Сортировочный,,,,,,,,,,,
  1.,263105 .,Ковров I,   0  км , 178  км ,,,,,,,,,,,
  2.,263113 .,ОП Ковров II,   5  км , 173  км ,,,,,,,,,,,
  3.,263213 .,ОП ГОСТЮХИНСКИЙ КАРЬЕР,   7  км , 171  км ,,,,,,,,,,,
  4.,263340 .,ОП Гостюхино,  10  км , 168  км ,,,,,,,,,,,
  5.,263317 .,ОП Осипово,  16  км , 162  км ,,,,,,,,,,,
  6.,263321 .,ОП МОШАЧИХА,  19  км , 159  км ,,,,,,,,,,,
  7.,263336 .,ОП Крестниково,  24  км , 154  км ,,,,,,,,,,,
  8.,263355 .,Сарыево,  29  км , 149  км ,,,,,,,,,,,
  9.,263410 .,ОП Ост. Пункт 288 км,  34  км , 144  км ,,,,,,,,,,,
 10.,263425 .,Мстера,  40  км , 138  км ,,,,,,,,,,,
 11.,263432 .,ОП Сеньково,  51  км , 127  км ,,,,,,,,,,,
 12.,263707 .,Вязники,  60  км , 118  км ,,,,,,,,,,,
 13.,263711 .,ОП КАМЕНЕВО,  70  км , 108  км ,,,,,,,,,,,
 14.,263828 .,ОП Денисово,  76  км , 102  км ,,,,,,,,,,,
 15.,263815 .,ОП Им. Войкова,  83  км ,  95  км ,,,,,,,,,,,
 16.,263923 .,Чулково,  88  км ,  90  км ,,,,,,,,,,,
 17.,263919 .,ОП Молодники,  96  км ,  82  км ,,,,,,,,,,,
 18.,264004 .,Гороховец, 108  км ,  70  км ,,,,,,,,,,,
 19.,264019 .,ОП Галицкая, 111  км ,  67  км ,,,,,,,,,,,
 20.,264108 .,Ильино, 118  км ,  60  км ,,,,,,,,,,,
 21.,264146 .,ОП Ильиногорская, 123  км ,  55  км ,,,,,,,,,,,
 22.,264150 .,ОП Горбатовка, 128  км ,  50  км ,,,,,,,,,,,
 23.,264502 .,Сейма, 135  км ,  43  км ,,,,,,,,,,,
 24.,264517 .,ОП ЮГАНЕЦ, 137  км ,  41  км ,,,,,,,,,,,
 25.,264536 .,ОП Решетиха, 142  км ,  36  км ,,,,,,,,,,,
 26.,264521 .,Жолнино, 144  км ,  34  км ,,,,,,,,,,,
 27.,264610 .,ОП Пушкино, 149  км ,  29  км ,,,,,,,,,,,
 28.,264704 .,Дзержинск, 153  км ,  25  км ,,,,,,,,,,,
 29.,264714 .,ОП Калининская, 157  км ,  21  км ,,,,,,,,,,,
 30.,264803 .,Игумново, 161  км ,  17  км ,,,,,,,,,,,
 31.,264818 .,ОП Ворошиловская, 164  км ,  14  км ,,,,,,,,,,,
 32.,264837 .,ОП АВИАБОР, 166  км ,  12  км ,,,,,,,,,,,
 33.,264606 .,Доскино, 171  км ,   7  км ,,,,,,,,,,,
 34.,260018 .,ОП ОРЛОВКА, 174  км ,   4  км ,,,,,,,,,,,
 35.,260022 .,ОП КОНДУКТОРСКАЯ, 177  км ,   1  км ,,,,,,,,,,,
 36.,260003 .,Нижний Новгород-Сортировочный, 178  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  5) участок 24-005 ""НИЖНИЙ НОВГОРОД-СОРТИРОВОЧНЫЙ - КОТЕЛЬНИЧ I"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Нижний Новгород-Сортировочный,до ст. Котельнич I,,,,,,,,,,,
  1.,260003 .,Нижний Новгород-Сортировочный,   0  км , 378  км ,,,,,,,,,,,
  2.,260037 .,ОП КУЗБАССКАЯ,   2  км , 376  км ,,,,,,,,,,,
  3.,260200 .,Нижний Новгород-Московский,   9  км , 369  км ,,,,,,,,,,,
  4.,260215 .,ОП Волга,  14  км , 364  км ,,,,,,,,,,,
  5.,265308 .,Толоконцево,  20  км , 358  км ,,,,,,,,,,,
  6.,265312 .,ОП Рекшино,  26  км , 352  км ,,,,,,,,,,,
  7.,265401 .,Киселиха,  29  км , 349  км ,,,,,,,,,,,
  8.,265416 .,ОП Шпалозавод,  34  км , 344  км ,,,,,,,,,,,
  9.,265505 .,Каликино,  37  км , 341  км ,,,,,,,,,,,
 10.,265609 .,Линда,  45  км , 333  км ,,,,,,,,,,,
 11.,265613 .,ОП Кеза,  51  км , 327  км ,,,,,,,,,,,
 12.,265628 .,Тарасиха,  55  км , 323  км ,,,,,,,,,,,
 13.,265717 .,ОП Осинки,  67  км , 311  км ,,,,,,,,,,,
 14.,265721 .,ОП ДЕЯНОВО,  76  км , 302  км ,,,,,,,,,,,
 15.,265806 .,Семенов,  78  км , 300  км ,,,,,,,,,,,
 16.,265810 .,Пост 75 км,  87  км , 291  км ,,,,,,,,,,,
 17.,265900 .,Керженец,  95  км , 283  км ,,,,,,,,,,,
 18.,265914 .,ОП Озеро, 100  км , 278  км ,,,,,,,,,,,
 19.,265929 .,ОП Каменный Овраг, 106  км , 272  км ,,,,,,,,,,,
 20.,266005 .,Сухобезводное, 117  км , 261  км ,,,,,,,,,,,
 21.,266014 .,ОП Перехватка, 129  км , 249  км ,,,,,,,,,,,
 22.,266207 .,Ветлужская, 138  км , 240  км ,,,,,,,,,,,
 23.,266211 .,ОП Быструха, 149  км , 229  км ,,,,,,,,,,,
 24.,266300 .,Шеманиха, 160  км , 218  км ,,,,,,,,,,,
 25.,266315 .,ОП Минеевка, 172  км , 206  км ,,,,,,,,,,,
 26.,266508 .,Уста, 183  км , 195  км ,,,,,,,,,,,
 27.,266601 .,Урень, 192  км , 186  км ,,,,,,,,,,,
 28.,266705 .,Арья, 204  км , 174  км ,,,,,,,,,,,
 29.,266710 .,ОП Шалега, 212  км , 166  км ,,,,,,,,,,,
 30.,266724 .,Обход, 221  км , 157  км ,,,,,,,,,,,
 31.,266813 .,ОП Буренино, 231  км , 147  км ,,,,,,,,,,,
 32.,266917 .,Зубанья, 240  км , 138  км ,,,,,,,,,,,
 33.,267002 .,Шахунья, 249  км , 129  км ,,,,,,,,,,,
 34.,267017 .,ОП Шестериково, 259  км , 119  км ,,,,,,,,,,,
 35.,267106 .,Тоншаево, 268  км , 110  км ,,,,,,,,,,,
 36.,267125 .,ОП Ост. Пункт 701 км, 271  км , 107  км ,,,,,,,,,,,
 37.,267110 .,ОП Янгарка, 277  км , 101  км ,,,,,,,,,,,
