Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Грузинской ж.д. (код дороги 57),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 57-001 ""ГАНТИАДИ (ЭКСП.) - СЕНАКИ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Гантиади (эксп.),до ст. Сенаки (эксп.),,,,,,,,,,,
  1.,574704 .,Гантиади (эксп.),   0  км , 236  км ,,,,,,,,,,,
  2.,574418 .,ОП Леселидзе,   3  км , 233  км ,,,,,,,,,,,
  3.,574403 .,Гантиади,   9  км , 227  км ,,,,,,,,,,,
  4.,574348 .,ОП Синатле,  14  км , 222  км ,,,,,,,,,,,
  5.,574333 .,Гребешок (рзд),  18  км , 218  км ,,,,,,,,,,,
  6.,574329 .,ОП Церетели,  21  км , 215  км ,,,,,,,,,,,
  7.,574314 .,ОП Гагра-Павильон,  25  км , 211  км ,,,,,,,,,,,
  8.,574304 .,Гагра,  30  км , 206  км ,,,,,,,,,,,
  9.,574225 .,ОП Багнашени,  33  км , 203  км ,,,,,,,,,,,
 10.,574210 .,ОП Пицунда,  36  км , 200  км ,,,,,,,,,,,
 11.,574206 .,Бзыбь,  38  км , 198  км ,,,,,,,,,,,
 12.,574174 .,ОП Щебзавод,  40  км , 196  км ,,,,,,,,,,,
 13.,574161 .,ОП Калдахвара,  44  км , 192  км ,,,,,,,,,,,
 14.,574155 .,Мюссера (рзд),  45  км , 191  км ,,,,,,,,,,,
 15.,574140 .,ОП Блабурхва,  49  км , 187  км ,,,,,,,,,,,
 16.,574136 .,ОП Бармыш,  52  км , 184  км ,,,,,,,,,,,
 17.,574121 .,Звандрипш,  57  км , 179  км ,,,,,,,,,,,
 18.,574117 .,ОП Хыпста,  63  км , 173  км ,,,,,,,,,,,
 19.,574102 .,Гудаута,  68  км , 168  км ,,,,,,,,,,,
 20.,574066 .,ОП Аапста,  71  км , 165  км ,,,,,,,,,,,
 21.,574051 .,Арсаул (рзд),  79  км , 157  км ,,,,,,,,,,,
 22.,574047 .,ОП Псырцха,  85  км , 151  км ,,,,,,,,,,,
 23.,574032 .,Новый Афон,  86  км , 150  км ,,,,,,,,,,,
 24.,574028 .,ОП Гвандра,  90  км , 146  км ,,,,,,,,,,,
 25.,574013 .,ОП Цицквара,  93  км , 143  км ,,,,,,,,,,,
 26.,574009 .,Ешера,  97  км , 139  км ,,,,,,,,,,,
 27.,573913 .,ОП Ачадара, 100  км , 136  км ,,,,,,,,,,,
 28.,573909 .,Сухуми, 103  км , 133  км ,,,,,,,,,,,
 29.,573843 .,ОП Бараташвили, 105  км , 131  км ,,,,,,,,,,,
 30.,573839 .,Келасури, 110  км , 126  км ,,,,,,,,,,,
 31.,573824 .,ОП Платформа 2110 км, 114  км , 122  км ,,,,,,,,,,,
 32.,573813 .,ОП Агудзера, 117  км , 119  км ,,,,,,,,,,,
 33.,573805 .,Дранда, 124  км , 112  км ,,,,,,,,,,,
 34.,573716 .,ОП Кодор, 127  км , 109  км ,,,,,,,,,,,
 35.,573701 .,Адзюбжа (рзд), 133  км , 103  км ,,,,,,,,,,,
 36.,573612 .,ОП Киндги, 139  км ,  97  км ,,,,,,,,,,,
 37.,573608 .,Тамыш, 144  км ,  92  км ,,,,,,,,,,,
 38.,573345 .,ОП Араду, 153  км ,  83  км ,,,,,,,,,,,
 39.,573307 .,Очамчире, 157  км ,  79  км ,,,,,,,,,,,
 40.,573218 .,ОП Анария, 165  км ,  71  км ,,,,,,,,,,,
 41.,573203 .,Ачигвари (рзд), 172  км ,  64  км ,,,,,,,,,,,
 42.,573114 .,ОП Шешелети, 174  км ,  62  км ,,,,,,,,,,,
 43.,573109 .,Гали, 181  км ,  55  км ,,,,,,,,,,,
 44.,572821 .,ОП Салхино (рзд), 187  км ,  49  км ,,,,,,,,,,,
 45.,572817 .,ОП Тагилони, 190  км ,  46  км ,,,,,,,,,,,
 46.,572802 .,Ингири, 197  км ,  39  км ,,,,,,,,,,,
 47.,572713 .,ОП Цайши, 202  км ,  34  км ,,,,,,,,,,,
 48.,572696 .,ОП Цацхви (рзд), 207  км ,  29  км ,,,,,,,,,,,
 49.,572618 .,ОП Хамискура, 211  км ,  25  км ,,,,,,,,,,,
 50.,572520 .,ОП Хета, 214  км ,  22  км ,,,,,,,,,,,
 51.,572516 .,ОП Мунчия, 217  км ,  19  км ,,,,,,,,,,,
 52.,572501 .,Хоби, 223  км ,  13  км ,,,,,,,,,,,
 53.,571937 .,ОП Земо-Квалони, 228  км ,   8  км ,,,,,,,,,,,
 54.,571922 .,ОП Циви Менджи, 232  км ,   4  км ,,,,,,,,,,,
 55.,571833 .,Сенаки (эксп.), 236  км ,   0  км ,,,,,,,,,,,
 56.,571903 .,Сенаки, 236  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  2) участок 57-002 ""СЕНАКИ - САМТРЕДИА"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Сенаки (эксп.),до ст. Самтредиа,,,,,,,,,,,
  1.,571833 .,Сенаки (эксп.),   0  км ,  28  км ,,,,,,,,,,,
  2.,571903 .,Сенаки,   0  км ,  28  км ,,,,,,,,,,,
  3.,571814 .,ОП Носири,   5  км ,  23  км ,,,,,,,,,,,
  4.,571808 .,Агур-Кархана,   8  км ,  20  км ,,,,,,,,,,,
