Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Дальневосточной ж.д. (код дороги 96),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 96-001 ""ХАНИ - ТЫНДА"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Хани,до ст. Тында,,,,,,,,,,,
  1.,904601 .,Хани,   0  км , 486  км ,,,,,,,,,,,
  2.,904620 .,Усколь (рзд),  12  км , 474  км ,,,,,,,,,,,
  3.,908000 .,Олекма,  55  км , 431  км ,,,,,,,,,,,
  4.,904688 .,Разъезд 1945 км,  81  км , 405  км ,,,,,,,,,,,
  5.,904718 .,Тас-Юрях (рзд), 129  км , 357  км ,,,,,,,,,,,
  6.,904705 .,Юктали, 149  км , 337  км ,,,,,,,,,,,
  7.,904902 .,Талума, 170  км , 316  км ,,,,,,,,,,,
  8.,904809 .,Дюгабуль, 194  км , 292  км ,,,,,,,,,,,
  9.,908706 .,Чильчи, 257  км , 229  км ,,,,,,,,,,,
 10.,908710 .,Марихта (рзд), 280  км , 206  км ,,,,,,,,,,,
 11.,909003 .,Лопча, 306  км , 180  км ,,,,,,,,,,,
 12.,909018 .,Эльгакан (рзд), 325  км , 161  км ,,,,,,,,,,,
 13.,909304 .,Ларба, 353  км , 133  км ,,,,,,,,,,,
 14.,909501 .,Лумбир (рзд), 378  км , 108  км ,,,,,,,,,,,
 15.,904813 .,Хорогочи, 405  км ,  81  км ,,,,,,,,,,,
 16.,905002 .,Кувыкта, 446  км ,  40  км ,,,,,,,,,,,
 17.,910021 .,Курьян (рзд), 472  км ,  14  км ,,,,,,,,,,,
 18.,910000 .,Тында, 486  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  2) участок 96-002 ""ТЫНДА - БАМОВСКАЯ (Забайкальской ж.д.)"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Тында,до ст. Бамовская,,,,,,,,,,,
  1.,910000 .,Тында,   0  км , 180  км ,,,,,,,,,,,
  2.,910208 .,Сети (рзд),  20  км , 160  км ,,,,,,,,,,,
  3.,910335 .,Беленькая,  47  км , 133  км ,,,,,,,,,,,
  4.,910316 .,Заболотное (рзд),  67  км , 113  км ,,,,,,,,,,,
  5.,910424 .,Аносовская,  98  км ,  82  км ,,,,,,,,,,,
  6.,910417 .,Пурикан, 115  км ,  65  км ,,,,,,,,,,,
  7.,910602 .,Муртыгит, 131  км ,  49  км ,,,,,,,,,,,
  8.,910655 .,Мохортов (рзд), 151  км ,  29  км ,,,,,,,,,,,
  9.,910706 .,Штурм (рзд), 162  км ,  18  км ,,,,,,,,,,,
 10.,951602 .,Бамовская, 180  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  3) участок 96-003 ""ТЫНДА - БЕСТУЖЕВО (РЗД)"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Тында,до ст. Бестужево (рзд),,,,,,,,,,,
  1.,910000 .,Тында,   0  км ,  27  км ,,,,,,,,,,,
  2.,910802 .,Шахтаум,  12  км ,  15  км ,,,,,,,,,,,
  3.,910833 .,Бестужево (рзд),  27  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  4) участок 96-004 ""БЕСТУЖЕВО (РЗД) - НЕРЮНГРИ-ПАССАЖИРСКАЯ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Бестужево (рзд),до ст. Нерюнгри-Пассажирская,,,,,,,,,,,
  1.,910833 .,Бестужево (рзд),   0  км , 202  км ,,,,,,,,,,,
  2.,910918 .,Гилюй (рзд),  19  км , 183  км ,,,,,,,,,,,
  3.,911107 .,Могот,  44  км , 158  км ,,,,,,,,,,,
  4.,911126 .,Якутский (рзд),  80  км , 122  км ,,,,,,,,,,,
  5.,911200 .,Нагорная-Якутская,  93  км , 109  км ,,,,,,,,,,,
  6.,911215 .,Аям (рзд), 113  км ,  89  км ,,,,,,,,,,,
  7.,911304 .,Золотинка, 135  км ,  67  км ,,,,,,,,,,,
  8.,911323 .,Оборчо (рзд), 177  км ,  25  км ,,,,,,,,,,,
  9.,911408 .,Беркакит, 193  км ,   9  км ,,,,,,,,,,,
 10.,911501 .,Нерюнгри-Пассажирская, 202  км ,   0  км ,,,,,,,,,,,
 11.,912103 .,Нерюнгри-Пассажирская (СТР), 202  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  5) участок 96-005 ""НЕРЮНГРИ-ПАССАЖИРСКАЯ (СТР) - НЕРЮНГРИ-ГРУЗОВАЯ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Нерюнгри-Пассажирская (СТР),до ст. Нерюнгри-Грузовая,,,,,,,,,,,
  1.,911501 .,Нерюнгри-Пассажирская,   0  км ,   8  км ,,,,,,,,,,,
  2.,912103 .,Нерюнгри-Пассажирская (СТР),   0  км ,   8  км ,,,,,,,,,,,
  3.,911605 .,Нерюнгри-Грузовая,   8  км ,   0  км ,,,,,,,,,,,
  4.,911802 .,Нерюнгри-Грузовая (СТР),   8  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  6) участок 96-006 ""БЕСТУЖЕВО (РЗД) - НОВЫЙ УРГАЛ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Бестужево (рзд),до ст. Новый Ургал,,,,,,,,,,,
  1.,910833 .,Бестужево (рзд),   0  км , 924  км ,,,,,,,,,,,
  2.,910922 .,Джелингра (рзд),  18  км , 906  км ,,,,,,,,,,,
  3.,911713 .,Амут (рзд),  42  км , 882  км ,,,,,,,,,,,
  4.,911709 .,Маревая,  61  км , 863  км ,,,,,,,,,,,
  5.,911931 .,Змейка (рзд),  84  км , 840  км ,,,,,,,,,,,
  6.,911925 .,Кудули (рзд),  97  км , 827  км ,,,,,,,,,,,
  7.,911906 .,Унаха, 120  км , 804  км ,,,,,,,,,,,
  8.,912307 .,Дипкун, 136  км , 788  км ,,,,,,,,,,,
  9.,912824 .,Десс (рзд), 151  км , 773  км ,,,,,,,,,,,
 10.,912326 .,Московский Комсомолец (рзд), 166  км , 758  км ,,,,,,,,,,,
 11.,912805 .,Тутаул, 203  км , 721  км ,,,,,,,,,,,
 12.,912913 .,Первопроходцы (рзд), 232  км , 692  км ,,,,,,,,,,,
 13.,913009 .,Им. Генерала Милько(рзд), 252  км , 672  км ,,,,,,,,,,,
 14.,913013 .,Мульмага (рзд), 269  км , 655  км ,,,,,,,,,,,
 15.,913028 .,Мульмугакан (рзд), 288  км , 636  км ,,,,,,,,,,,
 16.,913102 .,Улак (рзд), 303  км , 621  км ,,,,,,,,,,,
 17.,913206 .,Верхнезейск, 316  км , 608  км ,,,,,,,,,,,
 18.,913210 .,Апетенок (рзд), 332  км , 592  км ,,,,,,,,,,,
 19.,913225 .,Ижак (рзд), 360  км , 564  км ,,,,,,,,,,,
 20.,913232 .,Ульяновский Строитель (рзд), 383  км , 541  км ,,,,,,,,,,,
 21.,914504 .,Огорон, 405  км , 519  км ,,,,,,,,,,,
 22.,914514 .,Молдавский (рзд), 429  км , 495  км ,,,,,,,,,,,
 23.,914529 .,Улагир (рзд), 442  км , 482  км ,,,,,,,,,,,
 24.,914533 .,Мирошниченко (рзд), 459  км , 465  км ,,,,,,,,,,,
 25.,915502 .,Тунгала, 472  км , 452  км ,,,,,,,,,,,
 26.,915729 .,Камнега (рзд), 491  км , 433  км ,,,,,,,,,,,
 27.,915700 .,Дугда, 521  км , 403  км ,,,,,,,,,,,
 28.,915926 .,Нора (рзд), 546  км , 378  км ,,,,,,,,,,,
 29.,915911 .,Меун (рзд), 567  км , 357  км ,,,,,,,,,,,
 30.,915907 .,Дрогошевск, 584  км , 340  км ,,,,,,,,,,,
 31.,916153 .,Скалистый (рзд), 609  км , 315  км ,,,,,,,,,,,
 32.,916149 .,Червинка (рзд), 626  км , 298  км ,,,,,,,,,,,
 33.,916100 .,Февральск, 642  км , 282  км ,,,,,,,,,,,
 34.,916115 .,Звонкое (рзд), 661  км , 263  км ,,,,,,,,,,,
 35.,916124 .,Демченко (рзд), 685  км , 239  км ,,,,,,,,,,,
 36.,916134 .,Исакан (рзд), 708  км , 216  км ,,,,,,,,,,,
 37.,916401 .,Иса, 727  км , 197  км ,,,,,,,,,,,
 38.,916420 .,Мустах (рзд), 755  км , 169  км ,,,,,,,,,,,
 39.,916435 .,Ульма (рзд), 775  км , 149  км ,,,,,,,,,,,
 40.,916702 .,Этыркэн, 788  км , 136  км ,,,,,,,,,,,
 41.,916717 .,Амган (рзд), 805  км , 119  км ,,,,,,,,,,,
 42.,916736 .,Туюн (рзд), 837  км ,  87  км ,,,,,,,,,,,
 43.,916740 .,Стланик (рзд), 859  км ,  65  км ,,,,,,,,,,,
