Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Донецкой ж.д. (код дороги 48),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 48-001 ""ЧАПЛИНО (Приднепровской ж.д.) - ПОКРОВСК"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Чаплино,до ст. Покровск,,,,,,,,,,,
  1.,454201 .,Чаплино,   0  км ,  82  км ,,,,,,,,,,,
  2.,481618 .,ОП Ост. Пункт № 23,   7  км ,  75  км ,,,,,,,,,,,
  3.,481603 .,Просяная им. Приклонского В.В.,  12  км ,  70  км ,,,,,,,,,,,
  4.,481622 .,ОП Ост. Пункт № 21,  18  км ,  64  км ,,,,,,,,,,,
  5.,481707 .,Демурино,  24  км ,  58  км ,,,,,,,,,,,
  6.,481711 .,ОП Ост. Пункт 337 км,  27  км ,  55  км ,,,,,,,,,,,
  7.,481726 .,ОП Ост. Пункт № 19,  30  км ,  52  км ,,,,,,,,,,,
  8.,481730 .,ОП Кирпичево,  35  км ,  47  км ,,,,,,,,,,,
  9.,481745 .,ОП Ост. Пункт 347 км,  36  км ,  46  км ,,,,,,,,,,,
 10.,481755 .,ОП Ост. Пункт № 18,  39  км ,  43  км ,,,,,,,,,,,
 11.,481800 .,Межевая,  46  км ,  36  км ,,,,,,,,,,,
 12.,481821 .,ОП Ост. Пункт 364 км,  53  км ,  29  км ,,,,,,,,,,,
 13.,481834 .,ОП Фурсово,  57  км ,  25  км ,,,,,,,,,,,
 14.,481849 .,ОП Ост. Пункт № 15,  60  км ,  22  км ,,,,,,,,,,,
 15.,481904 .,Удачная,  66  км ,  16  км ,,,,,,,,,,,
 16.,481938 .,ОП Ост. пункт 377 км,  68  км ,  14  км ,,,,,,,,,,,
 17.,481919 .,ОП Ост. Пункт № 14,  71  км ,  11  км ,,,,,,,,,,,
 18.,482004 .,Покровск,  82  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  2) участок 48-002 ""ПОКРОВСК - ЦЕНТРАЛЬНАЯ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Покровск,до ст. Центральная,,,,,,,,,,,
  1.,482004 .,Покровск,   0  км ,   7  км ,,,,,,,,,,,
  2.,482042 .,Центральная,   7  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  3) участок 48-003 ""ПОКРОВСК - ДУБОВО"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Покровск,до ст. Дубово,,,,,,,,,,,
  1.,482004 .,Покровск,   0  км ,  85  км ,,,,,,,,,,,
