Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Западно-Сибирской ж.д. (код дороги 83),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 83-001 ""НАЗЫВАЕВСКАЯ - КАРБЫШЕВО I"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Называевская,до ст. Карбышево I,,,,,,,,,,,
  1.,831608 .,Называевская,   0  км , 144  км ,,,,,,,,,,,
  2.,831627 .,ОП Фомиха,  13  км , 131  км ,,,,,,,,,,,
  3.,831646 .,Кочковатский (обп),  25  км , 119  км ,,,,,,,,,,,
  4.,831665 .,ОП Черемновка,  33  км , 111  км ,,,,,,,,,,,
  5.,831675 .,ОП Ошировский,  39  км , 105  км ,,,,,,,,,,,
  6.,831769 .,Драгунская,  51  км ,  93  км ,,,,,,,,,,,
  7.,831716 .,ОП Борятино,  62  км ,  82  км ,,,,,,,,,,,
  8.,831720 .,ОП Новокиевский,  72  км ,  72  км ,,,,,,,,,,,
  9.,831735 .,ОП Пролетарский,  78  км ,  66  км ,,,,,,,,,,,
 10.,831741 .,ОП Помогаевка,  84  км ,  60  км ,,,,,,,,,,,
 11.,831805 .,Любинская,  96  км ,  48  км ,,,,,,,,,,,
 12.,831818 .,ОП Универсал, 102  км ,  42  км ,,,,,,,,,,,
 13.,831862 .,ОП Заозерное, 107  км ,  37  км ,,,,,,,,,,,
 14.,831824 .,ОП Тихая Речка, 110  км ,  34  км ,,,,,,,,,,,
 15.,831839 .,ОП Федоровка, 115  км ,  29  км ,,,,,,,,,,,
 16.,831843 .,ОП Сибзаводец, 119  км ,  25  км ,,,,,,,,,,,
 17.,830516 .,Петрушенко (обп), 121  км ,  23  км ,,,,,,,,,,,
 18.,831858 .,ОП Мельничное, 124  км ,  20  км ,,,,,,,,,,,
 19.,830107 .,Пламя, 133  км ,  11  км ,,,,,,,,,,,
 20.,830304 .,Карбышево I, 144  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  2) участок 83-002 ""ПУТ. ПОСТ 2742 КМ - КАРБЫШЕВО I"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Пут. Пост 2742 км,до ст. Карбышево I,,,,,,,,,,,
  1.,831966 .,Пут. Пост 2742 км,   0  км , 151  км ,,,,,,,,,,,
  2.,832390 .,ОП ОХРОВКА,   0  км ,   0  км ,,,,,,,,,,,
  3.,831985 .,ОП Ост. Пункт 2758 км,  16  км , 135  км ,,,,,,,,,,,
  4.,832009 .,Исилькуль,  18  км , 133  км ,,,,,,,,,,,
  5.,832013 .,ОП Озеро Камысловское,  29  км , 122  км ,,,,,,,,,,,
  6.,832028 .,ОП Маргенау,  36  км , 115  км ,,,,,,,,,,,
  7.,832136 .,Кухарево,  40  км , 111  км ,,,,,,,,,,,
  8.,832121 .,ОП Екатериновка,  55  км ,  96  км ,,,,,,,,,,,
  9.,832206 .,Москаленки,  61  км ,  90  км ,,,,,,,,,,,
 10.,832210 .,ОП Помурино,  73  км ,  78  км ,,,,,,,,,,,
 11.,832309 .,Пикетное,  85  км ,  66  км ,,,,,,,,,,,
 12.,832314 .,ОП Татьяновский,  95  км ,  56  км ,,,,,,,,,,,
 13.,832403 .,Мариановка, 107  км ,  44  км ,,,,,,,,,,,
 14.,832418 .,ОП Шараповка, 115  км ,  36  км ,,,,,,,,,,,
 15.,832422 .,ОП Алонский, 121  км ,  30  км ,,,,,,,,,,,
 16.,832526 .,Лузино, 132  км ,  19  км ,,,,,,,,,,,
 17.,832530 .,ОП Сигнал, 138  км ,  13  км ,,,,,,,,,,,
 18.,832511 .,ОП Им. Н.И. Данильченко, 141  км ,  10  км ,,,,,,,,,,,
 19.,830200 .,Входная, 142  км ,   9  км ,,,,,,,,,,,
 20.,830215 .,ОП Путевая Машинная Станция, 145  км ,   6  км ,,,,,,,,,,,
 21.,830227 .,ОП Станционник, 147  км ,   4  км ,,,,,,,,,,,
 22.,830234 .,ОП Юбилейный, 148  км ,   3  км ,,,,,,,,,,,
 23.,830304 .,Карбышево I, 151  км ,   0  км ,,,,,,,,,,,
 24.,830408 .,Карбышево I (перев.), 151  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  3) участок 83-003 ""КАРБЫШЕВО I - ТАТАРСКАЯ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Карбышево I,до ст. Татарская,,,,,,,,,,,
  1.,830304 .,Карбышево I,   0  км , 174  км ,,,,,,,,,,,
  2.,830319 .,ОП Труд,   3  км , 171  км ,,,,,,,,,,,
  3.,830709 .,Омск-Пассажирский,   5  км , 169  км ,,,,,,,,,,,
  4.,830802 .,Омск-Пассажирский (перев.),   5  км , 169  км ,,,,,,,,,,,
  5.,830713 .,ОП Привокзальная,   7  км , 167  км ,,,,,,,,,,,
  6.,830728 .,ОП Локомотивная,   9  км , 165  км ,,,,,,,,,,,
  7.,830520 .,ОП РАБОЧАЯ,  10  км , 164  км ,,,,,,,,,,,
  8.,830732 .,ОП Деповская,  11  км , 163  км ,,,,,,,,,,,
  9.,830003 .,Московка,  13  км , 161  км ,,,,,,,,,,,
 10.,830075 .,ОП Дачная,  19  км , 155  км ,,,,,,,,,,,
 11.,830084 .,ОП Рябинка,  21  км , 153  км ,,,,,,,,,,,
 12.,830018 .,ОП Густафьево,  24  км , 150  км ,,,,,,,,,,,
 13.,830022 .,ОП Травкино,  28  км , 146  км ,,,,,,,,,,,
 14.,830037 .,ОП Зеленая Роща,  32  км , 142  км ,,,,,,,,,,,
 15.,830126 .,ОП РАЗВЯЗКА,  35  км , 139  км ,,,,,,,,,,,
 16.,830041 .,Сыропятское (обп),  37  км , 137  км ,,,,,,,,,,,
 17.,830056 .,ОП Дубрава,  42  км , 132  км ,,,,,,,,,,,
 18.,830060 .,ОП Новая Деревня,  47  км , 127  км ,,,,,,,,,,,
 19.,832704 .,Кормиловка,  53  км , 121  км ,,,,,,,,,,,
 20.,832719 .,ОП Подстанция,  57  км , 117  км ,,,,,,,,,,,
 21.,832723 .,ОП Самаринка,  62  км , 112  км ,,,,,,,,,,,
 22.,832738 .,ОП Грибная,  66  км , 108  км ,,,,,,,,,,,
 23.,832742 .,ОП Осокино,  70  км , 104  км ,,,,,,,,,,,
 24.,832757 .,ОП Куликовская,  77  км ,  97  км ,,,,,,,,,,,
 25.,832808 .,Калачинская,  84  км ,  90  км ,,,,,,,,,,,
 26.,832812 .,ОП Глуховская,  92  км ,  82  км ,,,,,,,,,,,
 27.,832831 .,Валерино (обп),  99  км ,  75  км ,,,,,,,,,,,
 28.,832846 .,ОП Новосветская, 106  км ,  68  км ,,,,,,,,,,,
 29.,832850 .,ОП Илюшкино, 112  км ,  62  км ,,,,,,,,,,,
 30.,832865 .,ОП Ермолаевская, 121  км ,  53  км ,,,,,,,,,,,
 31.,832901 .,Колония, 126  км ,  48  км ,,,,,,,,,,,
 32.,832916 .,ОП Лагунака, 138  км ,  36  км ,,,,,,,,,,,
 33.,832920 .,ОП Неудачино, 145  км ,  29  км ,,,,,,,,,,,
 34.,832935 .,Каратканск (обп), 151  км ,  23  км ,,,,,,,,,,,
 35.,832947 .,ОП Забулга, 159  км ,  15  км ,,,,,,,,,,,
 36.,832992 .,ОП Наливная станция, 172  км ,   2  км ,,,,,,,,,,,
 37.,833001 .,Татарская, 174  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  4) участок 83-004 ""ТАТАРСКАЯ - ОБЬ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Татарская,до ст. Обь,,,,,,,,,,,
  1.,833001 .,Татарская,   0  км , 441  км ,,,,,,,,,,,
  2.,833092 .,ОП Татарская ЦРБ,   3  км , 438  км ,,,,,,,,,,,
  3.,833020 .,ОП Тарышта,  15  км , 426  км ,,,,,,,,,,,
  4.,833042 .,Кабаклы (обп),  25  км , 416  км ,,,,,,,,,,,
  5.,833088 .,ОП Ост. Пункт 2926 км,  47  км , 394  км ,,,,,,,,,,,
  6.,833302 .,Чаны,  52  км , 389  км ,,,,,,,,,,,
  7.,833463 .,Озеро Карачинское,  64  км , 377  км ,,,,,,,,,,,
