Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Забайкальской ж.д. (код дороги 94),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 94-001 ""ПЕТРОВСКИЙ ЗАВОД - КАРЫМСКАЯ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Петровский Завод,до ст. Карымская,,,,,,,,,,,
  1.,940105 .,Петровский Завод,   0  км , 510  км ,,,,,,,,,,,
  2.,940218 .,ОП Мост,   9  км , 501  км ,,,,,,,,,,,
  3.,940222 .,ОП Сутурин Ключ,  12  км , 498  км ,,,,,,,,,,,
  4.,940237 .,ОП Голяткино,  16  км , 494  км ,,,,,,,,,,,
  5.,940307 .,Баляга,  20  км , 490  км ,,,,,,,,,,,
  6.,940311 .,ОП Кули,  28  км , 482  км ,,,,,,,,,,,
  7.,940400 .,Тарбагатай,  34  км , 476  км ,,,,,,,,,,,
  8.,940415 .,ОП Укырка,  41  км , 469  км ,,,,,,,,,,,
  9.,940504 .,Новопавловка,  44  км , 466  км ,,,,,,,,,,,
 10.,940519 .,ОП Зун-Тигня,  49  км , 461  км ,,,,,,,,,,,
 11.,940523 .,ОП Толбага,  52  км , 458  км ,,,,,,,,,,,
 12.,940538 .,ОП Ост. Пункт 5841 км,  56  км , 454  км ,,,,,,,,,,,
 13.,940542 .,ОП Воскресенка,  60  км , 450  км ,,,,,,,,,,,
 14.,940557 .,ОП Березовое,  64  км , 446  км ,,,,,,,,,,,
 15.,940561 .,ОП Ост. Пункт 5852 км,  67  км , 443  км ,,,,,,,,,,,
 16.,940608 .,Хохотуй,  75  км , 435  км ,,,,,,,,,,,
 17.,940612 .,ОП Ушоты,  82  км , 428  км ,,,,,,,,,,,
 18.,940627 .,ОП Мухор-Шибирка,  87  км , 423  км ,,,,,,,,,,,
 19.,940631 .,ОП Закульта,  90  км , 420  км ,,,,,,,,,,,
 20.,940646 .,ОП Шиля,  94  км , 416  км ,,,,,,,,,,,
 21.,940701 .,Бада,  99  км , 411  км ,,,,,,,,,,,
 22.,940716 .,ОП Зурун, 107  км , 403  км ,,,,,,,,,,,
 23.,940720 .,ОП Харчетой, 113  км , 397  км ,,,,,,,,,,,
 24.,940805 .,Жипхеген, 123  км , 387  км ,,,,,,,,,,,
 25.,940810 .,ОП Сосновка, 132  км , 378  км ,,,,,,,,,,,
 26.,940824 .,ОП Ост. Пункт 5919 км, 135  км , 375  км ,,,,,,,,,,,
 27.,940839 .,ОП Ост. Пункт 5924 км, 140  км , 370  км ,,,,,,,,,,,
 28.,940843 .,ОП Ост. Пункт 5927 км, 143  км , 367  км ,,,,,,,,,,,
 29.,940909 .,Хилок, 150  км , 360  км ,,,,,,,,,,,
 30.,940913 .,ОП Жилкин Хутор, 157  км , 353  км ,,,,,,,,,,,
 31.,940928 .,ОП Ост. Пункт 5946 км, 162  км , 348  км ,,,,,,,,,,,
 32.,941009 .,Гыршелун, 167  км , 343  км ,,,,,,,,,,,
 33.,941013 .,ОП Алентуйка, 177  км , 333  км ,,,,,,,,,,,
 34.,941102 .,Хушенга, 187  км , 323  км ,,,,,,,,,,,
 35.,941117 .,ОП Дайгур, 198  км , 312  км ,,,,,,,,,,,
 36.,941206 .,Харагун, 209  км , 301  км ,,,,,,,,,,,
 37.,941210 .,ОП Сарантуй, 219  км , 291  км ,,,,,,,,,,,
 38.,941225 .,Тайдут, 229  км , 281  км ,,,,,,,,,,,
 39.,941234 .,ОП Ост. Пункт 6020 км, 236  км , 274  км ,,,,,,,,,,,
 40.,941244 .,ОП Ямная, 240  км , 270  км ,,,,,,,,,,,
 41.,941259 .,ОП Загарино, 249  км , 261  км ,,,,,,,,,,,
 42.,941263 .,ОП Улетка, 257  км , 253  км ,,,,,,,,,,,
 43.,941300 .,Могзон, 270  км , 240  км ,,,,,,,,,,,
 44.,941314 .,ОП Ост. Пункт 6059 км, 275  км , 235  км ,,,,,,,,,,,
 45.,941329 .,ОП Ост. Пункт 6069 км, 285  км , 225  км ,,,,,,,,,,,
 46.,941507 .,Гонгота, 291  км , 219  км ,,,,,,,,,,,
 47.,941348 .,ОП Ост. Пункт 6086 км, 303  км , 207  км ,,,,,,,,,,,
 48.,941403 .,Сохондо, 312  км , 198  км ,,,,,,,,,,,
 49.,941418 .,Тургутуй, 322  км , 188  км ,,,,,,,,,,,
 50.,941422 .,ОП Ост. Пункт 6111 км, 327  км , 183  км ,,,,,,,,,,,
 51.,941437 .,Яблоновая, 335  км , 175  км ,,,,,,,,,,,
 52.,941511 .,ОП Ост. Пункт 6127 км, 343  км , 167  км ,,,,,,,,,,,
 53.,941526 .,ОП Кука, 349  км , 161  км ,,,,,,,,,,,
 54.,941600 .,Лесная, 355  км , 155  км ,,,,,,,,,,,
 55.,941615 .,ОП Жипковщина, 362  км , 148  км ,,,,,,,,,,,
 56.,941812 .,ОП Ингода, 372  км , 138  км ,,,,,,,,,,,
 57.,941901 .,Домна, 379  км , 131  км ,,,,,,,,,,,
 58.,942001 .,Черновская, 389  км , 121  км ,,,,,,,,,,,
 59.,942016 .,ОП Швейка, 392  км , 118  км ,,,,,,,,,,,
 60.,942020 .,ОП Железобетонный, 394  км , 116  км ,,,,,,,,,,,
 61.,942105 .,Кадала, 401  км , 109  км ,,,,,,,,,,,
 62.,942110 .,ОП Кенон, 407  км , 103  км ,,,,,,,,,,,
 63.,940006 .,Чита I, 411  км ,  99  км ,,,,,,,,,,,
 64.,940010 .,Чита II, 414  км ,  96  км ,,,,,,,,,,,
 65.,942302 .,Антипиха, 420  км ,  90  км ,,,,,,,,,,,
 66.,942317 .,ОП Восход, 421  км ,  89  км ,,,,,,,,,,,
 67.,942425 .,ОП Песчанка, 423  км ,  87  км ,,,,,,,,,,,
 68.,942410 .,ОП Пионерская, 428  км ,  82  км ,,,,,,,,,,,
 69.,942506 .,Атамановка, 430  км ,  80  км ,,,,,,,,,,,
 70.,942514 .,ОП Дачный, 434  км ,  76  км ,,,,,,,,,,,
 71.,942529 .,ОП Засопочная, 437  км ,  73  км ,,,,,,,,,,,
 72.,942533 .,ОП Каменный Карьер, 438  км ,  72  км ,,,,,,,,,,,
 73.,942567 .,ОП Железнодорожник, 441  км ,  69  км ,,,,,,,,,,,
 74.,942548 .,ОП Глубокая Падь, 443  км ,  67  км ,,,,,,,,,,,
 75.,942552 .,ОП Земляничная, 446  км ,  64  км ,,,,,,,,,,,
 76.,942603 .,Кручина, 447  км ,  63  км ,,,,,,,,,,,
 77.,942618 .,ОП Александровка, 454  км ,  56  км ,,,,,,,,,,,
 78.,942707 .,Новая, 456  км ,  54  км ,,,,,,,,,,,
 79.,942745 .,ОП Тюрикова, 461  км ,  49  км ,,,,,,,,,,,
 80.,942711 .,ОП Орленок, 462  км ,  48  км ,,,,,,,,,,,
 81.,942726 .,ОП Птицефабрика, 465  км ,  45  км ,,,,,,,,,,,
 82.,942730 .,ОП Ост. Пункт 6249 км, 466  км ,  44  км ,,,,,,,,,,,
 83.,942800 .,Маккавеево, 470  км ,  40  км ,,,,,,,,,,,
 84.,942815 .,ОП Сосняк, 477  км ,  33  км ,,,,,,,,,,,
 85.,942904 .,Дарасун, 480  км ,  30  км ,,,,,,,,,,,
 86.,942919 .,ОП Восточный, 485  км ,  25  км ,,,,,,,,,,,
 87.,943023 .,Туринская, 490  км ,  20  км ,,,,,,,,,,,
 88.,943019 .,ОП Кадахта, 503  км ,   7  км ,,,,,,,,,,,
 89.,943108 .,Карымская, 510  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  2) участок 94-002 ""КАРЫМСКАЯ - КУЭНГА"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Карымская,до ст. Куэнга,,,,,,,,,,,
  1.,943108 .,Карымская,   0  км , 232  км ,,,,,,,,,,,
  2.,943112 .,ОП Ост. Пункт 6299 км,   5  км , 227  км ,,,,,,,,,,,
  3.,943184 .,ОП Баяндарга,   8  км , 224  км ,,,,,,,,,,,
  4.,943146 .,Тарская,  12  км , 220  км ,,,,,,,,,,,
  5.,943127 .,ОП Тарский Мост,  15  км , 217  км ,,,,,,,,,,,
  6.,943131 .,ОП им. Романа Канивец,  18  км , 214  км ,,,,,,,,,,,
  7.,943150 .,ОП Кайдалово,  21  км , 211  км ,,,,,,,,,,,
  8.,943165 .,ОП Ост. Пункт 6319 км,  27  км , 205  км ,,,,,,,,,,,
  9.,943173 .,ОП Поселье,  37  км , 195  км ,,,,,,,,,,,
 10.,947503 .,Урульга,  43  км , 189  км ,,,,,,,,,,,
 11.,947518 .,ОП Ост. Пункт 6348 км,  54  км , 178  км ,,,,,,,,,,,
 12.,947522 .,ОП Талача,  59  км , 173  км ,,,,,,,,,,,
 13.,947537 .,ОП Ост. Пункт 6358 км,  64  км , 168  км ,,,,,,,,,,,
 14.,947541 .,ОП Савинская,  69  км , 163  км ,,,,,,,,,,,
 15.,947556 .,ОП Галкино,  75  км , 157  км ,,,,,,,,,,,
 16.,947656 .,Зубарево,  82  км , 150  км ,,,,,,,,,,,
 17.,947611 .,ОП Байцетуй,  86  км , 146  км ,,,,,,,,,,,
 18.,947626 .,ОП Уненкер,  91  км , 141  км ,,,,,,,,,,,
 19.,947630 .,Размахнино, 100  км , 132  км ,,,,,,,,,,,
 20.,947645 .,ОП Красноярово, 106  км , 126  км ,,,,,,,,,,,
 21.,947700 .,Солнцевая, 113  км , 119  км ,,,,,,,,,,,
 22.,947715 .,ОП Ост. Пункт 6413 км, 120  км , 112  км ,,,,,,,,,,,
 23.,947722 .,ОП Онон, 124  км , 108  км ,,,,,,,,,,,
 24.,947734 .,ОП Шангариева, 134  км ,  98  км ,,,,,,,,,,,
 25.,947804 .,Казаново, 135  км ,  97  км ,,,,,,,,,,,
 26.,947819 .,ОП Митрофаново, 143  км ,  89  км ,,,,,,,,,,,
 27.,947908 .,Шилка-Товарная, 149  км ,  83  км ,,,,,,,,,,,
 28.,947912 .,Шилка-Пассажирская, 151  км ,  81  км ,,,,,,,,,,,
 29.,947927 .,ОП Мирсаново, 158  км ,  74  км ,,,,,,,,,,,
 30.,948050 .,Холбон, 165  км ,  67  км ,,,,,,,,,,,
 31.,948012 .,ОП Ост. Пункт 6461 км, 167  км ,  65  км ,,,,,,,,,,,
 32.,948027 .,ОП Апрелково, 175  км ,  57  км ,,,,,,,,,,,
 33.,948031 .,ОП Бишигино, 181  км ,  51  км ,,,,,,,,,,,
 34.,948046 .,ОП Савватеево, 184  км ,  48  км ,,,,,,,,,,,
 35.,948101 .,Приисковая, 196  км ,  36  км ,,,,,,,,,,,
 36.,948135 .,ОП Верхние Ключи, 208  км ,  24  км ,,,,,,,,,,,
 37.,948147 .,ОП Нижние Ключи, 215  км ,  17  км ,,,,,,,,,,,
 38.,948154 .,ОП Бянкино, 221  км ,  11  км ,,,,,,,,,,,
 39.,948474 .,Куэнга, 232  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  3) участок 94-003 ""КУЭНГА - БАМОВСКАЯ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Куэнга,до ст. Бамовская,,,,,,,,,,,
  1.,948474 .,Куэнга,   0  км , 749  км ,,,,,,,,,,,
  2.,948417 .,ОП Нижняя Куэнга,   4  км , 745  км ,,,,,,,,,,,
  3.,948421 .,ОП Верхняя Куэнга,   8  км , 741  км ,,,,,,,,,,,
  4.,948436 .,ОП Шапка,  13  км , 736  км ,,,,,,,,,,,
  5.,948440 .,ОП Известковый,  21  км , 728  км ,,,,,,,,,,,
  6.,948455 .,ОП Ост. Пункт 6550 км,  24  км , 725  км ,,,,,,,,,,,
  7.,948466 .,ОП Шевья,  30  км , 719  км ,,,,,,,,,,,
  8.,948830 .,Укурей,  38  км , 711  км ,,,,,,,,,,,
  9.,948811 .,ОП Гаур,  50  км , 699  км ,,,,,,,,,,,
 10.,948826 .,ОП Кундуй,  54  км , 695  км ,,,,,,,,,,,
 11.,949104 .,Чернышевск-Забайкальский,  61  км , 688  км ,,,,,,,,,,,
 12.,949119 .,Алеур,  69  км , 680  км ,,,,,,,,,,,
 13.,949123 .,ОП Улей,  80  км , 669  км ,,,,,,,,,,,
 14.,949138 .,Бушулей,  97  км , 652  км ,,,,,,,,,,,
 15.,949509 .,Жирекен, 107  км , 642  км ,,,,,,,,,,,
 16.,949513 .,ОП Кавекта, 117  км , 632  км ,,,,,,,,,,,
 17.,949528 .,Арчикой, 135  км , 614  км ,,,,,,,,,,,
 18.,949602 .,Зилово, 144  км , 605  км ,,,,,,,,,,,
 19.,949617 .,ОП Томка, 154  км , 595  км ,,,,,,,,,,,
 20.,949621 .,Зудыра, 166  км , 583  км ,,,,,,,,,,,
 21.,950328 .,Ульякан, 177  км , 572  км ,,,,,,,,,,,
 22.,950313 .,ОП Ост. Пункт 6713 км, 186  км , 563  км ,,,,,,,,,,,
 23.,950402 .,Урюм, 193  км , 556  км ,,,,,,,,,,,
 24.,950417 .,Кулендекен (пп), 202  км , 547  км ,,,,,,,,,,,
 25.,950421 .,Нанагры, 211  км , 538  км ,,,,,,,,,,,
 26.,950506 .,Сбега, 233  км , 516  км ,,,,,,,,,,,
 27.,950510 .,ОП Темная, 245  км , 504  км ,,,,,,,,,,,
 28.,950525 .,Кендагиры, 253  км , 496  км ,,,,,,,,,,,
 29.,950606 .,Ксеньевская, 274  км , 475  км ,,,,,,,,,,,
 30.,950614 .,Катарангра, 294  км , 455  км ,,,,,,,,,,,
 31.,950703 .,Кислый Ключ, 311  км , 438  км ,,,,,,,,,,,
 32.,950718 .,Артеушка, 327  км , 422  км ,,,,,,,,,,,
 33.,950722 .,Пеньковая, 348  км , 401  км ,,,,,,,,,,,
 34.,950737 .,ОП Раздольное, 371  км , 378  км ,,,,,,,,,,,
 35.,950807 .,Могоча, 382  км , 367  км ,,,,,,,,,,,
 36.,950900 .,Таптугары, 406  км , 343  км ,,,,,,,,,,,
 37.,951000 .,Семиозерный, 431  км , 318  км ,,,,,,,,,,,
 38.,951015 .,ОП Чадор, 440  км , 309  км ,,,,,,,,,,,
 39.,951020 .,ОП Бедовый, 459  км , 290  км ,,,,,,,,,,,
 40.,951034 .,Германовский, 470  км , 279  км ,,,,,,,,,,,
 41.,951104 .,Амазар, 480  км , 269  км ,,,,,,,,,,,
 42.,951119 .,Красавка-Хангли (пп), 489  км , 260  км ,,,,,,,,,,,
 43.,951123 .,Колокольный, 501  км , 248  км ,,,,,,,,,,,
 44.,951138 .,ОП Потайка, 513  км , 236  км ,,,,,,,,,,,
 45.,951142 .,Чичатка, 520  км , 229  км ,,,,,,,,,,,
 46.,951157 .,Жанна, 527  км , 222  км ,,,,,,,,,,,
 47.,951161 .,ОП Никольский, 535  км , 214  км ,,,,,,,,,,,
 48.,951176 .,Малоковали, 542  км , 207  км ,,,,,,,,,,,
 49.,951246 .,Утени (пп), 553  км , 196  км ,,,,,,,,,,,
 50.,951231 .,Аячи, 561  км , 188  км ,,,,,,,,,,,
 51.,951227 .,ОП Текан, 570  км , 179  км ,,,,,,,,,,,
 52.,951208 .,Ерофей Павлович, 587  км , 162  км ,,,,,,,,,,,
 53.,951250 .,ОП Ягодный, 594  км , 155  км ,,,,,,,,,,,
 54.,951265 .,ОП Иташино, 602  км , 147  км ,,,,,,,,,,,
 55.,951373 .,Сегачама, 611  км , 138  км ,,,,,,,,,,,
 56.,951369 .,ОП Сивачли, 623  км , 126  км ,,,,,,,,,,,
 57.,951354 .,Большая Омутная, 630  км , 119  км ,,,,,,,,,,,
 58.,951340 .,ОП Глухарево, 640  км , 109  км ,,,,,,,,,,,
 59.,951335 .,ОП Улятка, 650  км ,  99  км ,,,,,,,,,,,
 60.,951320 .,ОП Халан, 658  км ,  91  км ,,,,,,,,,,,
 61.,951316 .,Сгибеево, 667  км ,  82  км ,,,,,,,,,,,
 62.,951301 .,Уруша, 685  км ,  64  км ,,,,,,,,,,,
 63.,951439 .,ОП Глубокий, 699  км ,  50  км ,,,,,,,,,,,
 64.,951424 .,ОП Читкан, 706  км ,  43  км ,,,,,,,,,,,
 65.,951416 .,Улягир, 716  км ,  33  км ,,,,,,,,,,,
 66.,951405 .,Мадалан, 726  км ,  23  км ,,,,,,,,,,,
 67.,951513 .,ОП Ольдой, 735  км ,  14  км ,,,,,,,,,,,
 68.,951509 .,Тахтамыгда, 742  км ,   7  км ,,,,,,,,,,,
 69.,951602 .,Бамовская, 749  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  4) участок 94-004 ""БАМОВСКАЯ - БЕЛОГОРСК"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Бамовская,до ст. Белогорск,,,,,,,,,,,
  1.,951602 .,Бамовская,   0  км , 592  км ,,,,,,,,,,,
  2.,951617 .,Горелый,   5  км , 587  км ,,,,,,,,,,,
  3.,951636 .,ОП Поемный,  23  км , 569  км ,,,,,,,,,,,
  4.,951706 .,Сковородино,  32  км , 560  км ,,,,,,,,,,,
  5.,951710 .,ОП Встречный,  44  км , 548  км ,,,,,,,,,,,
  6.,952107 .,Большой Невер,  48  км , 544  км ,,,,,,,,,,,
  7.,952111 .,ОП Якутский,  55  км , 537  км ,,,,,,,,,,,
  8.,952126 .,Ковали,  65  км , 527  км ,,,,,,,,,,,
  9.,952003 .,Ульручьи,  73  км , 519  км ,,,,,,,,,,,
 10.,952145 .,ОП Керак,  81  км , 511  км ,,,,,,,,,,,
 11.,952150 .,Ангарич,  88  км , 504  км ,,,,,,,,,,,
 12.,952164 .,ОП Уркан,  95  км , 497  км ,,,,,,,,,,,
 13.,952179 .,Джиктанда, 106  км , 486  км ,,,,,,,,,,,
