Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Куйбышевской ж.д. (код дороги 63),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 63-001 ""ВЕРНАДОВКА - ПЕНЗА I"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Вернадовка,до ст. Пенза I,,,,,,,,,,,
  1.,632401 .,Вернадовка,   0  км , 218  км ,,,,,,,,,,,
  2.,632416 .,Поминаевка (рзд),  10  км , 208  км ,,,,,,,,,,,
  3.,632806 .,Соседка,  23  км , 195  км ,,,,,,,,,,,
  4.,632830 .,ОП Ост. Пункт 519 км,  26  км , 192  км ,,,,,,,,,,,
  5.,632810 .,ОП Хутор,  33  км , 185  км ,,,,,,,,,,,
  6.,632825 .,Кандиевка (рзд),  41  км , 177  км ,,,,,,,,,,,
  7.,632906 .,Башмаково,  49  км , 169  км ,,,,,,,,,,,
  8.,632914 .,Глебовка (рзд),  59  км , 159  км ,,,,,,,,,,,
  9.,632929 .,ОП Пятницкое,  68  км , 150  км ,,,,,,,,,,,
 10.,633001 .,Пачелма,  75  км , 143  км ,,,,,,,,,,,
 11.,633014 .,ОП Толковка,  81  км , 137  км ,,,,,,,,,,,
 12.,633029 .,Выглядовка (рзд),  89  км , 129  км ,,,,,,,,,,,
 13.,633033 .,ОП Воденяпино,  94  км , 124  км ,,,,,,,,,,,
 14.,633254 .,Титово, 102  км , 116  км ,,,,,,,,,,,
 15.,633211 .,ОП Варежка, 108  км , 110  км ,,,,,,,,,,,
 16.,633226 .,Адикаевка (рзд), 117  км , 101  км ,,,,,,,,,,,
 17.,633230 .,ОП Кевда, 124  км ,  94  км ,,,,,,,,,,,
 18.,633245 .,ОП Сельмаш, 127  км ,  91  км ,,,,,,,,,,,
 19.,633300 .,Белинская, 132  км ,  86  км ,,,,,,,,,,,
 20.,633315 .,ОП Лермонтовский, 142  км ,  76  км ,,,,,,,,,,,
 21.,633404 .,Студенец, 152  км ,  66  км ,,,,,,,,,,,
 22.,633419 .,ОП Панчулидзиевка , 162  км ,  56  км ,,,,,,,,,,,
 23.,633508 .,Симанщина, 173  км ,  45  км ,,,,,,,,,,,
 24.,633527 .,ОП Дачник, 182  км ,  36  км ,,,,,,,,,,,
 25.,633512 .,ОП Пословка, 184  км ,  34  км ,,,,,,,,,,,
 26.,633616 .,Рамзай, 194  км ,  24  км ,,,,,,,,,,,
 27.,630406 .,Пяша, 200  км ,  18  км ,,,,,,,,,,,
 28.,630124 .,Арбеково (рзд), 209  км ,   9  км ,,,,,,,,,,,
 29.,630143 .,ОП Ост. Пункт 704 км, 212  км ,   6  км ,,,,,,,,,,,
 30.,630110 .,ОП Ост. Пункт 709 км, 217  км ,   1  км ,,,,,,,,,,,
 31.,630105 .,Пенза I, 218  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  2) участок 63-002 ""ПЕНЗА II - НОВООБРАЗЦОВОЕ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Пенза II,до ст. Новообразцовое,,,,,,,,,,,
  1.,630209 .,Пенза II,   0  км , 241  км ,,,,,,,,,,,
  2.,630213 .,ОП Заречный,   7  км , 234  км ,,,,,,,,,,,
  3.,633705 .,Селикса,  10  км , 231  км ,,,,,,,,,,,
  4.,633716 .,ОП Ост. Пункт 727 км,  14  км , 227  км ,,,,,,,,,,,
  5.,633809 .,Леонидовка,  21  км , 220  км ,,,,,,,,,,,
  6.,633813 .,ОП Ост. Пункт 739 км,  26  км , 215  км ,,,,,,,,,,,
  7.,633828 .,ОП Ост. Пункт 742 км,  29  км , 212  км ,,,,,,,,,,,
  8.,633936 .,Шнаево,  34  км , 207  км ,,,,,,,,,,,
  9.,633917 .,ОП Ост. Пункт 752 км,  39  км , 202  км ,,,,,,,,,,,
 10.,633921 .,ОП Ост. Пункт 756 км,  43  км , 198  км ,,,,,,,,,,,
 11.,634002 .,Канаевка,  46  км , 195  км ,,,,,,,,,,,
 12.,634500 .,Асеевская,  53  км , 188  км ,,,,,,,,,,,
 13.,634515 .,ОП Никоново,  62  км , 179  км ,,,,,,,,,,,
 14.,634604 .,Чаадаевка,  70  км , 171  км ,,,,,,,,,,,
 15.,634619 .,ОП Пионерлагерь,  75  км , 166  км ,,,,,,,,,,,
 16.,634623 .,Кодада (рзд),  77  км , 164  км ,,,,,,,,,,,
 17.,634638 .,Елюзань,  84  км , 157  км ,,,,,,,,,,,
 18.,634642 .,ОП Ост. Пункт 802 км,  89  км , 152  км ,,,,,,,,,,,
 19.,634708 .,Сюзюм,  92  км , 149  км ,,,,,,,,,,,
 20.,634731 .,ОП Ост. Пункт 809 км,  96  км , 145  км ,,,,,,,,,,,
 21.,634746 .,ОП Ост. Пункт 813 км, 100  км , 141  км ,,,,,,,,,,,
 22.,634712 .,ОП Благодатка, 103  км , 138  км ,,,,,,,,,,,
 23.,634727 .,ОП Поселки, 109  км , 132  км ,,,,,,,,,,,
 24.,634750 .,ОП Ост. Пункт 829 км, 116  км , 125  км ,,,,,,,,,,,
 25.,634801 .,Кузнецк, 118  км , 123  км ,,,,,,,,,,,
 26.,634820 .,ОП Ост. Пункт 837 км, 124  км , 117  км ,,,,,,,,,,,
 27.,634816 .,ОП Огольцовка, 126  км , 115  км ,,,,,,,,,,,
 28.,634835 .,ОП Ост. Пункт 841 км, 128  км , 113  км ,,,,,,,,,,,
 29.,634905 .,Евлашево, 134  км , 107  км ,,,,,,,,,,,
 30.,634924 .,ОП Ост. Пункт 850 км, 137  км , 104  км ,,,,,,,,,,,
 31.,634911 .,ОП Курмаевка, 144  км ,  97  км ,,,,,,,,,,,
 32.,634939 .,ОП Ост. Пункт 859 км, 146  км ,  95  км ,,,,,,,,,,,
 33.,635024 .,Никулино, 150  км ,  91  км ,,,,,,,,,,,
 34.,635017 .,ОП Каранголь, 155  км ,  86  км ,,,,,,,,,,,
 35.,635109 .,Ключики, 162  км ,  79  км ,,,,,,,,,,,
 36.,635132 .,ОП Ост. Пункт 879 км, 166  км ,  75  км ,,,,,,,,,,,
 37.,635113 .,ОП Саевка, 169  км ,  72  км ,,,,,,,,,,,
 38.,635128 .,Прасковьино, 176  км ,  65  км ,,,,,,,,,,,
 39.,635236 .,Канадей, 186  км ,  55  км ,,,,,,,,,,,
 40.,635217 .,ОП Свирино, 189  км ,  52  км ,,,,,,,,,,,
 41.,635221 .,ОП Садовый, 195  км ,  46  км ,,,,,,,,,,,
 42.,635306 .,Новоспасское, 200  км ,  41  км ,,,,,,,,,,,
 43.,635363 .,ОП Ост. Пункт 917 км, 204  км ,  37  км ,,,,,,,,,,,
 44.,635310 .,Коптевка, 208  км ,  33  км ,,,,,,,,,,,
 45.,635325 .,ОП Ост. Пункт 924 км, 212  км ,  29  км ,,,,,,,,,,,
 46.,635336 .,ОП Рощица, 213  км ,  28  км ,,,,,,,,,,,
 47.,635344 .,ОП Рощица Новая, 219  км ,  22  км ,,,,,,,,,,,
 48.,635359 .,ОП Ост. Пункт 936 км, 224  км ,  17  км ,,,,,,,,,,,
 49.,635402 .,Репьевка, 226  км ,  15  км ,,,,,,,,,,,
 50.,635414 .,ОП Журавли, 231  км ,  10  км ,,,,,,,,,,,
 51.,635429 .,ОП Розадей, 233  км ,   8  км ,,,,,,,,,,,
 52.,635433 .,ОП Новозаборовка, 238  км ,   3  км ,,,,,,,,,,,
 53.,635448 .,Новообразцовое, 241  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  3) участок 63-003 ""НОВООБРАЗЦОВОЕ - СЫЗРАНЬ I"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Новообразцовое,до ст. Сызрань I,,,,,,,,,,,
  1.,635448 .,Новообразцовое,   0  км ,   9  км ,,,,,,,,,,,
  2.,635503 .,Сызрань II,   6  км ,   3  км ,,,,,,,,,,,
  3.,635518 .,ОП Ост. Пункт 961 км,   8  км ,   1  км ,,,,,,,,,,,
  4.,635607 .,Сызрань I,   9  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  4) участок 63-004 ""СЫЗРАНЬ I - ЗВЕЗДА"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Сызрань I,до ст. Звезда,,,,,,,,,,,
  1.,635607 .,Сызрань I,   0  км ,  85  км ,,,,,,,,,,,
  2.,635715 .,ОП Ост. Пункт 964 км,   2  км ,  83  км ,,,,,,,,,,,
  3.,635721 .,ОП Декабристов,   3  км ,  82  км ,,,,,,,,,,,
  4.,635611 .,ОП Нефтебаза,   4  км ,  81  км ,,,,,,,,,,,
  5.,635880 .,ОП Ост. Пункт 967 км,   5  км ,  80  км ,,,,,,,,,,,
  6.,635626 .,ОП Октябрьск-Пристань,   9  км ,  76  км ,,,,,,,,,,,
  7.,635749 .,ОП Путейская,  11  км ,  74  км ,,,,,,,,,,,
  8.,635734 .,ОП Локомотивная,  12  км ,  73  км ,,,,,,,,,,,
  9.,638107 .,Октябрьск,  13  км ,  72  км ,,,,,,,,,,,
 10.,638709 .,Октябрьск (эксп.),  13  км ,  72  км ,,,,,,,,,,,
 11.,638111 .,ОП Рабочая,  17  км ,  68  км ,,,,,,,,,,,
 12.,638126 .,ОП Железнодорожная,  18  км ,  67  км ,,,,,,,,,,,
 13.,638200 .,Правая Волга,  22  км ,  63  км ,,,,,,,,,,,
 14.,638228 .,ОП Ост. Пункт 987 км,  25  км ,  60  км ,,,,,,,,,,,
 15.,638215 .,ОП Дубовая Роща,  28  км ,  57  км ,,,,,,,,,,,
 16.,638304 .,Обшаровка,  32  км ,  53  км ,,,,,,,,,,,
 17.,638319 .,ОП Ольгинская церковь,  39  км ,  46  км ,,,,,,,,,,,
 18.,638431 .,Мыльная,  48  км ,  37  км ,,,,,,,,,,,
 19.,638412 .,ОП Башкирское,  55  км ,  30  км ,,,,,,,,,,,
 20.,638427 .,ОП Майтуга,  65  км ,  20  км ,,,,,,,,,,,
 21.,638501 .,Безенчук,  73  км ,  12  км ,,,,,,,,,,,
 22.,638516 .,ОП Восток,  78  км ,   7  км ,,,,,,,,,,,
 23.,638605 .,Звезда,  85  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  5) участок 63-005 ""ЗВЕЗДА - САМАРА"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Звезда,до ст. Самара,,,,,,,,,,,
  1.,638605 .,Звезда,   0  км ,  51  км ,,,,,,,,,,,
  2.,638624 .,ОП Им. С.В. Авдеева,   6  км ,  45  км ,,,,,,,,,,,
  3.,639203 .,Чапаевск,   8  км ,  43  км ,,,,,,,,,,,
  4.,638613 .,ОП Строительная,  10  км ,  41  км ,,,,,,,,,,,
  5.,639307 .,Томылово,  13  км ,  38  км ,,,,,,,,,,,
  6.,639311 .,ОП Горки,  16  км ,  35  км ,,,,,,,,,,,
  7.,639326 .,ОП Маяк,  19  км ,  32  км ,,,,,,,,,,,
  8.,639330 .,Жигули (рзд),  22  км ,  29  км ,,,,,,,,,,,
  9.,639345 .,ОП Химик,  25  км ,  26  км ,,,,,,,,,,,
 10.,639400 .,Новокуйбышевская,  28  км ,  23  км ,,,,,,,,,,,
 11.,639415 .,ОП Молодежная,  31  км ,  20  км ,,,,,,,,,,,
 12.,639504 .,Липяги,  35  км ,  16  км ,,,,,,,,,,,
 13.,639538 .,ОП Северная,  38  км ,  13  км ,,,,,,,,,,,
 14.,639519 .,ОП Конструкторская,  40  км ,  11  км ,,,,,,,,,,,
 15.,639523 .,ОП Соцгород,  42  км ,   9  км ,,,,,,,,,,,
 16.,639608 .,Кряж,  44  км ,   7  км ,,,,,,,,,,,
 17.,639612 .,ОП Парк Дружбы Народов,  47  км ,   4  км ,,,,,,,,,,,
 18.,657907 .,Самара,  51  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  6) участок 63-006 ""САМАРА - БЕЗЫМЯНКА"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Самара,до ст. Безымянка,,,,,,,,,,,
  1.,657907 .,Самара,   0  км ,  11  км ,,,,,,,,,,,
  2.,657856 .,ОП Школьная,   1  км ,  10  км ,,,,,,,,,,,
  3.,657841 .,ОП Речная,   3  км ,   8  км ,,,,,,,,,,,
  4.,657837 .,ОП Толевая,   5  км ,   6  км ,,,,,,,,,,,
  5.,657822 .,ОП Киркомбинат,   8  км ,   3  км ,,,,,,,,,,,
  6.,657818 .,ОП Стахановская,  10  км ,   1  км ,,,,,,,,,,,
  7.,657803 .,Безымянка,  11  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  7) участок 63-007 ""БЕЗЫМЯНКА - КИНЕЛЬ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Безымянка,до ст. Кинель,,,,,,,,,,,
  1.,657803 .,Безымянка,   0  км ,  30  км ,,,,,,,,,,,
  2.,657644 .,ОП Пятилетка,   1  км ,  29  км ,,,,,,,,,,,
  3.,657639 .,ОП Мирная,   3  км ,  27  км ,,,,,,,,,,,
  4.,657659 .,ОП Ост. Пункт 1113 км,   4  км ,  26  км ,,,,,,,,,,,
  5.,657625 .,ОП Интернатная,   5  км ,  25  км ,,,,,,,,,,,
  6.,657610 .,ОП Зубчаниновка,   7  км ,  23  км ,,,,,,,,,,,
  7.,657606 .,Смышляевка,  11  км ,  19  км ,,,,,,,,,,,
  8.,657517 .,ОП Энергетик,  15  км ,  15  км ,,,,,,,,,,,
  9.,657502 .,Алексеевская,  19  км ,  11  км ,,,,,,,,,,,
 10.,657339 .,ОП Советы,  23  км ,   7  км ,,,,,,,,,,,
 11.,657305 .,Кинель,  30  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  8) участок 63-008 ""КИНЕЛЬ - ЧИШМЫ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Кинель,до ст. Чишмы,,,,,,,,,,,
  1.,657305 .,Кинель,   0  км , 435  км ,,,,,,,,,,,
  2.,657358 .,ОП Ост. Пункт 1142 км,   4  км , 431  км ,,,,,,,,,,,
  3.,657343 .,ОП Угорье,   6  км , 429  км ,,,,,,,,,,,
  4.,657310 .,ОП Язевка,   8  км , 427  км ,,,,,,,,,,,
  5.,657324 .,ОП Ост. Пункт 1150 км,  11  км , 424  км ,,,,,,,,,,,
  6.,658242 .,Тургеневка,  15  км , 420  км ,,,,,,,,,,,
  7.,658219 .,ОП Ост. Пункт 1157 км,  19  км , 416  км ,,,,,,,,,,,
  8.,658238 .,ОП Ост. Пункт 1159 км,  21  км , 414  км ,,,,,,,,,,,
  9.,658223 .,ОП Ост. Пункт 1161 км,  23  км , 412  км ,,,,,,,,,,,
 10.,658327 .,Георгиевка,  26  км , 409  км ,,,,,,,,,,,
 11.,658312 .,ОП Ост. Пункт 1169 км,  30  км , 405  км ,,,,,,,,,,,
 12.,658401 .,Кротовка,  38  км , 397  км ,,,,,,,,,,,
 13.,658416 .,ОП Куртамак,  44  км , 391  км ,,,,,,,,,,,
 14.,659006 .,Новоотрадная,  53  км , 382  км ,,,,,,,,,,,
 15.,659014 .,ОП Алтуховка,  60  км , 375  км ,,,,,,,,,,,
 16.,659103 .,Толкай,  69  км , 366  км ,,,,,,,,,,,
 17.,659118 .,ОП Ост. Пункт 1212 км,  74  км , 361  км ,,,,,,,,,,,
 18.,659122 .,ОП Ост. Пункт 1215 км,  77  км , 358  км ,,,,,,,,,,,
 19.,659137 .,ОП Тунгуз,  81  км , 354  км ,,,,,,,,,,,
 20.,659141 .,ОП Камышевка,  88  км , 347  км ,,,,,,,,,,,
 21.,659207 .,Подбельская,  95  км , 340  км ,,,,,,,,,,,
 22.,659211 .,ОП Ост. Пункт 1239 км, 101  км , 334  км ,,,,,,,,,,,
 23.,659226 .,ОП Аверкино, 104  км , 331  км ,,,,,,,,,,,
 24.,659230 .,ОП Муравка, 110  км , 325  км ,,,,,,,,,,,
 25.,659300 .,Похвистнево, 118  км , 317  км ,,,,,,,,,,,
 26.,659368 .,ОП Ост. Пункт 1259 км, 120  км , 315  км ,,,,,,,,,,,
 27.,659315 .,ОП Калиновка, 121  км , 314  км ,,,,,,,,,,,
