Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Казахстанской ж.д. (код дороги 68),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 68-001 ""СЕМИГЛАВЫЙ МАР (ЭКСП.) - ИЛЕЦК I"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Семиглавый Мар (эксп.),до ст. Илецк I,,,,,,,,,,,
  1.,664900 .,Семиглавый Мар (эксп.),   0  км , 381  км ,,,,,,,,,,,
  2.,664987 .,ОП Ост. пункт 1174 км,   3  км , 378  км ,,,,,,,,,,,
  3.,665015 .,ОП Ост. пункт 1177 км,   6  км , 375  км ,,,,,,,,,,,
  4.,665000 .,Семиглавый Мар,  12  км , 369  км ,,,,,,,,,,,
  5.,665049 .,ОП Ост. пункт 1189 км,  18  км , 363  км ,,,,,,,,,,,
  6.,665053 .,Вавилино,  23  км , 358  км ,,,,,,,,,,,
  7.,665072 .,ОП Ост. пункт 1200 км,  29  км , 352  км ,,,,,,,,,,,
  8.,665104 .,Таскала,  35  км , 346  км ,,,,,,,,,,,
  9.,665119 .,Родники (рзд),  49  км , 332  км ,,,,,,,,,,,
 10.,665123 .,ОП Ост. пункт 1228 км,  57  км , 324  км ,,,,,,,,,,,
 11.,665208 .,Деркул,  64  км , 317  км ,,,,,,,,,,,
 12.,665227 .,ОП Ост. пункт 1242 км,  70  км , 311  км ,,,,,,,,,,,
 13.,665301 .,Переметная,  77  км , 304  км ,,,,,,,,,,,
 14.,665316 .,ОП Ост. пункт 1257 км,  86  км , 295  км ,,,,,,,,,,,
 15.,665405 .,Белес (рзд),  94  км , 287  км ,,,,,,,,,,,
 16.,667909 .,Кардон, 105  км , 276  км ,,,,,,,,,,,
 17.,665509 .,Орал-Товарная, 112  км , 269  км ,,,,,,,,,,,
 18.,665602 .,Орал, 117  км , 264  км ,,,,,,,,,,,
 19.,666003 .,Жилаево, 126  км , 255  км ,,,,,,,,,,,
 20.,666107 .,Пойма, 136  км , 245  км ,,,,,,,,,,,
 21.,666111 .,Колузаново (рзд), 147  км , 234  км ,,,,,,,,,,,
 22.,666200 .,Жайык, 155  км , 226  км ,,,,,,,,,,,
 23.,666215 .,ОП Ост. пункт 1338 км, 166  км , 215  км ,,,,,,,,,,,
 24.,666220 .,Таксай (рзд), 176  км , 205  км ,,,,,,,,,,,
 25.,666304 .,Алгабас, 187  км , 194  км ,,,,,,,,,,,
 26.,666319 .,ОП Ост. пункт 1370 км, 199  км , 182  км ,,,,,,,,,,,
 27.,666323 .,Ангаты (рзд), 204  км , 177  км ,,,,,,,,,,,
 28.,666338 .,Гугня (рзд), 214  км , 167  км ,,,,,,,,,,,
 29.,666342 .,Пепел (рзд), 226  км , 155  км ,,,,,,,,,,,
 30.,666408 .,Казахстан, 235  км , 146  км ,,,,,,,,,,,
 31.,666412 .,Жаркий (рзд), 245  км , 136  км ,,,,,,,,,,,
 32.,666427 .,Сулусай (рзд), 254  км , 127  км ,,,,,,,,,,,
 33.,666605 .,Амангельды, 272  км , 109  км ,,,,,,,,,,,
 34.,666624 .,Тузово, 291  км ,  90  км ,,,,,,,,,,,
 35.,666639 .,ОП Ост. пункт 1473 км, 302  км ,  79  км ,,,,,,,,,,,
 36.,666709 .,Шынгырлау, 314  км ,  67  км ,,,,,,,,,,,
 37.,666713 .,Уютный (рзд), 323  км ,  58  км ,,,,,,,,,,,
 38.,666732 .,Базырово (рзд), 340  км ,  41  км ,,,,,,,,,,,
 39.,666802 .,Цвилинга, 352  км ,  29  км ,,,,,,,,,,,
 40.,666821 .,Денной (рзд), 370  км ,  11  км ,,,,,,,,,,,
 41.,666906 .,Илецк I, 381  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  2) участок 68-003 ""ИЛЕЦК I - КАНДЫАГАШ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Илецк I,до ст. Кандыагаш,,,,,,,,,,,
  1.,666501 .,Илецк I (эксп.),   0  км , 289  км ,,,,,,,,,,,
  2.,666906 .,Илецк I,   0  км , 289  км ,,,,,,,,,,,
  3.,667106 .,Разъезд № 25,   9  км , 280  км ,,,,,,,,,,,
  4.,667203 .,Чашкан,  26  км , 263  км ,,,,,,,,,,,
  5.,667222 .,Тавшон (рзд),  43  км , 246  км ,,,,,,,,,,,
  6.,667307 .,Ак-Булак,  50  км , 239  км ,,,,,,,,,,,
  7.,667311 .,Шолак-Су (рзд),  57  км , 232  км ,,,,,,,,,,,
  8.,667326 .,Жулдуз (рзд),  65  км , 224  км ,,,,,,,,,,,
  9.,667400 .,Сагарчин,  74  км , 215  км ,,,,,,,,,,,
 10.,667425 .,Кос-Арал (рзд),  88  км , 201  км ,,,,,,,,,,,
 11.,667504 .,Жайсан,  96  км , 193  км ,,,,,,,,,,,
 12.,667519 .,Разъезд № 33, 105  км , 184  км ,,,,,,,,,,,
 13.,667523 .,Шаруа (рзд), 113  км , 176  км ,,,,,,,,,,,
 14.,667608 .,Мартук, 120  км , 169  км ,,,,,,,,,,,
 15.,667612 .,Жамансу (рзд), 128  км , 161  км ,,,,,,,,,,,
 16.,667627 .,Разъезд № 36, 137  км , 152  км ,,,,,,,,,,,
 17.,667701 .,Каратогай, 146  км , 143  км ,,,,,,,,,,,
 18.,667006 .,Камыссай , 155  км , 134  км ,,,,,,,,,,,
 19.,667720 .,Разъезд № 38, 162  км , 127  км ,,,,,,,,,,,
 20.,667735 .,Курайлы (рзд), 170  км , 119  км ,,,,,,,,,,,
 21.,671302 .,Кызгалдакты , 178  км , 111  км ,,,,,,,,,,,
