Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Киргизской ж.д. (код дороги 70),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 70-001 ""ЛУГОВАЯ (ЭКСП.) - РЫБАЧЬЕ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Турксиб (эксп.),до ст. Рыбачье (эксп.),,,,,,,,,,,
  1.,715106 .,Турксиб (эксп.),   0  км , 324  км ,,,,,,,,,,,
  2.,715110 .,ОП Платформа 15 км,  17  км , 307  км ,,,,,,,,,,,
  3.,715125 .,Муньке,  24  км , 300  км ,,,,,,,,,,,
  4.,715130 .,ОП Платформа 32 км,  34  км , 290  км ,,,,,,,,,,,
  5.,715500 .,Мерке,  41  км , 283  км ,,,,,,,,,,,
  6.,715515 .,ОП Платформа 49 км,  51  км , 273  км ,,,,,,,,,,,
  7.,715604 .,Чальдовар,  62  км , 262  км ,,,,,,,,,,,
  8.,715619 .,ОП Платформа 70 км,  72  км , 252  км ,,,,,,,,,,,
  9.,715708 .,Каинды,  79  км , 245  км ,,,,,,,,,,,
 10.,715905 .,Карабалта,  94  км , 230  км ,,,,,,,,,,,
 11.,716005 .,Разъезд № 141, 107  км , 217  км ,,,,,,,,,,,
 12.,716109 .,Беловодская, 117  км , 207  км ,,,,,,,,,,,
 13.,716113 .,Разъезд № 142, 125  км , 199  км ,,,,,,,,,,,
 14.,716202 .,Шопоково, 132  км , 192  км ,,,,,,,,,,,
 15.,716217 .,Разъезд № 144, 141  км , 183  км ,,,,,,,,,,,
 16.,716402 .,Сокулук (рзд), 143  км , 181  км ,,,,,,,,,,,
 17.,716607 .,Бишкек I, 152  км , 172  км ,,,,,,,,,,,
 18.,716611 .,ОП Платформа 152 км, 154  км , 170  км ,,,,,,,,,,,
 19.,716700 .,Бишкек II, 156  км , 168  км ,,,,,,,,,,,
 20.,716908 .,Аламедин, 161  км , 163  км ,,,,,,,,,,,
 21.,716912 .,ОП Платформа 162 км, 164  км , 160  км ,,,,,,,,,,,
 22.,716927 .,ОП Платформа 166 км, 168  км , 156  км ,,,,,,,,,,,
 23.,716931 .,ОП Платформа 171 км, 173  км , 151  км ,,,,,,,,,,,
 24.,717008 .,Кант, 177  км , 147  км ,,,,,,,,,,,
 25.,717012 .,ОП Платформа 184 км, 186  км , 138  км ,,,,,,,,,,,
 26.,717027 .,ОП Платформа 190 км, 192  км , 132  км ,,,,,,,,,,,
 27.,717101 .,Ивановка, 195  км , 129  км ,,,,,,,,,,,
 28.,717116 .,ОП Платформа 202 км, 204  км , 120  км ,,,,,,,,,,,
 29.,717120 .,ОП Платформа 207 км, 209  км , 115  км ,,,,,,,,,,,
 30.,717205 .,Токмак, 216  км , 108  км ,,,,,,,,,,,
 31.,717309 .,Пост 222 км, 224  км , 100  км ,,,,,,,,,,,
 32.,717313 .,ОП Чимкурган, 232  км ,  92  км ,,,,,,,,,,,
 33.,717328 .,ОП Платформа 238 км, 240  км ,  84  км ,,,,,,,,,,,
 34.,717402 .,Быстровка, 247  км ,  77  км ,,,,,,,,,,,
 35.,717506 .,Джиль-Арык, 261  км ,  63  км ,,,,,,,,,,,
 36.,717510 .,ОП Платформа 263 км, 265  км ,  59  км ,,,,,,,,,,,
 37.,717525 .,Разъезд № 148, 276  км ,  48  км ,,,,,,,,,,,
 38.,717531 .,ОП Платформа 281 км, 283  км ,  41  км ,,,,,,,,,,,
 39.,717544 .,Кок-Майнак, 292  км ,  32  км ,,,,,,,,,,,
 40.,717559 .,ОП Платформа 309 км, 311  км ,  13  км ,,,,,,,,,,,
 41.,717608 .,Каямат-Куркол, 313  км ,  11  км ,,,,,,,,,,,
 42.,717703 .,Рыбачье, 324  км ,   0  км ,,,,,,,,,,,
 43.,717807 .,Рыбачье (эксп.), 324  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  2) участок 70-002 ""ОШ - КОК-ЯНГАК"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Ош,до ст. Кок-Янгак,,,,,,,,,,,
  1.,719605 .,Ош,   0  км ,  64  км ,,,,,,,,,,,
  2.,719709 .,Ош (эксп.),   0  км ,  64  км ,,,,,,,,,,,
  3.,719501 .,Кашгар-Кишлак,  10  км ,  54  км ,,,,,,,,,,,
  4.,718000 .,Карасу-Узбекский,  22  км ,  42  км ,,,,,,,,,,,
  5.,718208 .,Карасу-Узбекский (эксп. на Савай),  23  км ,  41  км ,,,,,,,,,,,
  6.,718015 .,ОП Ост. Пункт 381 км,  26  км ,  38  км ,,,,,,,,,,,
  7.,718104 .,Карасу-Узбекский (эксп. на,  26  км ,  38  км ,,,,,,,,,,,
,,Султанабад),,,,,,,,,,,,,
  8.,718405 .,Джалал-Абад (эксп.),  26  км ,  38  км ,,,,,,,,,,,
  9.,718418 .,ОП Ост. Пункт 402 км,  32  км ,  32  км ,,,,,,,,,,,
 10.,718301 .,Джалал-Абад,  35  км ,  29  км ,,,,,,,,,,,
 11.,718602 .,Багиш,  49  км ,  15  км ,,,,,,,,,,,
 12.,718706 .,Кок-Янгак,  64  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  3) участок 70-003 ""ПОСТ 38 КМ - КЫЗЫЛКИЯ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Пост 38 км,до ст. Кызылкия,,,,,,,,,,,
  1.,718803 .,Пост 38 км,   0  км ,   6  км ,,,,,,,,,,,
  2.,718903 .,Пост 38 км (эксп.),   0  км ,   6  км ,,,,,,,,,,,
  3.,719107 .,Кызылкия,   6  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  4) участок 70-004 ""ШАМАЛДЫСАЙ (ЭКСП.) - ТАШКУМЫР"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Шамалдысай (эксп.),до ст. Ташкумыр,,,,,,,,,,,
  1.,719304 .,Шамалдысай (эксп.),   0  км ,  25  км ,,,,,,,,,,,
  2.,719200 .,Шамалдысай,   2  км ,  23  км ,,,,,,,,,,,
  3.,719215 .,ОП Ост. Пункт 14 км,   6  км ,  19  км ,,,,,,,,,,,
  4.,719228 .,ОП Ост. Пункт 20 км,  12  км ,  13  км ,,,,,,,,,,,
  5.,719234 .,ОП Ост. Пункт 25 км,  17  км ,   8  км ,,,,,,,,,,,
  6.,719408 .,Ташкумыр,  25  км ,   0  км ,,,,,,,,,,,
_____________________________________________________________________________________________,,,,,,,,,,,,,,,
