Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Калининградской ж.д. (код дороги 10),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 10-001 ""СОВЕТСК - НЕМАН-НОВЫЙ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Советск,до ст. Неман-Новый,,,,,,,,,,,
  1.,104801 .,Советск,   0  км ,  13  км ,,,,,,,,,,,
  2.,104905 .,Неман-Новый,  13  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  2) участок 10-002 ""СОВЕТСК - КАЛИНИНГРАД-ПАССАЖИРСКИЙ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Советск,до ст. Калининград-Пассажирский,,,,,,,,,,,
  1.,104801 .,Советск,   0  км , 124  км ,,,,,,,,,,,
  2.,104816 .,ОП Ржевское,  12  км , 112  км ,,,,,,,,,,,
  3.,104820 .,ОП Щегловка-Новая,  17  км , 107  км ,,,,,,,,,,,
  4.,104840 .,ОП Славск-Новый,  21  км , 103  км ,,,,,,,,,,,
  5.,104854 .,ОП Большаково-Новое,  40  км ,  84  км ,,,,,,,,,,,
  6.,104869 .,ОП Залесье-Новое,  49  км ,  75  км ,,,,,,,,,,,
  7.,104873 .,ОП Богатово,  60  км ,  64  км ,,,,,,,,,,,
  8.,104888 .,ОП Шолохово,  69  км ,  55  км ,,,,,,,,,,,
  9.,104708 .,Полесск,  76  км ,  48  км ,,,,,,,,,,,
 10.,104375 .,ОП Славянское,  85  км ,  39  км ,,,,,,,,,,,
 11.,104356 .,ОП Добрино,  92  км ,  32  км ,,,,,,,,,,,
 12.,104322 .,ОП Баевка II,  98  км ,  26  км ,,,,,,,,,,,
 13.,104341 .,ОП Баевка,  99  км ,  25  км ,,,,,,,,,,,
 14.,104407 .,Гурьевск-Новый, 108  км ,  16  км ,,,,,,,,,,,
 15.,104303 .,Кутузово-Новое, 117  км ,   7  км ,,,,,,,,,,,
 16.,103616 .,ОП Калининград-Северный, 120  км ,   4  км ,,,,,,,,,,,
 17.,100001 .,Калининград-Сортировочный, 124  км ,   0  км ,,,,,,,,,,,
 18.,100016 .,Калининград-Пассажирский, 124  км ,   0  км ,,,,,,,,,,,
 19.,100105 .,Калининград-Сортировочный (эксп.), 124  км ,   0  км ,,,,,,,,,,,
 20.,100302 .,Калининград-Сортировочный (перев.), 124  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  3) участок 10-003 ""КАЛИНИНГРАД-ПАССАЖИРСКИЙ - МАМОНОВО (ЭКСП.)"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Калининград-Пассажирский,до ст. Мамоново (эксп.),,,,,,,,,,,
  1.,100001 .,Калининград-Сортировочный,   0  км ,  56  км ,,,,,,,,,,,
  2.,100016 .,Калининград-Пассажирский,   0  км ,  56  км ,,,,,,,,,,,
  3.,100302 .,Калининград-Сортировочный (перев.),   0  км ,  56  км ,,,,,,,,,,,
  4.,100020 .,ОП Киевская,   3  км ,  53  км ,,,,,,,,,,,
  5.,100054 .,Голубево,  11  км ,  45  км ,,,,,,,,,,,
  6.,100069 .,ОП Светлое,  16  км ,  40  км ,,,,,,,,,,,
  7.,100073 .,ОП Калининградец,  20  км ,  36  км ,,,,,,,,,,,
  8.,100088 .,ОП Мушкино,  22  км ,  34  км ,,,,,,,,,,,
  9.,102647 .,ОП Ново-Московское,  26  км ,  30  км ,,,,,,,,,,,
 10.,102609 .,Ладушкин,  29  км ,  27  км ,,,,,,,,,,,
 11.,102613 .,ОП Сосновый Бор,  33  км ,  23  км ,,,,,,,,,,,
 12.,102628 .,ОП Приморское-Новое,  37  км ,  19  км ,,,,,,,,,,,
 13.,102632 .,ОП Знаменка-Новая,  42  км ,  14  км ,,,,,,,,,,,
 14.,102702 .,Мамоново,  50  км ,   6  км ,,,,,,,,,,,
 15.,102806 .,Мамоново (эксп.),  56  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  4) участок 10-004 ""КАЛИНИНГРАД-ПАССАЖИРСКИЙ - БАЛТИЙСК (ЭКСП.) (ЧЕРЕЗ СТ. ПРИМОРСК-НОВЫЙ)"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Калининград-Пассажирский,до ст. Балтийск (эксп.),,,,,,,,,,,
  1.,100001 .,Калининград-Сортировочный,   0  км ,  47  км ,,,,,,,,,,,
  2.,100016 .,Калининград-Пассажирский,   0  км ,  47  км ,,,,,,,,,,,
  3.,100302 .,Калининград-Сортировочный (перев.),   0  км ,  47  км ,,,,,,,,,,,
  4.,102901 .,Западный-Новый,   4  км ,  43  км ,,,,,,,,,,,
  5.,103300 .,Западный-Новый (эксп.),   4  км ,  43  км ,,,,,,,,,,,
  6.,103007 .,Лесное-Новое,  11  км ,  36  км ,,,,,,,,,,,
  7.,103014 .,ОП Люблино-Новое,  15  км ,  32  км ,,,,,,,,,,,
  8.,102007 .,Шиповка (эксп),  23  км ,  24  км ,,,,,,,,,,,
  9.,103103 .,Шиповка,  23  км ,  24  км ,,,,,,,,,,,
 10.,103118 .,Пост 26 км,  26  км ,  21  км ,,,,,,,,,,,
 11.,101606 .,Прохладный (рзд.),  28  км ,  19  км ,,,,,,,,,,,
 12.,103122 .,ОП Кострово,  29  км ,  18  км ,,,,,,,,,,,
 13.,103334 .,Приморск-Новый,  34  км ,  13  км ,,,,,,,,,,,
 14.,103315 .,ОП Застава,  39  км ,   8  км ,,,,,,,,,,,
 15.,103326 .,ОП Мечниково,  42  км ,   5  км ,,,,,,,,,,,
 16.,103404 .,Балтийск,  47  км ,   0  км ,,,,,,,,,,,
 17.,103601 .,Балтийск (паром),  47  км ,   0  км ,,,,,,,,,,,
 18.,103902 .,Балтийск (эксп.),  47  км ,   0  км ,,,,,,,,,,,
 19.,104106 .,Балтийск (паром эксп.),  47  км ,   0  км ,,,,,,,,,,,
 20.,104500 .,Балтийск (паром эксп. в порты,  47  км ,   0  км ,,,,,,,,,,,
,,третьих стран),,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  5) участок 10-005 ""КАЛИНИНГРАД-ПАССАЖИРСКИЙ - БАГРАТИОНОВСК (ЭКСП.)"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Калининград-Пассажирский,до ст. Багратионовск (эксп.),,,,,,,,,,,
  1.,100001 .,Калининград-Сортировочный,   0  км ,  41  км ,,,,,,,,,,,
  2.,100016 .,Калининград-Пассажирский,   0  км ,  41  км ,,,,,,,,,,,
  3.,100302 .,Калининград-Сортировочный (перев.),   0  км ,  41  км ,,,,,,,,,,,
  4.,102516 .,ОП Ангарская,   3  км ,  38  км ,,,,,,,,,,,
  5.,101201 .,Дзержинская-Новая (эксп.),   4  км ,  37  км ,,,,,,,,,,,
  6.,102505 .,Дзержинская-Новая,   4  км ,  37  км ,,,,,,,,,,,
  7.,102420 .,ОП Новое Лесное,   6  км ,  35  км ,,,,,,,,,,,
  8.,102416 .,ОП Отважное,  10  км ,  31  км ,,,,,,,,,,,
  9.,102401 .,Владимиров,  14  км ,  27  км ,,,,,,,,,,,
 10.,102238 .,ОП Хуторская,  18  км ,  23  км ,,,,,,,,,,,
 11.,102223 .,ОП Стрельня-Новая,  22  км ,  19  км ,,,,,,,,,,,
 12.,102204 .,Багратионовск,  36  км ,   5  км ,,,,,,,,,,,
 13.,102308 .,Багратионовск (эксп.),  41  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  6) участок 10-008 ""КАЛИНИНГРАД-ПАССАЖИРСКИЙ - ЧЕРНЯХОВСК"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Калининград-Пассажирский,до ст. Черняховск,,,,,,,,,,,
  1.,100001 .,Калининград-Сортировочный,   0  км ,  90  км ,,,,,,,,,,,
  2.,100016 .,Калининград-Пассажирский,   0  км ,  90  км ,,,,,,,,,,,
  3.,100302 .,Калининград-Сортировочный (перев.),   0  км ,  90  км ,,,,,,,,,,,
  4.,102120 .,ОП Айвазовский,   6  км ,  84  км ,,,,,,,,,,,
  5.,102100 .,Луговое-Новое,  10  км ,  80  км ,,,,,,,,,,,
  6.,101911 .,ОП Комсомольск-Западный,  19  км ,  71  км ,,,,,,,,,,,
  7.,101930 .,Озерки-Новые,  28  км ,  62  км ,,,,,,,,,,,
  8.,101803 .,Гвардейск,  40  км ,  50  км ,,,,,,,,,,,
  9.,101706 .,Знаменск,  50  км ,  40  км ,,,,,,,,,,,
 10.,100834 .,ОП Пушкарево,  61  км ,  29  км ,,,,,,,,,,,
 11.,100820 .,ОП Междуречье,  72  км ,  18  км ,,,,,,,,,,,
 12.,100815 .,ОП Пастухово-Новое,  78  км ,  12  км ,,,,,,,,,,,
 13.,100800 .,Черняховск,  90  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  7) участок 10-009 ""ЧЕРНЯХОВСК - СОВЕТСК (ЭКСП.)"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Черняховск,до ст. Советск (эксп.),,,,,,,,,,,
  1.,100800 .,Черняховск,   0  км ,  59  км ,,,,,,,,,,,
  2.,104801 .,Советск,  58  км ,   1  км ,,,,,,,,,,,
  3.,105005 .,Советск (эксп.),  59  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  8) участок 10-010 ""ЧЕРНЯХОВСК - ЖЕЛЕЗНОДОРОЖНЫЙ (ЭКСП.)"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Черняховск,до ст. Железнодорожный (эксп.),,,,,,,,,,,
  1.,100800 .,Черняховск,   0  км ,  48  км ,,,,,,,,,,,
  2.,100904 .,Черняховск (эксп.),   0  км ,  48  км ,,,,,,,,,,,
  3.,101536 .,Красновка,   7  км ,  41  км ,,,,,,,,,,,
  4.,101310 .,Железнодорожный,  45  км ,   3  км ,,,,,,,,,,,
  5.,101108 .,Железнодорожный (эксп.),  48  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  9) участок 10-011 ""ЧЕРНЯХОВСК - НЕСТЕРОВ (ЭКСП.)"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Черняховск,до ст. Нестеров (эксп.),,,,,,,,,,,
  1.,100800 .,Черняховск,   0  км ,  61  км ,,,,,,,,,,,
  2.,100764 .,ОП Орлиный Лес-2,   4  км ,  57  км ,,,,,,,,,,,
  3.,100753 .,ОП Орлиный Лес,   5  км ,  56  км ,,,,,,,,,,,
  4.,100745 .,ОП Шувалово,   7  км ,  54  км ,,,,,,,,,,,
  5.,100730 .,ОП Веселовка,  13  км ,  48  км ,,,,,,,,,,,
  6.,100726 .,ОП Лермонтово,  15  км ,  46  км ,,,,,,,,,,,
  7.,100711 .,ОП Синявино,  19  км ,  42  км ,,,,,,,,,,,
  8.,100707 .,Гусев,  25  км ,  36  км ,,,,,,,,,,,
  9.,100533 .,ОП Липово,  28  км ,  33  км ,,,,,,,,,,,
 10.,100529 .,ОП Подгоровка,  33  км ,  28  км ,,,,,,,,,,,
 11.,100514 .,ОП Дивное-Новое,  39  км ,  22  км ,,,,,,,,,,,
 12.,100500 .,Нестеров,  50  км ,  11  км ,,,,,,,,,,,
 13.,101019 .,Чернышевское,  60  км ,   1  км ,,,,,,,,,,,
 14.,100406 .,Нестеров (эксп.),  61  км ,   0  км ,,,,,,,,,,,
 15.,101004 .,Чернышевское (эксп.),  61  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 10) участок 10-012 ""КАЛИНИНГРАД-СЕВЕРНЫЙ - ПРИМОРСК-НОВЫЙ (через ст. Пионерский Курорт)"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Калининград-Северный,до ст. Приморск-Новый,до ст. Неман-Новый,,,,,,,,,,
  1.,103616 .,ОП Калининград-Северный,   0  км ,  80  км , 120  км ,,,,,,,,,,
  2.,103620 .,Чкаловск-Западный,   6  км ,  74  км , 126  км ,,,,,,,,,,
  3.,104604 .,Дружное-Западное,  13  км ,  67  км , 133  км ,,,,,,,,,,
  4.,103635 .,Колосовка-Западная,  17  км ,  63  км , 137  км ,,,,,,,,,,
  5.,103645 .,ОП Березовая,  20  км ,  60  км , 140  км ,,,,,,,,,,
  6.,103705 .,Переславское-Западное,  22  км ,  58  км , 142  км ,,,,,,,,,,
  7.,100209 .,Пионерский Курорт (эксп.),  34  км ,  46  км , 154  км ,,,,,,,,,,
  8.,103809 .,Пионерский Курорт,  34  км ,  46  км , 154  км ,,,,,,,,,,
  9.,103813 .,Светлогорск I,  39  км ,  41  км , 159  км ,,,,,,,,,,
 10.,103334 .,Приморск-Новый,  80  км ,   0  км , 200  км ,,,,,,,,,,
,,,,,,,,,,,,,,,
" 11) участок 10-013 ""ПОСТ 26 КМ - БАЛТИЙСКИЙ ЛЕС (ЭКСП.)"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Пост 26 км,до ст. Приморск-Новый,,,,,,,,,,,
  1.,103118 .,Пост 26 км,   0  км ,   8  км ,,,,,,,,,,,
  2.,103207 .,Балтийский Лес,  10  км ,  18  км ,,,,,,,,,,,
