Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Красноярской ж.д. (код дороги 88),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 88-001 ""МАРИИНСК - АЧИНСК I"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Мариинск,до ст. Ачинск I,,,,,,,,,,,
  1.,880106 .,Мариинск,   0  км , 201  км ,,,,,,,,,,,
  2.,880110 .,ОП Пристань,   6  км , 195  км ,,,,,,,,,,,
  3.,880125 .,ОП Раевка,   9  км , 192  км ,,,,,,,,,,,
  4.,880233 .,Предметкино,  11  км , 190  км ,,,,,,,,,,,
  5.,880214 .,ОП Александровка,  17  км , 184  км ,,,,,,,,,,,
  6.,880303 .,Суслово,  24  км , 177  км ,,,,,,,,,,,
  7.,880318 .,ОП Ост. Пункт 3738 км,  26  км , 175  км ,,,,,,,,,,,
  8.,880322 .,ОП Безводный,  30  км , 171  км ,,,,,,,,,,,
  9.,880341 .,ОП Садовый,  35  км , 166  км ,,,,,,,,,,,
 10.,880356 .,Аверьяновка,  39  км , 162  км ,,,,,,,,,,,
 11.,880360 .,ОП Ключевая,  43  км , 158  км ,,,,,,,,,,,
 12.,880389 .,ОП Качаевка,  50  км , 151  км ,,,,,,,,,,,
 13.,880411 .,ОП Ясная,  58  км , 143  км ,,,,,,,,,,,
 14.,880407 .,Тяжин,  60  км , 141  км ,,,,,,,,,,,
 15.,880445 .,ОП Красинская,  70  км , 131  км ,,,,,,,,,,,
 16.,880500 .,Тисуль,  73  км , 128  км ,,,,,,,,,,,
 17.,880534 .,ОП Акимо-Анненка,  82  км , 119  км ,,,,,,,,,,,
 18.,880604 .,Итат,  96  км , 105  км ,,,,,,,,,,,
 19.,880619 .,ОП Аэродром, 100  км , 101  км ,,,,,,,,,,,
 20.,880623 .,ОП Самсоновка, 105  км ,  96  км ,,,,,,,,,,,
 21.,880638 .,Каштан, 112  км ,  89  км ,,,,,,,,,,,
 22.,880801 .,Боготол, 133  км ,  68  км ,,,,,,,,,,,
 23.,880869 .,ОП Заводская, 135  км ,  66  км ,,,,,,,,,,,
 24.,880816 .,ОП Шулдат, 142  км ,  59  км ,,,,,,,,,,,
 25.,880820 .,Вагино, 150  км ,  51  км ,,,,,,,,,,,
 26.,880835 .,ОП Поселок Куйбышево, 155  км ,  46  км ,,,,,,,,,,,
 27.,880840 .,ОП Журавлиха, 161  км ,  40  км ,,,,,,,,,,,
 28.,880905 .,Критово, 166  км ,  35  км ,,,,,,,,,,,
 29.,880854 .,ОП Красная Речка, 172  км ,  29  км ,,,,,,,,,,,
 30.,880917 .,ОП Степановка, 175  км ,  26  км ,,,,,,,,,,,
 31.,880924 .,ОП Клубничная, 179  км ,  22  км ,,,,,,,,,,,
 32.,881005 .,Зерцалы, 186  км ,  15  км ,,,,,,,,,,,
 33.,881058 .,ОП Ост. Пункт 3899 км, 187  км ,  14  км ,,,,,,,,,,,
 34.,881012 .,ОП Село Белый Яр, 189  км ,  12  км ,,,,,,,,,,,
 35.,881062 .,Ачинск III, 191  км ,  10  км ,,,,,,,,,,,
 36.,881024 .,ОП Нагорново, 193  км ,   8  км ,,,,,,,,,,,
 37.,881039 .,ОП Подсобное Хозяйство, 195  км ,   6  км ,,,,,,,,,,,
 38.,881043 .,ОП Река Чулым, 198  км ,   3  км ,,,,,,,,,,,
 39.,880002 .,Ачинск I, 201  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  2) участок 88-002 ""АЧИНСК I - УЯР"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Ачинск I,до ст. Уяр,,,,,,,,,,,
  1.,880002 .,Ачинск I,   0  км , 317  км ,,,,,,,,,,,
  2.,880093 .,ОП Транспортная,   3  км , 314  км ,,,,,,,,,,,
  3.,880163 .,Пут. пост 3920 км,   6  км , 311  км ,,,,,,,,,,,
  4.,880055 .,ОП Салырка,   7  км , 310  км ,,,,,,,,,,,
  5.,880060 .,ОП Иринка,  11  км , 306  км ,,,,,,,,,,,
  6.,880074 .,ОП Грибная,  13  км , 304  км ,,,,,,,,,,,
  7.,880089 .,ОП Козловка,  16  км , 301  км ,,,,,,,,,,,
  8.,882811 .,ОП Покровка,  19  км , 298  км ,,,,,,,,,,,
  9.,882845 .,Тарутино,  23  км , 294  км ,,,,,,,,,,,
 10.,882856 .,ОП Ост. Пункт 3938 км,  25  км , 292  км ,,,,,,,,,,,
 11.,882826 .,ОП Боровка,  28  км , 289  км ,,,,,,,,,,,
 12.,882879 .,ОП Ост. Пункт 3944 км,  31  км , 286  км ,,,,,,,,,,,
 13.,882883 .,ОП Ост. Пункт 3946 км,  33  км , 284  км ,,,,,,,,,,,
 14.,882830 .,ОП Ибрюль,  34  км , 283  км ,,,,,,,,,,,
 15.,882864 .,ОП Юбилейная,  35  км , 282  км ,,,,,,,,,,,
 16.,890894 .,ОП Ж.Д. Поселок,  36  км , 281  км ,,,,,,,,,,,
 17.,890305 .,Чернореченская,  40  км , 277  км ,,,,,,,,,,,
 18.,890318 .,ОП Карпицкая,  43  км , 274  км ,,,,,,,,,,,
 19.,890339 .,ОП Постойка,  47  км , 270  км ,,,,,,,,,,,
 20.,890343 .,ОП Веселая,  50  км , 267  км ,,,,,,,,,,,
 21.,890358 .,ОП Шушковский,  55  км , 262  км ,,,,,,,,,,,
 22.,890324 .,ОП Малиногорка,  58  км , 259  км ,,,,,,,,,,,
 23.,890381 .,ОП Каменка,  63  км , 254  км ,,,,,,,,,,,
 24.,890409 .,Козулька,  66  км , 251  км ,,,,,,,,,,,
 25.,890428 .,ОП Черемушки,  71  км , 246  км ,,,,,,,,,,,
 26.,890432 .,ОП Шарловский,  75  км , 242  км ,,,,,,,,,,,
 27.,890447 .,ОП Листвянка,  79  км , 238  км ,,,,,,,,,,,
 28.,890413 .,Косачи,  83  км , 234  км ,,,,,,,,,,,
 29.,890451 .,ОП Боровой,  87  км , 230  км ,,,,,,,,,,,
 30.,890502 .,Кемчуг,  90  км , 227  км ,,,,,,,,,,,
 31.,890517 .,ОП Сергино,  96  км , 221  км ,,,,,,,,,,,
 32.,890536 .,ОП Горная, 101  км , 216  км ,,,,,,,,,,,
 33.,890521 .,ОП Бадаложный, 104  км , 213  км ,,,,,,,,,,,
 34.,890606 .,Зеледеево, 114  км , 203  км ,,,,,,,,,,,
 35.,890637 .,ОП Водораздел, 123  км , 194  км ,,,,,,,,,,,
 36.,890610 .,ОП Крючково, 127  км , 190  км ,,,,,,,,,,,
 37.,890644 .,ОП Лесная, 129  км , 188  км ,,,,,,,,,,,
 38.,890625 .,ОП Известковый, 131  км , 186  км ,,,,,,,,,,,
 39.,890703 .,Кача, 133  км , 184  км ,,,,,,,,,,,
 40.,890714 .,ОП Щебеночный Завод, 138  км , 179  км ,,,,,,,,,,,
 41.,890729 .,ОП Полезная, 143  км , 174  км ,,,,,,,,,,,
 42.,890733 .,ОП Еловка, 145  км , 172  км ,,,,,,,,,,,
 43.,891011 .,Снежница, 148  км , 169  км ,,,,,,,,,,,
 44.,890752 .,ОП Рябинино, 153  км , 164  км ,,,,,,,,,,,
