Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Крымской ж.д. (код дороги 85),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 85-001 ""СОЛЕНОЕ ОЗЕРО (СТЫК.) - ДЖАНКОЙ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Соленое Озеро (стык.),до ст. Джанкой,,,,,,,,,,,
  1.,857307 .,Соленое Озеро (стык.),   0  км ,  28  км ,,,,,,,,,,,
  2.,856107 .,Соленое Озеро (эксп.),   8  км ,  20  км ,,,,,,,,,,,
  3.,856605 .,Соленое Озеро,   8  км ,  20  км ,,,,,,,,,,,
  4.,856126 .,ОП Ост. пункт 1361 км,  17  км ,  11  км ,,,,,,,,,,,
  5.,859105 .,Мамут,  18  км ,  10  км ,,,,,,,,,,,
  6.,856145 .,ОП Ост. Пункт 1367 км,  22  км ,   6  км ,,,,,,,,,,,
  7.,856155 .,ОП Ост. Пункт 1369 км,  25  км ,   3  км ,,,,,,,,,,,
  8.,856164 .,ОП Ост. пункт 1370 км,  26  км ,   2  км ,,,,,,,,,,,
  9.,856200 .,Джанкой,  28  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  2) участок 85-002 ""ДЖАНКОЙ - ОСТРЯКОВО"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Джанкой,до ст. Остряково,,,,,,,,,,,
  1.,856200 .,Джанкой,   0  км ,  72  км ,,,,,,,,,,,
  2.,856215 .,ОП Платформа 1379 км,   8  км ,  64  км ,,,,,,,,,,,
  3.,856221 .,Отрадная,  12  км ,  60  км ,,,,,,,,,,,
  4.,856234 .,ОП Платформа 1389 км,  18  км ,  54  км ,,,,,,,,,,,
  5.,856249 .,ОП Платформа 1393 км,  22  км ,  50  км ,,,,,,,,,,,
  6.,856304 .,Урожайная,  25  км ,  47  км ,,,,,,,,,,,
