Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Латвийской ж.д. (код дороги 09),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 09-002 ""ВАЛКА (РЗД) - ИЕРИКИ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Лугажи (эксп.),до ст. Иерики,,,,,,,,,,,
  1.,090204 .,Валка (рзд),   0  км ,  92  км ,,,,,,,,,,,
  2.,110802 .,Лугажи (эксп.),   0  км ,  92  км ,,,,,,,,,,,
  3.,110817 .,Лугажи,   2  км ,  90  км ,,,,,,,,,,,
  4.,110821 .,Сауле,  11  км ,  81  км ,,,,,,,,,,,
  5.,110836 .,ОП Седа,  22  км ,  70  км ,,,,,,,,,,,
  6.,110906 .,Стренчи,  25  км ,  67  км ,,,,,,,,,,,
  7.,110910 .,Бренгули,  37  км ,  55  км ,,,,,,,,,,,
  8.,111006 .,Валмиера,  45  км ,  47  км ,,,,,,,,,,,
  9.,111010 .,Бале,  52  км ,  40  км ,,,,,,,,,,,
 10.,111107 .,Лоде,  61  км ,  31  км ,,,,,,,,,,,
 11.,111114 .,ОП Янямуйжа,  68  км ,  24  км ,,,,,,,,,,,
 12.,111203 .,Цесис,  73  км ,  19  км ,,,,,,,,,,,
 13.,111218 .,Арайши,  82  км ,  10  км ,,,,,,,,,,,
 14.,111222 .,ОП Мелтури,  88  км ,   4  км ,,,,,,,,,,,
 15.,111307 .,Иерики,  92  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  2) участок 09-003 ""ИЕРИКИ - ЗЕМИТАНЫ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Иерики,до ст. Земитаны,,,,,,,,,,,
  1.,111307 .,Иерики,   0  км ,  70  км ,,,,,,,,,,,
  2.,095104 .,Лигатне,  10  км ,  60  км ,,,,,,,,,,,
  3.,095119 .,Сигулда,  21  км ,  49  км ,,,,,,,,,,,
  4.,095123 .,ОП Силциемс,  26  км ,  44  км ,,,,,,,,,,,
  5.,095138 .,ОП Эгльупе,  30  км ,  40  км ,,,,,,,,,,,
  6.,095208 .,Инчукалнс,  34  км ,  36  км ,,,,,,,,,,,
  7.,095301 .,Вангажи,  40  км ,  30  км ,,,,,,,,,,,
  8.,095405 .,Криевупе,  45  км ,  25  км ,,,,,,,,,,,
  9.,095509 .,Гаркалне,  51  км ,  19  км ,,,,,,,,,,,
 10.,095513 .,ОП Балтэзерс,  57  км ,  13  км ,,,,,,,,,,,
 11.,095706 .,Югла,  64  км ,   6  км ,,,,,,,,,,,
 12.,095800 .,Чиекуркалнс,  68  км ,   2  км ,,,,,,,,,,,
 13.,095000 .,Земитаны,  70  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  3) участок 09-004 ""ГУЛБЕНЕ - ПЛЯВИНЯС"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Гулбене,до ст. Плявиняс,,,,,,,,,,,
  1.,111608 .,Гулбене,   0  км ,  98  км ,,,,,,,,,,,
  2.,116813 .,ОП Элсте,  10  км ,  88  км ,,,,,,,,,,,
  3.,116828 .,ОП Яунгулбене,  17  км ,  81  км ,,,,,,,,,,,
