Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Литовской ж.д. (код дороги 12),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 12-001 ""ЙОНИШКИС (ЭКСП.) - ШЯУЛЯЙ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Йонишкис (эксп.),до ст. Шяуляй,,,,,,,,,,,
  1.,126105 .,Йонишкис (эксп.),   0  км ,  60  км ,,,,,,,,,,,
  2.,126110 .,Шаркяй (рзд),   6  км ,  54  км ,,,,,,,,,,,
  3.,126001 .,Йонишкис,  16  км ,  44  км ,,,,,,,,,,,
  4.,125812 .,Мешкуйчяй,  38  км ,  22  км ,,,,,,,,,,,
  5.,125808 .,Губерния,  53  км ,   7  км ,,,,,,,,,,,
  6.,125704 .,Шяуляй,  60  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  2) участок 12-002 ""ШЯУЛЯЙ - КУЖЯЙ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Шяуляй,до ст. Кужяй,,,,,,,,,,,
  1.,125704 .,Шяуляй,   0  км ,  15  км ,,,,,,,,,,,
  2.,125719 .,Толечяй (рзд),   8  км ,   7  км ,,,,,,,,,,,
  3.,127004 .,Кужяй,  15  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  3) участок 12-003 ""СКУОДАС (ЭКСП.) - КРЯТИНГА"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Скуодас (эксп.),до ст. Крятинга,,,,,,,,,,,
  1.,106900 .,Скуодас (эксп.),   0  км ,  52  км ,,,,,,,,,,,
  2.,107104 .,Скуодас,   4  км ,  48  км ,,,,,,,,,,,
  3.,107119 .,ОП Палукне,   9  км ,  43  км ,,,,,,,,,,,
  4.,107138 .,ОП Науседай,  26  км ,  26  км ,,,,,,,,,,,
  5.,107142 .,Дарбенай,  37  км ,  15  км ,,,,,,,,,,,
  6.,107157 .,ОП Тубаусяй,  43  км ,   9  км ,,,,,,,,,,,
  7.,107809 .,Крятинга,  52  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  4) участок 12-004 ""БУГЯНЯЙ (ЭКСП.) - МАЖЕЙКЯЙ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Бугяняй (эксп.),до ст. Мажейкяй,,,,,,,,,,,
  1.,126209 .,Бугяняй (эксп.),   0  км ,  24  км ,,,,,,,,,,,
  2.,126213 .,Луше,   4  км ,  20  км ,,,,,,,,,,,
  3.,126302 .,Бугяняй,   9  км ,  15  км ,,,,,,,,,,,
  4.,126317 .,Вянта,  14  км ,  10  км ,,,,,,,,,,,
  5.,126406 .,Мажейкяй,  24  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  5) участок 12-005 ""МАЖЕЙКЯЙ - КУЖЯЙ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Мажейкяй,до ст. Кужяй,,,,,,,,,,,
  1.,126406 .,Мажейкяй,   0  км ,  63  км ,,,,,,,,,,,
  2.,126425 .,Векшняй,  12  км ,  51  км ,,,,,,,,,,,
  3.,126707 .,Акмяне,  26  км ,  37  км ,,,,,,,,,,,
  4.,126730 .,Папиле,  34  км ,  29  км ,,,,,,,,,,,
  5.,126711 .,ОП Жиляй,  43  км ,  20  км ,,,,,,,,,,,
  6.,126800 .,Карпенай,  44  км ,  55  км ,,,,,,,,,,,
  7.,126904 .,Куршенай,  52  км ,  11  км ,,,,,,,,,,,
  8.,127004 .,Кужяй,  63  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  6) участок 12-008 ""МАЖЕЙКЯЙ (ЭКСП.) - МАЖЕЙКЯЙ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Мажейкяй (эксп.),до ст. ,,,,,,,,,,,
  1.,126505 .,Мажейкяй (эксп.),   0  км ,   0  км ,,,,,,,,,,,
  2.,126406 .,Мажейкяй,  19  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  7) участок 12-009 ""КУЖЯЙ - КРЯТИНГА"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Кужяй,до ст. Крятинга,,,,,,,,,,,
  1.,127004 .,Кужяй,   0  км , 127  км ,,,,,,,,,,,
  2.,107208 .,Павянчяй,  12  км , 115  км ,,,,,,,,,,,
  3.,107301 .,Тришкяй,  34  км ,  93  км ,,,,,,,,,,,
  4.,107405 .,Тяльшяй,  56  км ,  71  км ,,,,,,,,,,,
  5.,107413 .,Леплауке,  67  км ,  60  км ,,,,,,,,,,,
  6.,107509 .,Плунге,  85  км ,  42  км ,,,,,,,,,,,
  7.,107617 .,Шатейкяй,  99  км ,  28  км ,,,,,,,,,,,
  8.,107706 .,Кулупенай, 110  км ,  17  км ,,,,,,,,,,,
  9.,107809 .,Крятинга, 127  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  8) участок 12-010 ""КРЯТИНГА - ПАГЕГЯЙ (ЭКСП.)"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Крятинга,до ст. Пагегяй (эксп.),,,,,,,,,,,
  1.,107809 .,Крятинга,   0  км , 114  км ,,,,,,,,,,,
  2.,107814 .,ОП Байорай,   2  км , 112  км ,,,,,,,,,,,
  3.,107833 .,Крятингале,   7  км , 107  км ,,,,,,,,,,,
  4.,107852 .,Гируляй,  16  км ,  98  км ,,,,,,,,,,,
  5.,107867 .,ОП Пауостис,  20  км ,  94  км ,,,,,,,,,,,
  6.,108003 .,Клайпеда,  23  км ,  91  км ,,,,,,,,,,,
  7.,108107 .,Клайпеда (эксп.),  23  км ,  91  км ,,,,,,,,,,,
  8.,108408 .,Римкай,  32  км ,  82  км ,,,,,,,,,,,
  9.,108427 .,ОП Гружейкяй,  36  км ,  78  км ,,,,,,,,,,,
 10.,108501 .,Прекуле,  44  км ,  70  км ,,,,,,,,,,,
 11.,108605 .,Вилькичяй,  53  км ,  61  км ,,,,,,,,,,,
 12.,108619 .,ОП Пликоряй,  55  км ,  59  км ,,,,,,,,,,,
 13.,108709 .,Шилуте,  73  км ,  41  км ,,,,,,,,,,,
 14.,108713 .,ОП Юкнайчяй,  82  км ,  32  км ,,,,,,,,,,,
 15.,108766 .,ОП Кугеляй,  87  км ,  27  км ,,,,,,,,,,,
 16.,108728 .,ОП Усенай,  93  км ,  21  км ,,,,,,,,,,,
 17.,108732 .,Стонишкяй,  97  км ,  17  км ,,,,,,,,,,,
 18.,108751 .,ОП Жиргинас, 101  км ,  13  км ,,,,,,,,,,,
 19.,108747 .,ОП Анужяй, 104  км ,  10  км ,,,,,,,,,,,
 20.,107000 .,Пагегяй, 109  км ,   5  км ,,,,,,,,,,,
