Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Львовской ж.д. (код дороги 35),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 35-001 ""САРНЫ - УДРИЦК"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Сарны,до ст. Удрицк,,,,,,,,,,,
  1.,355504 .,Сарны,   0  км ,  50  км ,,,,,,,,,,,
  2.,355542 .,ОП Стрельск,  10  км ,  40  км ,,,,,,,,,,,
  3.,355557 .,ОП Платформа 103 км,  16  км ,  34  км ,,,,,,,,,,,
  4.,356206 .,Дубровица,  25  км ,  25  км ,,,,,,,,,,,
  5.,356210 .,ОП Платформа 120 км,  33  км ,  17  км ,,,,,,,,,,,
  6.,356300 .,Милячи,  39  км ,  11  км ,,,,,,,,,,,
  7.,356403 .,Удрицк,  50  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  2) участок 35-002 ""САРНЫ - ОЛЕВСК (Юго-Западной ж.д.)"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Сарны,до ст. Олевск,,,,,,,,,,,
  1.,355504 .,Сарны,   0  км ,  77  км ,,,,,,,,,,,
  2.,355523 .,Страшов,  12  км ,  65  км ,,,,,,,,,,,
  3.,355701 .,Клесов,  22  км ,  55  км ,,,,,,,,,,,
  4.,355716 .,ОП Ост. Пункт 283 км,  28  км ,  49  км ,,,,,,,,,,,
  5.,355805 .,Томашгород,  35  км ,  42  км ,,,,,,,,,,,
  6.,355810 .,ОП Осницк,  41  км ,  36  км ,,,,,,,,,,,
  7.,355909 .,Рокитно-Волынское,  46  км ,  31  км ,,,,,,,,,,,
  8.,356009 .,Остки,  57  км ,  20  км ,,,,,,,,,,,
  9.,356013 .,ОП Сновидовичи,  65  км ,  12  км ,,,,,,,,,,,
 10.,348905 .,Олевск,  77  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  3) участок 35-003 ""САРНЫ - РОВНО"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Сарны,до ст. Ровно,,,,,,,,,,,
