Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Молдавской ж.д. (код дороги 39),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 39-001 ""ВЭЛЧИНЕЦ (ЭКСП.) - ОКНИЦА"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Вэлчинец (эксп.),до ст. Окница,,,,,,,,,,,
  1.,394316 .,ОП Отачь,   0  км ,  38  км ,,,,,,,,,,,
  2.,395200 .,Вэлчинец (эксп.),   0  км ,  38  км ,,,,,,,,,,,
  3.,394301 .,Вэлчинец,   3  км ,  35  км ,,,,,,,,,,,
  4.,394246 .,ОП Ост. Пункт 202 км,   6  км ,  32  км ,,,,,,,,,,,
  5.,394231 .,ОП Вережень,  11  км ,  27  км ,,,,,,,,,,,
  6.,394227 .,ОП Ост. Пункт 193 км,  15  км ,  23  км ,,,,,,,,,,,
  7.,394212 .,Наславча (рзд),  19  км ,  19  км ,,,,,,,,,,,
  8.,394208 .,Гырбова,  27  км ,  11  км ,,,,,,,,,,,
  9.,394104 .,Окница,  38  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  2) участок 39-002 ""ОКНИЦА - БЭЛЦЬ-СЛОБОЗИЯ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Окница,до ст. Бэлць-Слобозия,,,,,,,,,,,
  1.,394104 .,Окница,   0  км ,  91  км ,,,,,,,,,,,
  2.,393927 .,ОП Ост. Пункт 172 км,   5  км ,  86  км ,,,,,,,,,,,
  3.,393915 .,Гринэуць,  12  км ,  79  км ,,,,,,,,,,,
  4.,393900 .,Редиул-Маре,  18  км ,  73  км ,,,,,,,,,,,
  5.,393811 .,ОП Ост. Пункт 154 км,  22  км ,  69  км ,,,,,,,,,,,
  6.,393807 .,Дондушень,  28  км ,  63  км ,,,,,,,,,,,
  7.,393703 .,Тырнова,  38  км ,  53  км ,,,,,,,,,,,
  8.,393614 .,Гиздита,  48  км ,  43  км ,,,,,,,,,,,
  9.,393629 .,ОП Ост. пункт 124 км,  53  км ,  38  км ,,,,,,,,,,,
 10.,393608 .,Дрокия,  59  км ,  32  км ,,,,,,,,,,,
 11.,393510 .,ОП Ост. пункт 113 км,  63  км ,  28  км ,,,,,,,,,,,
 12.,393506 .,София,  69  км ,  22  км ,,,,,,,,,,,
 13.,393525 .,ОП Ост. пункт 101 км,  75  км ,  16  км ,,,,,,,,,,,
 14.,393313 .,Пеленей,  82  км ,   9  км ,,,,,,,,,,,
 15.,393309 .,Бэлць-Слобозия,  91  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  3) участок 39-003 ""ОКНИЦА - ОКНИЦА (ЭКСП.)"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Окница,до ст. Окница (эксп.),,,,,,,,,,,
  1.,394104 .,Окница,   0  км ,  11  км ,,,,,,,,,,,
  2.,395304 .,Окница (эксп.),  11  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  4) участок 39-004 ""БЭЛЦЬ-СЛОБОЗИЯ - КОЛБАСНА (ЭКСП.)"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Бэлць-Слобозия,до ст. Колбасна (эксп.),,,,,,,,,,,
  1.,393309 .,Бэлць-Слобозия,   0  км , 156  км ,,,,,,,,,,,
  2.,393328 .,ОП Елизаветовка,   6  км , 150  км ,,,,,,,,,,,
  3.,395408 .,Алексэндрень,  12  км , 144  км ,,,,,,,,,,,
  4.,395412 .,ОП Путинешты,  18  км , 138  км ,,,,,,,,,,,
  5.,395427 .,ОП Гура Кэйнарулуй,  23  км , 133  км ,,,,,,,,,,,
  6.,395501 .,Мэркулешть,  26  км , 130  км ,,,,,,,,,,,
  7.,395605 .,Флорешть,  33  км , 123  км ,,,,,,,,,,,
  8.,395613 .,ОП Гура Каменчий,  36  км , 120  км ,,,,,,,,,,,
  9.,395709 .,Гиндешть,  41  км , 115  км ,,,,,,,,,,,
 10.,395713 .,ОП Цыра,  49  км , 107  км ,,,,,,,,,,,
 11.,395728 .,ОП Кошерница,  51  км , 105  км ,,,,,,,,,,,
 12.,395802 .,Рогожень,  58  км ,  98  км ,,,,,,,,,,,
 13.,395817 .,Похоарна (рзд),  64  км ,  92  км ,,,,,,,,,,,
 14.,395906 .,Ункитешть,  74  км ,  82  км ,,,,,,,,,,,
 15.,395910 .,Кухурешть (рзд),  80  км ,  76  км ,,,,,,,,,,,
 16.,396006 .,Кобыльня,  88  км ,  68  км ,,,,,,,,,,,
 17.,396010 .,Олишкань (рзд),  97  км ,  59  км ,,,,,,,,,,,
 18.,396104 .,Шолдэнешть, 103  км ,  53  км ,,,,,,,,,,,
 19.,396114 .,ОП Ост. Пункт 106 км, 106  км ,  50  км ,,,,,,,,,,,
 20.,396203 .,Липчень, 112  км ,  44  км ,,,,,,,,,,,
 21.,396307 .,Матеуць, 117  км ,  39  км ,,,,,,,,,,,
 22.,396311 .,ОП Ост. Пункт 120 км, 119  км ,  37  км ,,,,,,,,,,,
 23.,396400 .,Рыбница, 123  км ,  33  км ,,,,,,,,,,,
 24.,396504 .,Вэрэнкэу, 134  км ,  22  км ,,,,,,,,,,,
