Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Московской ж.д. (код дороги 17),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 17-002 ""КУСКОВО - ОРЕХОВО-ЗУЕВО"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Кусково,до ст. Орехово-Зуево,,,,,,,,,,,
  1.,193665 .,Кусково,   0  км ,  80  км ,,,,,,,,,,,
  2.,193743 .,ОП Новогиреево,   2  км ,  78  км ,,,,,,,,,,,
  3.,193699 .,ОП Реутов,   4  км ,  76  км ,,,,,,,,,,,
  4.,230101 .,Реутово,   5  км ,  75  км ,,,,,,,,,,,
  5.,230116 .,ОП Никольское,   7  км ,  73  км ,,,,,,,,,,,
  6.,230120 .,ОП Салтыковская,   9  км ,  71  км ,,,,,,,,,,,
  7.,230135 .,ОП Кучино,  11  км ,  69  км ,,,,,,,,,,,
  8.,230402 .,Железнодорожная,  14  км ,  66  км ,,,,,,,,,,,
  9.,230417 .,ОП Черное,  18  км ,  62  км ,,,,,,,,,,,
 10.,230421 .,ОП Заря,  21  км ,  59  км ,,,,,,,,,,,
 11.,230506 .,Купавна,  22  км ,  58  км ,,,,,,,,,,,
 12.,230510 .,ОП Ост. Пункт 33 км,  24  км ,  56  км ,,,,,,,,,,,
 13.,230600 .,Электроугли,  27  км ,  53  км ,,,,,,,,,,,
 14.,230614 .,ОП Платформа 43 км,  33  км ,  47  км ,,,,,,,,,,,
 15.,230703 .,Храпуново,  37  км ,  43  км ,,,,,,,,,,,
 16.,230718 .,ОП Есино,  39  км ,  41  км ,,,,,,,,,,,
 17.,230807 .,Фрязево,  44  км ,  36  км ,,,,,,,,,,,
 18.,230811 .,ОП Казанское,  51  км ,  29  км ,,,,,,,,,,,
 19.,230826 .,ОП Вохна,  56  км ,  24  км ,,,,,,,,,,,
 20.,231104 .,Павловский Посад,  58  км ,  22  км ,,,,,,,,,,,
 21.,231119 .,ОП Назарьево,  65  км ,  15  км ,,,,,,,,,,,
 22.,231231 .,Дрезна,  70  км ,  10  км ,,,,,,,,,,,
 23.,231212 .,ОП Кабаново,  75  км ,   5  км ,,,,,,,,,,,
 24.,230008 .,Орехово-Зуево,  80  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  2) участок 17-003 ""ОРЕХОВО-ЗУЕВО - ПЕТУШКИ (Горьковской ж.д.)"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Орехово-Зуево,до ст. Петушки,,,,,,,,,,,
  1.,230008 .,Орехово-Зуево,   0  км ,  36  км ,,,,,,,,,,,
  2.,230012 .,ОП Крутое,   5  км ,  31  км ,,,,,,,,,,,
  3.,230046 .,Пут. пост 97 км,   7  км ,  29  км ,,,,,,,,,,,
  4.,230027 .,ОП Воиново,   8  км ,  28  км ,,,,,,,,,,,
  5.,231405 .,Усад,  12  км ,  24  км ,,,,,,,,,,,
  6.,231410 .,ОП Глубоково,  17  км ,  19  км ,,,,,,,,,,,
  7.,231509 .,Покров,  20  км ,  16  км ,,,,,,,,,,,
  8.,231513 .,ОП Новое Перепечино,  24  км ,  12  км ,,,,,,,,,,,
  9.,231528 .,ОП Омутище,  28  км ,   8  км ,,,,,,,,,,,
 10.,231532 .,ОП Леоново,  32  км ,   4  км ,,,,,,,,,,,
 11.,262102 .,Петушки,  36  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
