Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Одесской ж.д. (код дороги 40),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 40-001 ""СЕРПНЕВО I - АРЦЫЗ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Серпнево I,до ст. Арцыз,,,,,,,,,,,
  1.,405031 .,ОП Серпнево I,   0  км ,  54  км ,,,,,,,,,,,
  2.,405027 .,ОП Серпнево II,   2  км ,  52  км ,,,,,,,,,,,
  3.,405012 .,ОП Лейпциг,   8  км ,  46  км ,,,,,,,,,,,
  4.,405008 .,Березино,  19  км ,  35  км ,,,,,,,,,,,
  5.,403943 .,ОП Красное,  34  км ,  20  км ,,,,,,,,,,,
  6.,403939 .,ОП Городок,  39  км ,  15  км ,,,,,,,,,,,
  7.,403924 .,ОП Парижская,  42  км ,  12  км ,,,,,,,,,,,
  8.,403910 .,ОП Теплица,  48  км ,   6  км ,,,,,,,,,,,
  9.,403905 .,Арцыз,  54  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  2) участок 40-002 ""АРЦЫЗ - ИЗМАИЛ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Арцыз,до ст. Измаил,,,,,,,,,,,
  1.,403905 .,Арцыз,   0  км , 107  км ,,,,,,,,,,,
  2.,404016 .,Разъезд 1 км,   3  км , 104  км ,,,,,,,,,,,
  3.,404024 .,Давлет-Агач,  16  км ,  91  км ,,,,,,,,,,,
  4.,404039 .,Главаны,  27  км ,  80  км ,,,,,,,,,,,
  5.,404202 .,Алияга,  35  км ,  72  км ,,,,,,,,,,,
  6.,404306 .,Дзинилор,  53  км ,  54  км ,,,,,,,,,,,
  7.,404401 .,Котлабух,  71  км ,  36  км ,,,,,,,,,,,
  8.,404414 .,Ташбунар,  85  км ,  22  км ,,,,,,,,,,,
  9.,404503 .,Измаил, 107  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  3) участок 40-003 ""АРЦЫЗ - ОДЕССА-ЗАСТАВА I"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Арцыз,до ст. Одесса-Застава I,,,,,,,,,,,
  1.,403905 .,Арцыз,   0  км , 180  км ,,,,,,,,,,,
  2.,403816 .,Гнаденталь,   9  км , 171  км ,,,,,,,,,,,
  3.,403835 .,ОП Когильник,  19  км , 161  км ,,,,,,,,,,,
  4.,403801 .,Сарата,  28  км , 152  км ,,,,,,,,,,,
  5.,403712 .,ОП Ост. Пункт 131 км,  42  км , 138  км ,,,,,,,,,,,
  6.,403708 .,Кулевча,  50  км , 130  км ,,,,,,,,,,,
  7.,406509 .,Кантемир,  68  км , 112  км ,,,,,,,,,,,
  8.,403206 .,Белгород-Днестровский,  90  км ,  90  км ,,,,,,,,,,,
  9.,403106 .,Шабо,  97  км ,  83  км ,,,,,,,,,,,
 10.,401401 .,Бугаз, 109  км ,  71  км ,,,,,,,,,,,
 11.,401986 .,ОП Солнечная, 113  км ,  67  км ,,,,,,,,,,,
 12.,401971 .,ОП Морская, 116  км ,  64  км ,,,,,,,,,,,
 13.,401967 .,ОП Лиманская, 118  км ,  62  км ,,,,,,,,,,,
 14.,401952 .,Каролино-Бугаз, 120  км ,  60  км ,,,,,,,,,,,
 15.,401948 .,ОП Нагорная, 121  км ,  59  км ,,,,,,,,,,,
 16.,401933 .,ОП Ост. Пункт 49 км, 123  км ,  57  км ,,,,,,,,,,,
 17.,412105 .,Барабой, 134  км ,  46  км ,,,,,,,,,,,
 18.,401914 .,ОП Заря, 137  км ,  43  км ,,,,,,,,,,,
 19.,401905 .,Аккаржа, 144  км ,  36  км ,,,,,,,,,,,
 20.,401810 .,Пут. Пост 25 км, 148  км ,  32  км ,,,,,,,,,,,
 21.,401825 .,Пут. Пост 22 км, 150  км ,  30  км ,,,,,,,,,,,
 22.,401755 .,ОП Им. И.А. Емца, 151  км ,  29  км ,,,,,,,,,,,
 23.,406602 .,Ксениево, 155  км ,  25  км ,,,,,,,,,,,
 24.,401736 .,Пут. Пост 13 км, 159  км ,  21  км ,,,,,,,,,,,
 25.,401717 .,ОП Сухой Лиман, 160  км ,  20  км ,,,,,,,,,,,
 26.,401702 .,Одесса-Западная, 165  км ,  15  км ,,,,,,,,,,,
 27.,405101 .,Одесса-Застава I, 180  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  4) участок 40-004 ""ОДЕССА-ЗАПАДНАЯ - ПАРОМНАЯ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Одесса-Западная,до ст. Паромная,,,,,,,,,,,
  1.,401702 .,Одесса-Западная,   0  км ,   5  км ,,,,,,,,,,,
  2.,402508 .,Паромная,   5  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  5) участок 40-005 ""АККАРЖА - ЧЕРНОМОРСК-ПОРТ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Аккаржа,до ст. Черноморск-Порт,,,,,,,,,,,
  1.,401905 .,Аккаржа,   0  км ,  12  км ,,,,,,,,,,,
  2.,402000 .,Черноморск-Порт,  12  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  6) участок 40-006 ""ОДЕССА-ПЕРЕСЫПЬ - ОДЕССА-ЗАСТАВА I"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Одесса-Пересыпь,до ст. Одесса-Застава I,,,,,,,,,,,
  1.,400803 .,Одесса-Пересыпь,   0  км ,  11  км ,,,,,,,,,,,
  2.,400818 .,ОП Слободская,   5  км ,   6  км ,,,,,,,,,,,
  3.,405101 .,Одесса-Застава I,  11  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  7) участок 40-007 ""ОДЕССА-ПЕРЕСЫПЬ - КОЛОСОВКА"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Одесса-Пересыпь,до ст. Колосовка,,,,,,,,,,,
  1.,400803 .,Одесса-Пересыпь,   0  км , 112  км ,,,,,,,,,,,
  2.,400038 .,ОП Депо-Одесса-Сортировочная,   3  км , 109  км ,,,,,,,,,,,
  3.,400004 .,Одесса-Сортировочная,   4  км , 108  км ,,,,,,,,,,,
  4.,400019 .,ОП Ост. Пункт 1297 км,   7  км , 105  км ,,,,,,,,,,,
  5.,400023 .,Одесса-Восточная,   9  км , 103  км ,,,,,,,,,,,
  6.,400907 .,Кулиндорово,  14  км ,  98  км ,,,,,,,,,,,
  7.,400911 .,ОП Степовая,  17  км ,  95  км ,,,,,,,,,,,
  8.,400926 .,ОП Победа,  19  км ,  93  км ,,,,,,,,,,,
  9.,400930 .,ОП Ост. Пункт 1284 км,  20  км ,  92  км ,,,,,,,,,,,
 10.,401007 .,Кремидовка,  26  км ,  86  км ,,,,,,,,,,,
 11.,401026 .,ОП Полевое,  28  км ,  84  км ,,,,,,,,,,,
 12.,401011 .,Пост 1273 км,  30  км ,  82  км ,,,,,,,,,,,
