Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Октябрьской ж.д. (код дороги 01),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 01-011 ""ОБУХОВО - ЧУДОВО-МОСКОВСКОЕ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Обухово,до ст. Чудово-Московское,,,,,,,,,,,
  1.,031009 .,Обухово,   0  км , 107  км ,,,,,,,,,,,
  2.,031634 .,Славянка,   6  км , 101  км ,,,,,,,,,,,
  3.,031621 .,ОП Металлострой,   9  км ,  98  км ,,,,,,,,,,,
  4.,031615 .,ОП Ижорский Завод,  12  км ,  95  км ,,,,,,,,,,,
  5.,031600 .,Колпино,  14  км ,  93  км ,,,,,,,,,,,
  6.,031348 .,ОП Поповка,  24  км ,  83  км ,,,,,,,,,,,
  7.,031333 .,Саблино,  30  км ,  77  км ,,,,,,,,,,,
  8.,031314 .,ОП Тосно II,  39  км ,  68  км ,,,,,,,,,,,
  9.,031302 .,Тосно,  42  км ,  65  км ,,,,,,,,,,,
 10.,031206 .,Ушаки,  53  км ,  54  км ,,,,,,,,,,,
 11.,042516 .,ОП Георгиевская,  58  км ,  49  км ,,,,,,,,,,,
 12.,042501 .,Рябово,  62  км ,  45  км ,,,,,,,,,,,
 13.,042427 .,ОП Соколов Ручей,  65  км ,  42  км ,,,,,,,,,,,
 14.,042412 .,ОП Болотницкая,  67  км ,  40  км ,,,,,,,,,,,
 15.,042408 .,Любань,  72  км ,  35  км ,,,,,,,,,,,
 16.,042338 .,ОП Померанье,  78  км ,  29  км ,,,,,,,,,,,
 17.,042323 .,ОП Ост. Пункт 93 км,  82  км ,  25  км ,,,,,,,,,,,
 18.,042319 .,ОП Трубниково,  85  км ,  22  км ,,,,,,,,,,,
