Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Приволжской ж.д. (код дороги 61),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 61-001 ""БЛАГОДАТКА (Юго-Восточной ж.д.) - АТКАРСК"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Благодатка,до ст. Аткарск,,,,,,,,,,,
  1.,607720 .,Благодатка,   0  км ,  91  км ,,,,,,,,,,,
  2.,608506 .,Салтыковка,  16  км ,  75  км ,,,,,,,,,,,
  3.,608614 .,ОП Вольный,  26  км ,  65  км ,,,,,,,,,,,
  4.,608606 .,Екатериновка,  37  км ,  54  км ,,,,,,,,,,,
  5.,608722 .,ОП Еткары,  47  км ,  44  км ,,,,,,,,,,,
  6.,608718 .,ОП Афросимовский,  55  км ,  36  км ,,,,,,,,,,,
  7.,608900 .,Лопуховка,  64  км ,  27  км ,,,,,,,,,,,
  8.,608737 .,Енгалычевский (рзд),  72  км ,  19  км ,,,,,,,,,,,
  9.,608741 .,ОП Капеллы,  80  км ,  11  км ,,,,,,,,,,,
 10.,608756 .,ОП Целина,  89  км ,   2  км ,,,,,,,,,,,
 11.,608807 .,Аткарск,  91  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  2) участок 61-002 ""АТКАРСК - ТРОФИМОВСКИЙ I"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Аткарск,до ст. Трофимовский I,,,,,,,,,,,
  1.,608807 .,Аткарск,   0  км ,  82  км ,,,,,,,,,,,
  2.,609208 .,Красавка,   5  км ,  77  км ,,,,,,,,,,,
  3.,608898 .,ОП Средний Колышлей,  10  км ,  72  км ,,,,,,,,,,,
  4.,609273 .,ОП Ершовка,  16  км ,  66  км ,,,,,,,,,,,
  5.,623436 .,ОП Муммовка,  19  км ,  63  км ,,,,,,,,,,,
  6.,623402 .,Кологривовка,  26  км ,  56  км ,,,,,,,,,,,
