Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Приднепровской ж.д. (код дороги 45),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 45-001 ""ЧАПЛИНО - СИНЕЛЬНИКОВО II"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Чаплино,до ст. Синельниково II,,,,,,,,,,,
  1.,454201 .,Чаплино,   0  км ,  73  км ,,,,,,,,,,,
  2.,454131 .,ОП Платформа 305 км,   4  км ,  69  км ,,,,,,,,,,,
  3.,454127 .,ОП Краснощеково,   8  км ,  65  км ,,,,,,,,,,,
  4.,454112 .,ОП Платформа 296 км,  13  км ,  60  км ,,,,,,,,,,,
  5.,454108 .,Ульяновка,  17  км ,  56  км ,,,,,,,,,,,
  6.,454042 .,ОП Васильковка,  20  км ,  53  км ,,,,,,,,,,,
  7.,454038 .,ОП Платформа 283 км,  26  км ,  47  км ,,,,,,,,,,,
  8.,454023 .,ОП Крутоярка,  30  км ,  43  км ,,,,,,,,,,,
  9.,454019 .,ОП Платформа 276 км,  33  км ,  40  км ,,,,,,,,,,,
 10.,454004 .,Письменная,  37  км ,  36  км ,,,,,,,,,,,
 11.,453942 .,ОП Платформа 269 км,  40  км ,  33  км ,,,,,,,,,,,
 12.,453938 .,ОП Терса,  45  км ,  28  км ,,,,,,,,,,,
 13.,453923 .,ОП Платформа 262 км,  48  км ,  25  км ,,,,,,,,,,,
 14.,453919 .,ОП Платформа 261 км,  49  км ,  24  км ,,,,,,,,,,,
 15.,453904 .,Раздоры,  55  км ,  18  км ,,,,,,,,,,,
 16.,453815 .,ОП Платформа 251 км,  58  км ,  15  км ,,,,,,,,,,,
 17.,453800 .,Вишневецкое,  62  км ,  11  км ,,,,,,,,,,,
 18.,453622 .,ОП Платформа 242 км,  67  км ,   6  км ,,,,,,,,,,,
 19.,453618 .,ОП Ост. Пункт 239 км,  70  км ,   3  км ,,,,,,,,,,,
 20.,453500 .,Синельниково II,  73  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  2) участок 45-002 ""СИНЕЛЬНИКОВО II - НИЖНЕДНЕПРОВСК-УЗЕЛ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Синельниково II,до ст. Нижнеднепровск-Узел,,,,,,,,,,,
  1.,453500 .,Синельниково II,   0  км ,  38  км ,,,,,,,,,,,
  2.,453463 .,ОП Ост. пункт 235 км,   1  км ,  37  км ,,,,,,,,,,,
  3.,453434 .,ОП Платформа 230 км,   6  км ,  32  км ,,,,,,,,,,,
  4.,453425 .,ОП Хорошево,  10  км ,  28  км ,,,,,,,,,,,
  5.,453459 .,ОП Платформа 225 км,  12  км ,  26  км ,,,,,,,,,,,
  6.,453410 .,ОП Платформа 222 км,  15  км ,  23  км ,,,,,,,,,,,
  7.,453444 .,ОП Платформа 219 км,  18  км ,  20  км ,,,,,,,,,,,
  8.,453406 .,Илларионово,  21  км ,  17  км ,,,,,,,,,,,
  9.,453139 .,ОП Платформа 212 км,  25  км ,  13  км ,,,,,,,,,,,
 10.,453124 .,ОП Платформа 207 км,  29  км ,   9  км ,,,,,,,,,,,
 11.,453105 .,Игрень,  32  км ,   6  км ,,,,,,,,,,,
 12.,453115 .,ОП Ксеньевка,  33  км ,   5  км ,,,,,,,,,,,
 13.,450003 .,Нижнеднепровск-Узел,  38  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
