Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Северо-Кавказской ж.д. (код дороги 51),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 51-001 ""ЗВЕРЕВО - ГОРНАЯ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Зверево,до ст. Горная,,,,,,,,,,,
  1.,512002 .,Зверево,   0  км ,  36  км ,,,,,,,,,,,
  2.,512017 .,ОП Ост. Пункт 1089 км,   5  км ,  31  км ,,,,,,,,,,,
  3.,512021 .,Черевково,  10  км ,  26  км ,,,,,,,,,,,
  4.,512036 .,ОП Красный Сулин,  17  км ,  19  км ,,,,,,,,,,,
  5.,512106 .,Сулин,  19  км ,  17  км ,,,,,,,,,,,
  6.,512110 .,ОП Ост. Пункт 1108 км,  24  км ,  12  км ,,,,,,,,,,,
  7.,512125 .,ОП Кундрючий,  28  км ,   8  км ,,,,,,,,,,,
  8.,512131 .,ОП Лесхоз,  31  км ,   5  км ,,,,,,,,,,,
  9.,512727 .,Лесостепь,  32  км ,   4  км ,,,,,,,,,,,
 10.,512708 .,Горная,  36  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  2) участок 51-002 ""ГОРНАЯ - ШАХТНАЯ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Горная,до ст. Шахтная,,,,,,,,,,,
  1.,512708 .,Горная,   0  км ,  12  км ,,,,,,,,,,,
  2.,512750 .,ОП Питомник,   3  км ,   9  км ,,,,,,,,,,,
  3.,512765 .,ОП Атюхта,   5  км ,   7  км ,,,,,,,,,,,
  4.,512770 .,ОП Кирпичный,   9  км ,   3  км ,,,,,,,,,,,
  5.,512801 .,Шахтная,  12  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  3) участок 51-003 ""ШАХТНАЯ - КАМЕНОЛОМНИ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Шахтная,до ст. Каменоломни,,,,,,,,,,,
  1.,512801 .,Шахтная,   0  км ,   8  км ,,,,,,,,,,,
  2.,512816 .,ОП Культурный Уголок,   4  км ,   4  км ,,,,,,,,,,,
  3.,513109 .,Каменоломни,   8  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  4) участок 51-004 ""ШАХТНАЯ - КАМЕНОЛОМНИ (через ст. Власовские Копи)"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Шахтная,до ст. Каменоломни,,,,,,,,,,,
  1.,512801 .,Шахтная,   0  км ,  25  км ,,,,,,,,,,,
  2.,513109 .,Каменоломни,  25  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  5) участок 51-005 ""КАМЕНОЛОМНИ - КИЗИТЕРИНКА"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Каменоломни,до ст. Кизитеринка,,,,,,,,,,,
  1.,513109 .,Каменоломни,   0  км ,  64  км ,,,,,,,,,,,
  2.,513113 .,ОП Дорурс,   4  км ,  60  км ,,,,,,,,,,,
  3.,513128 .,ОП Совхоз-10,   8  км ,  56  км ,,,,,,,,,,,
  4.,513132 .,ОП Казачьи Лагери,  14  км ,  50  км ,,,,,,,,,,,
  5.,513202 .,Персиановка,  18  км ,  46  км ,,,,,,,,,,,
