Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Свердловской ж.д. (код дороги 76),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 76-001 ""ЧЕПЦА - ПЕРМЬ-СОРТИРОВОЧНАЯ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Чепца,до ст. Пермь-Сортировочная,,,,,,,,,,,
  1.,761848 .,Чепца,   0  км , 206  км ,,,,,,,,,,,
  2.,761814 .,ОП Пушмези,   9  км , 197  км ,,,,,,,,,,,
  3.,761829 .,ОП Сегедур,  13  км , 193  км ,,,,,,,,,,,
  4.,761833 .,ОП Ключевское,  16  км , 190  км ,,,,,,,,,,,
  5.,761903 .,Кез,  21  км , 185  км ,,,,,,,,,,,
  6.,761918 .,ОП Лып,  28  км , 178  км ,,,,,,,,,,,
  7.,762037 .,Кабалуд,  32  км , 174  км ,,,,,,,,,,,
  8.,762018 .,ОП Филинцы,  39  км , 167  км ,,,,,,,,,,,
  9.,762022 .,Кузьма,  44  км , 162  км ,,,,,,,,,,,
 10.,762111 .,ОП Шныры,  51  км , 155  км ,,,,,,,,,,,
 11.,762126 .,ОП Бабики,  57  км , 149  км ,,,,,,,,,,,
 12.,762130 .,ОП Волегово,  60  км , 146  км ,,,,,,,,,,,
 13.,762253 .,Бородулино,  69  км , 137  км ,,,,,,,,,,,
 14.,762215 .,ОП Путино,  75  км , 131  км ,,,,,,,,,,,
 15.,762224 .,ОП Хрустали,  79  км , 127  км ,,,,,,,,,,,
 16.,762234 .,ОП Субботники,  85  км , 121  км ,,,,,,,,,,,
 17.,762249 .,ОП Рябины,  89  км , 117  км ,,,,,,,,,,,
 18.,762304 .,Верещагино,  91  км , 115  км ,,,,,,,,,,,
 19.,762319 .,Зюкай,  99  км , 107  км ,,,,,,,,,,,
 20.,762323 .,ОП Аникино, 102  км , 104  км ,,,,,,,,,,,
 21.,762338 .,ОП Кукетский, 107  км ,  99  км ,,,,,,,,,,,
 22.,762342 .,ОП Пузята, 112  км ,  94  км ,,,,,,,,,,,
 23.,762408 .,Менделеево, 118  км ,  88  км ,,,,,,,,,,,
 24.,762412 .,ОП Обва, 128  км ,  78  км ,,,,,,,,,,,
 25.,762427 .,ОП Большая Ния, 135  км ,  71  км ,,,,,,,,,,,
 26.,762431 .,ОП Мокино, 138  км ,  68  км ,,,,,,,,,,,
 27.,762446 .,ОП Новокошкино, 143  км ,  63  км ,,,,,,,,,,,
 28.,762569 .,Григорьевская, 146  км ,  60  км ,,,,,,,,,,,
 29.,762554 .,ОП Бураки, 152  км ,  54  км ,,,,,,,,,,,
 30.,762516 .,ОП Сюзьва, 154  км ,  52  км ,,,,,,,,,,,
 31.,762520 .,ОП Юшково, 157  км ,  49  км ,,,,,,,,,,,
 32.,762535 .,ОП Вожаково, 160  км ,  46  км ,,,,,,,,,,,
 33.,762543 .,Чайковская, 164  км ,  42  км ,,,,,,,,,,,
 34.,762610 .,ОП Удалы, 167  км ,  39  км ,,,,,,,,,,,
 35.,762662 .,ОП Нижнее Брагино, 171  км ,  35  км ,,,,,,,,,,,
 36.,762624 .,Шабуничи, 173  км ,  33  км ,,,,,,,,,,,
 37.,762639 .,ОП Увал, 176  км ,  30  км ,,,,,,,,,,,
 38.,762643 .,ОП Стрелка, 183  км ,  23  км ,,,,,,,,,,,
 39.,760205 .,Оверята, 187  км ,  19  км ,,,,,,,,,,,
 40.,760120 .,ОП Мысы, 191  км ,  15  км ,,,,,,,,,,,
 41.,760116 .,ОП Ласьва, 195  км ,  11  км ,,,,,,,,,,,
 42.,760101 .,Курья, 199  км ,   7  км ,,,,,,,,,,,
 43.,760031 .,ОП Промучасток, 201  км ,   5  км ,,,,,,,,,,,
 44.,760027 .,ОП Железнодорожная, 203  км ,   3  км ,,,,,,,,,,,
 45.,760012 .,ОП Комсомольская, 204  км ,   2  км ,,,,,,,,,,,
 46.,760008 .,Пермь-Сортировочная, 206  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  2) участок 76-002 ""ПЕРМЬ-СОРТИРОВОЧНАЯ - ПЕРМЬ II"" (Основной тарифный участок)",,,,,,,,,,,,,,,
