Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Северной ж.д. (код дороги 28),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 28-001 ""АЛЕКСАНДРОВ (Московской ж.д.) - ЯРОСЛАВЛЬ-ГЛАВНЫЙ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Александров,до ст. Ярославль-Главный,,,,,,,,,,,
  1.,237007 .,Александров,   0  км , 170  км ,,,,,,,,,,,
  2.,313319 .,ОП Мошнино,  12  км , 158  км ,,,,,,,,,,,
  3.,313304 .,Балакирево,  18  км , 152  км ,,,,,,,,,,,
  4.,313323 .,ОП Багримово,  26  км , 144  км ,,,,,,,,,,,
  5.,313338 .,ОП Василисино,  32  км , 138  км ,,,,,,,,,,,
  6.,313427 .,Берендеево,  33  км , 137  км ,,,,,,,,,,,
  7.,313412 .,ОП Милославка,  35  км , 135  км ,,,,,,,,,,,
  8.,313639 .,Шушково,  40  км , 130  км ,,,,,,,,,,,
  9.,313624 .,ОП Смоленское,  44  км , 126  км ,,,,,,,,,,,
 10.,313615 .,ОП Рокша,  48  км , 122  км ,,,,,,,,,,,
 11.,313709 .,Рязанцево,  53  км , 117  км ,,,,,,,,,,,
 12.,313821 .,Беклемишево,  64  км , 106  км ,,,,,,,,,,,
 13.,313910 .,Итларь,  71  км ,  99  км ,,,,,,,,,,,
 14.,313817 .,ОП Платформа 187 км,  75  км ,  95  км ,,,,,,,,,,,
 15.,314006 .,Сильницы,  79  км ,  91  км ,,,,,,,,,,,
 16.,314106 .,Петровск,  88  км ,  82  км ,,,,,,,,,,,
 17.,314218 .,Деболовская,  98  км ,  72  км ,,,,,,,,,,,
 18.,314307 .,Ростов-Ярославский, 112  км ,  58  км ,,,,,,,,,,,
 19.,314311 .,ОП Меленки, 119  км ,  51  км ,,,,,,,,,,,
 20.,314400 .,Семибратово, 127  км ,  43  км ,,,,,,,,,,,
