Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Таджикской ж.д. (код дороги 74),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 74-001 ""СПИТАМЕН (ЭКСП.) - ИСТИКЛОЛ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Спитамен (эксп.),до ст. Канибадам (эксп.),,,,,,,,,,,
  1.,747501 .,Спитамен (эксп.),   0  км , 109  км ,,,,,,,,,,,
  2.,747605 .,Спитамен,   8  км , 101  км ,,,,,,,,,,,
  3.,745900 .,Спитамен (перев.),  16  км ,  93  км ,,,,,,,,,,,
  4.,747709 .,Джаббор Расулов,  21  км ,  88  км ,,,,,,,,,,,
  5.,747713 .,Дигмай (рзд),  31  км ,  78  км ,,,,,,,,,,,
  6.,747802 .,Худжанд,  42  км ,  67  км ,,,,,,,,,,,
  7.,747817 .,Кайраккум (рзд),  61  км ,  48  км ,,,,,,,,,,,
  8.,747821 .,Корвонгузар,  72  км ,  37  км ,,,,,,,,,,,
  9.,747906 .,Махрам,  84  км ,  25  км ,,,,,,,,,,,
 10.,747910 .,Маданият (рзд),  93  км ,  16  км ,,,,,,,,,,,
 11.,748006 .,Канибадам, 101  км ,   8  км ,,,,,,,,,,,
 12.,747304 .,Истиклол, 109  км ,   0  км ,,,,,,,,,,,
 13.,747408 .,Истиклол (эксп.), 109  км ,   0  км ,,,,,,,,,,,
 14.,748106 .,Канибадам (эксп.), 109  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  2) участок 74-002 ""КАНИБАДАМ - ШУРАБ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Канибадам,до ст. Шураб,,,,,,,,,,,
  1.,748006 .,Канибадам,   0  км ,  53  км ,,,,,,,,,,,
  2.,748307 .,Диваштич,   4  км ,  49  км ,,,,,,,,,,,
  3.,748311 .,Зартхок,  23  км ,  30  км ,,,,,,,,,,,
  4.,748400 .,Нефтеабад,  29  км ,  24  км ,,,,,,,,,,,
  5.,748504 .,Исфара,  39  км ,  14  км ,,,,,,,,,,,
  6.,938504 .,Исфара (эксп.),  39  км ,  14  км ,,,,,,,,,,,
  7.,748608 .,Шураб,  53  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  3) участок 74-003 ""ПАХТААБАД (ЭКСП.) - ВАХДАТ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Пахтаабад (эксп.),до ст. Вахдат,,,,,,,,,,,
  1.,746000 .,Пахтаабад (эксп.),   0  км ,  91  км ,,,,,,,,,,,
  2.,745830 .,ОП Ост. Пункт 4613 км,   2  км ,  89  км ,,,,,,,,,,,
  3.,745826 .,ОП Ост. Пункт 4616 км,   5  км ,  86  км ,,,,,,,,,,,
  4.,745811 .,Пахтаабад,   9  км ,  82  км ,,,,,,,,,,,
  5.,745807 .,Регар,  18  км ,  73  км ,,,,,,,,,,,
  6.,745703 .,Чептура,  28  км ,  63  км ,,,,,,,,,,,
  7.,745633 .,ОП Ост. Пункт 4646 км,  35  км ,  56  км ,,,,,,,,,,,
  8.,745629 .,ОП Ост. Пункт 4653 км,  42  км ,  49  км ,,,,,,,,,,,
  9.,745614 .,ОП Ост. Пункт 4657 км,  46  км ,  45  км ,,,,,,,,,,,
 10.,745600 .,Ханака,  47  км ,  44  км ,,,,,,,,,,,
 11.,745525 .,ОП Ост. Пункт 4663 км,  52  км ,  39  км ,,,,,,,,,,,
 12.,745510 .,ОП Ост. Пункт 4666 км,  55  км ,  36  км ,,,,,,,,,,,
 13.,745402 .,Айни (эксп.),  58  км ,  33  км ,,,,,,,,,,,
 14.,745506 .,Айни,  58  км ,  33  км ,,,,,,,,,,,
 15.,745309 .,Душанбе II,  63  км ,  28  км ,,,,,,,,,,,
 16.,938805 .,Душанбе II (эксп.),  63  км ,  28  км ,,,,,,,,,,,
 17.,745313 .,ОП Ост. Пункт 4679 км,  69  км ,  22  км ,,,,,,,,,,,
 18.,745205 .,Душанбе I,  71  км ,  20  км ,,,,,,,,,,,
 19.,745101 .,Рохаты,  78  км ,  13  км ,,,,,,,,,,,
 20.,745008 .,Вахдат,  91  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  4) участок 74-004 ""ХОШАДЫ (ЭКСП.) - ЯВАН"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Хошады (эксп.),до ст. Яван,,,,,,,,,,,
  1.,746805 .,Хошады (эксп.),   0  км , 217  км ,,,,,,,,,,,
  2.,746706 .,Хошады,  45  км , 172  км ,,,,,,,,,,,
  3.,746602 .,Шаартуз,  63  км , 154  км ,,,,,,,,,,,
  4.,746617 .,Кабадиан (рзд),  95  км , 122  км ,,,,,,,,,,,
  5.,747107 .,Бурёбоф (эксп.), 111  км , 106  км ,,,,,,,,,,,
  6.,747200 .,Бурёбоф, 111  км , 106  км ,,,,,,,,,,,
  7.,746509 .,Джалолиддини Балхи, 129  км ,  88  км ,,,,,,,,,,,
  8.,746903 .,Джалолиддини Балхи (эксп.), 129  км ,  88  км ,,,,,,,,,,,
  9.,746104 .,Хатлон (эксп.), 164  км ,  53  км ,,,,,,,,,,,
 10.,746405 .,Хатлон, 164  км ,  53  км ,,,,,,,,,,,
 11.,746301 .,Вахш, 185  км ,  32  км ,,,,,,,,,,,
 12.,746208 .,Яван, 217  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  5) участок 74-005 ""ХАТЛОН - КУЛЯБ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Хатлон,до ст. Куляб,,,,,,,,,,,
  1.,746405 .,Хатлон,   0  км , 132  км ,,,,,,,,,,,
  2.,748701 .,Сангтуда,  27  км , 105  км ,,,,,,,,,,,
