Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Туркменской ж.д. (код дороги 75),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 75-001 ""ТУРКМЕНАБАД I - ФАРАП (ЭКСП.)"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Туркменабад I,до ст. Фарап (эксп.),,,,,,,,,,,
  1.,750006 .,Туркменабад I,   0  км ,  22  км ,,,,,,,,,,,
  2.,750203 .,Фарап,   8  км ,  14  км ,,,,,,,,,,,
  3.,750218 .,Разъезд № 48,  20  км ,   2  км ,,,,,,,,,,,
  4.,750307 .,Фарап (эксп.),  22  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  2) участок 75-002 ""ТАЛИМАРДЖАН (ЭКСП.) - РАЗЪЕЗД № 161 (ЭКСП.)"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Талимарджан (эксп.),до ст. Разъезд № 161 (эксп.),,,,,,,,,,,
  1.,759301 .,Талимарджан (эксп.),   0  км , 194  км ,,,,,,,,,,,
  2.,749009 .,Талимарджан,   3  км , 191  км ,,,,,,,,,,,
  3.,749013 .,ОП Ост. Пункт 4200 км,  12  км , 182  км ,,,,,,,,,,,
  4.,749028 .,Разъезд № 155,  18  км , 176  км ,,,,,,,,,,,
  5.,749032 .,ОП Ост. Пункт 4211 км,  23  км , 171  км ,,,,,,,,,,,
  6.,749117 .,Разъезд № 156,  35  км , 159  км ,,,,,,,,,,,
  7.,749121 .,ОП Ост. Пункт 4234 км,  46  км , 148  км ,,,,,,,,,,,
  8.,749102 .,Амыдеря,  55  км , 139  км ,,,,,,,,,,,
  9.,749206 .,Керкиче,  59  км , 135  км ,,,,,,,,,,,
 10.,749210 .,ОП Ост. Пункт 4255 км,  67  км , 127  км ,,,,,,,,,,,
 11.,749301 .,Азатлык,  72  км , 122  км ,,,,,,,,,,,
 12.,749314 .,ОП Ост. Пункт 4265 км,  77  км , 117  км ,,,,,,,,,,,
 13.,749329 .,ОП Ост. Пункт 4268 км,  80  км , 114  км ,,,,,,,,,,,
 14.,749403 .,Боругчы,  81  км , 113  км ,,,,,,,,,,,
 15.,749418 .,ОП Ост. Пункт 4275 км,  87  км , 107  км ,,,,,,,,,,,
 16.,749422 .,ОП Ост. Пункт 4282 км,  94  км , 100  км ,,,,,,,,,,,
 17.,749507 .,Дашрабат, 100  км ,  94  км ,,,,,,,,,,,
 18.,749511 .,ОП Ост. Пункт 4294 км, 106  км ,  88  км ,,,,,,,,,,,
 19.,749600 .,Мукры, 117  км ,  77  км ,,,,,,,,,,,
 20.,749615 .,Разъезд № 158, 133  км ,  61  км ,,,,,,,,,,,
 21.,749704 .,Койтендаг, 145  км ,  49  км ,,,,,,,,,,,
 22.,749719 .,Разъезд № 160, 160  км ,  34  км ,,,,,,,,,,,
 23.,749808 .,Килиф, 177  км ,  17  км ,,,,,,,,,,,
 24.,749916 .,Разъезд № 161, 186  км ,   8  км ,,,,,,,,,,,
