Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Узбекской ж.д. (код дороги 73),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 73-001 ""ХОДЖАДАВЛЕТ (ЭКСП.) - БУХАРА I"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Ходжадавлет (эксп.),до ст. Бухара I,,,,,,,,,,,
  1.,730801 .,Ходжадавлет (эксп.),   0  км ,  98  км ,,,,,,,,,,,
  2.,730712 .,Ходжадавлет,   8  км ,  90  км ,,,,,,,,,,,
  3.,730708 .,Алат,  19  км ,  79  км ,,,,,,,,,,,
  4.,730604 .,Каракуль,  29  км ,  69  км ,,,,,,,,,,,
  5.,730500 .,Якатут,  55  км ,  43  км ,,,,,,,,,,,
  6.,730515 .,Шарислан,  65  км ,  33  км ,,,,,,,,,,,
  7.,730407 .,Мургак,  74  км ,  24  км ,,,,,,,,,,,
  8.,730454 .,Пойкент,  92  км ,   6  км ,,,,,,,,,,,
  9.,730002 .,Бухара I,  98  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  2) участок 73-002 ""БУХАРА I - БУХАРА II"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Бухара I,до ст. Бухара II,,,,,,,,,,,
  1.,730002 .,Бухара I,   0  км ,  13  км ,,,,,,,,,,,
  2.,730106 .,Бухара II,  13  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  3) участок 73-003 ""БУХАРА I - МАРОКАНД"" (Основной тарифный участок)",,,,,,,,,,,,,,,
