Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Эстонской ж.д. (код дороги 08),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 08-001 ""ТУРБА - ТАЛЛИНН"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Турба,до ст. Таллинн,,,,,,,,,,,
  1.,080594 .,ОП Турба,   0  км ,  58  км ,,,,,,,,,,,
  2.,080607 .,Рийзипере,   7  км ,  51  км ,,,,,,,,,,,
  3.,080611 .,ОП Яаника,  11  км ,  47  км ,,,,,,,,,,,
  4.,080626 .,ОП Лайтсе,  15  км ,  43  км ,,,,,,,,,,,
  5.,080630 .,ОП Кибуна,  17  км ,  41  км ,,,,,,,,,,,
  6.,080700 .,Вазалемма,  20  км ,  38  км ,,,,,,,,,,,
  7.,080715 .,ОП Кулна,  27  км ,  31  км ,,,,,,,,,,,
  8.,080503 .,Кейла (эксп),  31  км ,  27  км ,,,,,,,,,,,
  9.,080804 .,Кейла,  31  км ,  27  км ,,,,,,,,,,,
 10.,080823 .,Валингу (бп),  35  км ,  23  км ,,,,,,,,,,,
 11.,080838 .,Сауэ,  39  км ,  19  км ,,,,,,,,,,,
 12.,080895 .,ОП Падула,  41  км ,  17  км ,,,,,,,,,,,
 13.,080842 .,Блокпост 89 км,  42  км ,  16  км ,,,,,,,,,,,
 14.,080912 .,ОП Урда,  43  км ,  15  км ,,,,,,,,,,,
 15.,080857 .,ОП Лаагри,  44  км ,  14  км ,,,,,,,,,,,
 16.,080861 .,Пяэскюла,  47  км ,  11  км ,,,,,,,,,,,
 17.,080876 .,ОП Кивимяэ,  48  км ,  10  км ,,,,,,,,,,,
 18.,080880 .,ОП Хийу,  49  км ,   9  км ,,,,,,,,,,,
 19.,081243 .,ОП Нымме,  50  км ,   8  км ,,,,,,,,,,,
 20.,081211 .,ОП Рахумяэ,  51  км ,   7  км ,,,,,,,,,,,
 21.,081332 .,ОП Ярве,  53  км ,   5  км ,,,,,,,,,,,
 22.,081313 .,ОП Тонди,  54  км ,   4  км ,,,,,,,,,,,
 23.,081328 .,ОП Лиллекюла,  56  км ,   2  км ,,,,,,,,,,,
 24.,081402 .,Таллинн,  58  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  2) участок 08-003 ""ЮЛЕМИСТЕ - ЛИЙВА"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Юлемисте,до ст. Лийва,,,,,,,,,,,
  1.,081506 .,Юлемисте (эксп.),   0  км ,   6  км ,,,,,,,,,,,
  2.,082000 .,Юлемисте,   0  км ,   6  км ,,,,,,,,,,,
  3.,088308 .,Лийва,   6  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  3) участок 08-004 ""ЮЛЕМИСТЕ - ТАПА"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Юлемисте,до ст. Тапа,,,,,,,,,,,
  1.,081506 .,Юлемисте (эксп.),   0  км ,  70  км ,,,,,,,,,,,
  2.,082000 .,Юлемисте,   0  км ,  70  км ,,,,,,,,,,,
  3.,082021 .,ОП Вессе,   2  км ,  68  км ,,,,,,,,,,,
  4.,082301 .,Лагеди,   8  км ,  62  км ,,,,,,,,,,,
  5.,082316 .,ОП Кулли,  12  км ,  58  км ,,,,,,,,,,,
  6.,082320 .,Арукюла,  17  км ,  53  км ,,,,,,,,,,,
