Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Юго-Восточной ж.д. (код дороги 58),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 58-001 ""ЕФРЕМОВ (Московской ж.д.) - ЕЛЕЦ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Ефремов,до ст. Елец,,,,,,,,,,,
  1.,225300 .,Ефремов,   0  км ,  82  км ,,,,,,,,,,,
  2.,593601 .,Лобаново,  12  км ,  70  км ,,,,,,,,,,,
  3.,593616 .,ОП Ост. Пункт 355 км,  19  км ,  63  км ,,,,,,,,,,,
  4.,593620 .,ОП Ост. Пункт 361 км,  24  км ,  58  км ,,,,,,,,,,,
  5.,593508 .,Бабарыкино,  25  км ,  57  км ,,,,,,,,,,,
  6.,593635 .,ОП Ост. Пункт 370 км,  34  км ,  48  км ,,,,,,,,,,,
  7.,593419 .,Грунин Воргол,  36  км ,  46  км ,,,,,,,,,,,
  8.,593649 .,ОП Ост. Пункт 384 км,  48  км ,  34  км ,,,,,,,,,,,
  9.,593404 .,Становая,  54  км ,  28  км ,,,,,,,,,,,
 10.,593654 .,ОП Ост. Пункт 397 км,  61  км ,  21  км ,,,,,,,,,,,
 11.,593669 .,ОП Ост. Пункт 404 км,  68  км ,  14  км ,,,,,,,,,,,
 12.,593673 .,ОП Ост. Пункт 406 км,  70  км ,  12  км ,,,,,,,,,,,
 13.,593300 .,Телегино,  71  км ,  11  км ,,,,,,,,,,,
 14.,593688 .,ОП Ост. Пункт 415 км,  79  км ,   3  км ,,,,,,,,,,,
 15.,593315 .,ОП Лучек,  81  км ,   1  км ,,,,,,,,,,,
 16.,593000 .,Елец,  82  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  2) участок 58-004 ""ЛЕВ ТОЛСТОЙ - ЕЛЕЦ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Лев Толстой,до ст. Елец,,,,,,,,,,,
  1.,594303 .,Лев Толстой,   0  км , 112  км ,,,,,,,,,,,
  2.,594318 .,ОП Ост. Пункт 3 км,   3  км , 109  км ,,,,,,,,,,,
  3.,594322 .,ОП Ост. Пункт 11 км,  11  км , 101  км ,,,,,,,,,,,
  4.,594337 .,Коллективист,  14  км ,  98  км ,,,,,,,,,,,
  5.,594341 .,ОП Ост. Пункт 18 км,  18  км ,  94  км ,,,,,,,,,,,
  6.,594500 .,Лебедянь,  32  км ,  80  км ,,,,,,,,,,,
  7.,594515 .,ОП Ост. Пункт 42 км,  42  км ,  70  км ,,,,,,,,,,,
  8.,594604 .,Красивая Меча,  46  км ,  66  км ,,,,,,,,,,,
  9.,594619 .,ОП Ост. Пункт 47 км,  47  км ,  65  км ,,,,,,,,,,,
 10.,594623 .,ОП Ост. Пункт 51 км,  51  км ,  61  км ,,,,,,,,,,,
 11.,594708 .,Рождество,  54  км ,  58  км ,,,,,,,,,,,
 12.,594712 .,ОП Ост. Пункт 63 км,  63  км ,  49  км ,,,,,,,,,,,
 13.,594801 .,Лутошкино,  72  км ,  40  км ,,,,,,,,,,,
 14.,594820 .,ОП Ост. Пункт 76 км,  76  км ,  36  км ,,,,,,,,,,,
 15.,594816 .,ОП Корытное,  83  км ,  29  км ,,,,,,,,,,,
 16.,594943 .,ОП Талица-Елецкая,  94  км ,  18  км ,,,,,,,,,,,
 17.,594910 .,ОП Трубицино, 101  км ,  11  км ,,,,,,,,,,,
 18.,594924 .,ОП Ост. Пункт 104 км, 104  км ,   8  км ,,,,,,,,,,,
 19.,594939 .,ОП Ост. Пункт 107 км, 107  км ,   5  км ,,,,,,,,,,,
 20.,593000 .,Елец, 112  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  3) участок 58-005 ""ЕЛЕЦ - ЕЛЕЦ-ТОВАРНЫЙ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Елец,до ст. Елец-Товарный,,,,,,,,,,,
  1.,593000 .,Елец,   0  км ,   2  км ,,,,,,,,,,,
  2.,593014 .,Елец-Товарный,   2  км ,   0  км ,,,,,,,,,,,
