Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Юго-Западной ж.д. (код дороги 32),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 32-001 ""ЗЕРНОВО - ХУТОР-МИХАЙЛОВСКИЙ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Зерново,до ст. Хутор-Михайловский,,,,,,,,,,,
  1.,328808 .,Зерново,   0  км ,  17  км ,,,,,,,,,,,
  2.,328812 .,ОП Ост. Пункт 507 км,   4  км ,  13  км ,,,,,,,,,,,
  3.,328827 .,ОП Шалимовка,   8  км ,   9  км ,,,,,,,,,,,
  4.,328831 .,ОП Ост. Пункт 515 км,  12  км ,   5  км ,,,,,,,,,,,
  5.,328704 .,Хутор-Михайловский,  17  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  2) участок 32-002 ""ХУТОР-МИХАЙЛОВСКИЙ - КОНОТОП"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Хутор-Михайловский,до ст. Конотоп,,,,,,,,,,,
  1.,328704 .,Хутор-Михайловский,   0  км , 115  км ,,,,,,,,,,,
  2.,328628 .,Неплюево,  10  км , 105  км ,,,,,,,,,,,
  3.,328615 .,ОП Ивотка,  15  км , 100  км ,,,,,,,,,,,
  4.,328600 .,Янполь,  21  км ,  94  км ,,,,,,,,,,,
  5.,328121 .,Маково,  35  км ,  80  км ,,,,,,,,,,,
  6.,328117 .,ОП Ост. Пункт 560 км,  40  км ,  75  км ,,,,,,,,,,,
  7.,328102 .,Терещенская,  46  км ,  69  км ,,,,,,,,,,,
  8.,328013 .,ОП Пиротчино,  53  км ,  62  км ,,,,,,,,,,,
  9.,327913 .,Брюловецкий,  60  км ,  55  км ,,,,,,,,,,,
 10.,327818 .,ОП Реть,  66  км ,  49  км ,,,,,,,,,,,
 11.,327805 .,Кролевец,  72  км ,  43  км ,,,,,,,,,,,
 12.,327716 .,ОП Лапшин,  79  км ,  36  км ,,,,,,,,,,,
 13.,327720 .,ОП Майоровка,  82  км ,  33  км ,,,,,,,,,,,
 14.,327701 .,Алтыновка,  87  км ,  28  км ,,,,,,,,,,,
 15.,327627 .,ОП Присеймовье,  91  км ,  24  км ,,,,,,,,,,,
 16.,327612 .,Мельня,  98  км ,  17  км ,,,,,,,,,,,
 17.,327523 .,ОП Река Сейм, 103  км ,  12  км ,,,,,,,,,,,
 18.,327504 .,Виревка, 110  км ,   5  км ,,,,,,,,,,,
 19.,327400 .,Конотоп, 115  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  3) участок 32-003 ""ЭСМАНЬ - ХУТОР-МИХАЙЛОВСКИЙ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Эсмань,до ст. Хутор-Михайловский,,,,,,,,,,,
  1.,329800 .,Эсмань,   0  км ,  29  км ,,,,,,,,,,,
  2.,329815 .,ОП Холмовка,   6  км ,  23  км ,,,,,,,,,,,
  3.,329823 .,ОП Ост. Пункт 149 км,   9  км ,  20  км ,,,,,,,,,,,
  4.,329904 .,Свеса,  18  км ,  11  км ,,,,,,,,,,,
  5.,329919 .,ОП Ост. Пункт 133 км,  25  км ,   4  км ,,,,,,,,,,,
  6.,328704 .,Хутор-Михайловский,  29  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  4) участок 32-004 ""КОНОТОП - ВОРОЖБА"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Конотоп,до ст. Ворожба,,,,,,,,,,,
  1.,327400 .,Конотоп,   0  км ,  75  км ,,,,,,,,,,,
  2.,327415 .,ОП Железобетонный,   3  км ,  72  км ,,,,,,,,,,,
  3.,327453 .,ОП Лобковка,   6  км ,  69  км ,,,,,,,,,,,
  4.,327434 .,ОП Калиновка,   8  км ,  67  км ,,,,,,,,,,,
  5.,327449 .,ОП Джигаевка,  12  км ,  63  км ,,,,,,,,,,,
  6.,328901 .,Дубовязовка,  15  км ,  60  км ,,,,,,,,,,,
  7.,328916 .,ОП Вязовое,  18  км ,  57  км ,,,,,,,,,,,
  8.,328920 .,ОП Дубинка,  21  км ,  54  км ,,,,,,,,,,,
  9.,328935 .,ОП Зафатовка,  23  км ,  52  км ,,,,,,,,,,,
 10.,329016 .,ОП Грузское,  26  км ,  49  км ,,,,,,,,,,,
 11.,329105 .,Путейская,  30  км ,  45  км ,,,,,,,,,,,
 12.,329119 .,ОП Степановка,  37  км ,  38  км ,,,,,,,,,,,
 13.,329209 .,Путивль,  47  км ,  28  км ,,,,,,,,,,,
 14.,329213 .,ОП Клепалы,  56  км ,  19  км ,,,,,,,,,,,
 15.,329228 .,ОП Карпиловка,  59  км ,  16  км ,,,,,,,,,,,
 16.,329232 .,Кошары,  65  км ,  10  км ,,,,,,,,,,,
 17.,329247 .,ОП Бабаковка,  71  км ,   4  км ,,,,,,,,,,,
 18.,329302 .,Ворожба,  75  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  5) участок 32-005 ""БАХМАЧ-КИЕВСКИЙ - БАХМАЧ-ГОМЕЛЬСКИЙ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Бахмач-Киевский,до ст. Бахмач-Гомельский,,,,,,,,,,,
  1.,325903 .,Бахмач-Киевский,   0  км ,   3  км ,,,,,,,,,,,
  2.,326107 .,Бахмач-Гомельский,   3  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  6) участок 32-006 ""БАХМАЧ-ПАССАЖИРСКИЙ - КОНОТОП"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Бахмач-Пассажирский,до ст. Конотоп,,,,,,,,,,,
  1.,326003 .,Бахмач-Пассажирский,   0  км ,  25  км ,,,,,,,,,,,
  2.,326018 .,ОП Хутор-Халимоново,   6  км ,  19  км ,,,,,,,,,,,
  3.,326022 .,Халимоново,  11  км ,  14  км ,,,,,,,,,,,
  4.,326037 .,ОП Кукилка,  20  км ,   5  км ,,,,,,,,,,,
  5.,327400 .,Конотоп,  25  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  7) участок 32-007 ""НЕЖИН - БАХМАЧ-ПАССАЖИРСКИЙ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Нежин,до ст. Бахмач-Пассажирский,,,,,,,,,,,
  1.,324008 .,Нежин,   0  км ,  70  км ,,,,,,,,,,,
  2.,324012 .,ОП Приостерный,  11  км ,  59  км ,,,,,,,,,,,
  3.,325706 .,Круты,  20  км ,  50  км ,,,,,,,,,,,
  4.,325710 .,ОП Хорошее Озеро,  29  км ,  41  км ,,,,,,,,,,,
  5.,325802 .,Плиски,  41  км ,  29  км ,,,,,,,,,,,
  6.,325814 .,ОП Великая Загоровка,  48  км ,  22  км ,,,,,,,,,,,
  7.,325829 .,Черемушки,  54  км ,  16  км ,,,,,,,,,,,
  8.,325833 .,ОП Старый Луг,  57  км ,  13  км ,,,,,,,,,,,
  9.,324027 .,ОП Ост. Пункт 669 км,  61  км ,   9  км ,,,,,,,,,,,
 10.,325903 .,Бахмач-Киевский,  67  км ,   3  км ,,,,,,,,,,,
 11.,326003 .,Бахмач-Пассажирский,  70  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
