Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Южно-Кавказской ж.д. (код дороги 56),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 56-001 ""АЙРУМ (ЭКСП.) - ГЮМРИ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Айрум (эксп.),до ст. Гюмри,,,,,,,,,,,
  1.,569706 .,Айрум (эксп.),   0  км , 145  км ,,,,,,,,,,,
  2.,564702 .,Айрум,   4  км , 141  км ,,,,,,,,,,,
  3.,564717 .,ОП Платформа 2585 км,   7  км , 138  км ,,,,,,,,,,,
  4.,564721 .,ОП Шиних,  12  км , 133  км ,,,,,,,,,,,
  5.,564806 .,Ахтала,  16  км , 129  км ,,,,,,,,,,,
  6.,564810 .,ОП Платформа 2598 км,  20  км , 125  км ,,,,,,,,,,,
  7.,564825 .,Ахпат (рзд),  24  км , 121  км ,,,,,,,,,,,
  8.,564903 .,Алаверди,  30  км , 115  км ,,,,,,,,,,,
  9.,564914 .,ОП Платформа 2611 км,  33  км , 112  км ,,,,,,,,,,,
 10.,565009 .,Санаин,  35  км , 110  км ,,,,,,,,,,,
 11.,565103 .,Кобер,  43  км , 102  км ,,,,,,,,,,,
 12.,565118 .,ОП Платформа 2624 км,  46  км ,  99  км ,,,,,,,,,,,
 13.,565122 .,ОП Платформа 2628 км,  50  км ,  95  км ,,,,,,,,,,,
 14.,565207 .,Туманян,  52  км ,  93  км ,,,,,,,,,,,
 15.,565211 .,ОП Платформа 2632 км,  54  км ,  91  км ,,,,,,,,,,,
 16.,565226 .,ОП Платформа 2634 км,  56  км ,  89  км ,,,,,,,,,,,
 17.,565230 .,Шагалы,  60  км ,  85  км ,,,,,,,,,,,
 18.,565245 .,Памбак,  68  км ,  77  км ,,,,,,,,,,,
 19.,565300 .,Ванадзор,  76  км ,  69  км ,,,,,,,,,,,
 20.,565315 .,Арчут (рзд),  85  км ,  60  км ,,,,,,,,,,,
 21.,565328 .,ОП Платформа 2667 км,  89  км ,  56  км ,,,,,,,,,,,
 22.,565334 .,ОП Платформа 2669 км,  91  км ,  54  км ,,,,,,,,,,,
 23.,565404 .,Спитак,  96  км ,  49  км ,,,,,,,,,,,
 24.,565419 .,ОП Платформа 2679 км, 100  км ,  45  км ,,,,,,,,,,,
 25.,563108 .,Налбанд, 106  км ,  39  км ,,,,,,,,,,,
 26.,565438 .,ОП Платформа 2690 км, 111  км ,  34  км ,,,,,,,,,,,
 27.,565508 .,Калтахчи, 115  км ,  30  км ,,,,,,,,,,,
 28.,565512 .,ОП Платформа 2695 км, 117  км ,  28  км ,,,,,,,,,,,
 29.,565527 .,ОП Платформа 2697 км, 120  км ,  25  км ,,,,,,,,,,,
 30.,565601 .,Джаджур, 125  км ,  20  км ,,,,,,,,,,,
 31.,565616 .,ОП Платформа 2705 км, 128  км ,  17  км ,,,,,,,,,,,
 32.,565620 .,ОП Платформа 2708 км, 129  км ,  16  км ,,,,,,,,,,,
 33.,565635 .,ОП Платформа 2711 км, 133  км ,  12  км ,,,,,,,,,,,
 34.,565705 .,Маисян (рзд), 135  км ,  10  км ,,,,,,,,,,,
 35.,565713 .,ОП Платформа 2715 км, 136  км ,   9  км ,,,,,,,,,,,
 36.,565724 .,ОП Платформа 2717 км, 137  км ,   8  км ,,,,,,,,,,,
 37.,565739 .,ОП Платформа 2722 км, 139  км ,   6  км ,,,,,,,,,,,
 38.,565809 .,Гюмри, 145  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  2) участок 56-002 ""ГЮМРИ - МАСИС"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Гюмри,до ст. Масис,,,,,,,,,,,
  1.,565809 .,Гюмри,   0  км , 140  км ,,,,,,,,,,,
  2.,567503 .,Баяндур,  13  км , 127  км ,,,,,,,,,,,
  3.,565828 .,ОП Тавшан-Кишляг,  19  км , 121  км ,,,,,,,,,,,
  4.,566407 .,Агин,  26  км , 114  км ,,,,,,,,,,,
  5.,566411 .,Баграван (рзд),  37  км , 103  км ,,,,,,,,,,,
  6.,566500 .,Ани,  45  км ,  95  км ,,,,,,,,,,,
  7.,566515 .,Гетап (рзд),  54  км ,  86  км ,,,,,,,,,,,
  8.,566604 .,Арагац,  64  км ,  76  км ,,,,,,,,,,,
  9.,566619 .,Артени (рзд),  73  км ,  67  км ,,,,,,,,,,,
 10.,566708 .,Каракерт,  81  км ,  59  км ,,,,,,,,,,,
 11.,566801 .,Даларик,  88  км ,  52  км ,,,,,,,,,,,
 12.,566905 .,Аракс,  95  км ,  45  км ,,,,,,,,,,,
 13.,567005 .,Армавир, 106  км ,  34  км ,,,,,,,,,,,
 14.,567014 .,ОП Платформа 2833 км, 110  км ,  30  км ,,,,,,,,,,,
 15.,567202 .,Советакан, 117  км ,  23  км ,,,,,,,,,,,
 16.,567217 .,ОП Платформа 2845 км, 122  км ,  18  км ,,,,,,,,,,,
 17.,567306 .,Эчмиадзин, 128  км ,  12  км ,,,,,,,,,,,
 18.,567310 .,ОП Платформа 2855 км, 132  км ,   8  км ,,,,,,,,,,,
 19.,567429 .,Пост 2865 км, 133  км ,   7  км ,,,,,,,,,,,
 20.,567400 .,Масис, 140  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  3) участок 56-003 ""МАСИС - ЕРАСХ (ЭКСП.)"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Масис,до ст. Ерасх (эксп.),,,,,,,,,,,
  1.,567400 .,Масис,   0  км ,  57  км ,,,,,,,,,,,
  2.,567414 .,Мхчян (рзд),   8  км ,  49  км ,,,,,,,,,,,
  3.,569301 .,Арташат,  18  км ,  39  км ,,,,,,,,,,,
  4.,569405 .,Айгеван,  30  км ,  27  км ,,,,,,,,,,,
  5.,569509 .,Арарат,  37  км ,  20  км ,,,,,,,,,,,
  6.,569513 .,ОП Платформа 554 км,  45  км ,  12  км ,,,,,,,,,,,
  7.,569528 .,ОП Платформа 550 км,  49  км ,   8  км ,,,,,,,,,,,
  8.,569602 .,Ерасх,  52  км ,   5  км ,,,,,,,,,,,
  9.,569903 .,Ерасх (эксп.),  57  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  4) участок 56-004 ""РАЗДАН - ИДЖЕВАН (ЭКСП.)"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Раздан,до ст. Иджеван (эксп.),,,,,,,,,,,
  1.,568402 .,Раздан,   0  км ,  97  км ,,,,,,,,,,,
  2.,568506 .,Какавадзор,   9  км ,  75  км ,,,,,,,,,,,
  3.,567908 .,Меградзор,  17  км ,  67  км ,,,,,,,,,,,
  4.,568525 .,Фиолетовский (рзд),  32  км ,  52  км ,,,,,,,,,,,
  5.,568605 .,Дилижан,  48  км ,  36  км ,,,,,,,,,,,
  6.,568614 .,Куйбышево-Кавказская,  57  км ,  27  км ,,,,,,,,,,,
  7.,568629 .,Гош (рзд),  67  км ,  17  км ,,,,,,,,,,,
  8.,568633 .,Лусабац (рзд),  76  км ,   8  км ,,,,,,,,,,,
  9.,568703 .,Иджеван,  84  км ,  13  км ,,,,,,,,,,,
 10.,569800 .,Иджеван (эксп.),  97  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
