Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Южно-Уральской ж.д. (код дороги 80),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 80-001 ""КРОПАЧЕВО - БЕРДЯУШ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Кропачево,до ст. Бердяуш,,,,,,,,,,,
  1.,808601 .,Кропачево,   0  км , 108  км ,,,,,,,,,,,
  2.,808531 .,ОП Ост. Пункт 1784 км,   3  км , 105  км ,,,,,,,,,,,
  3.,808527 .,ОП Яхино,   6  км , 102  км ,,,,,,,,,,,
  4.,808512 .,ОП Яхъя,  10  км ,  98  км ,,,,,,,,,,,
  5.,808565 .,ОП Ребячья республика,  13  км ,  95  км ,,,,,,,,,,,
  6.,808546 .,ОП Старая станция,  17  км ,  91  км ,,,,,,,,,,,
  7.,807929 .,ОП Пост-Завод,  20  км ,  88  км ,,,,,,,,,,,
  8.,808508 .,Усть-Катав,  22  км ,  86  км ,,,,,,,,,,,
  9.,807933 .,ОП Ост. Пункт 1813 км,  31  км ,  77  км ,,,,,,,,,,,
 10.,807903 .,Вязовая,  36  км ,  72  км ,,,,,,,,,,,
 11.,807844 .,ОП Красный мост,  43  км ,  65  км ,,,,,,,,,,,
 12.,807837 .,ОП Ост. Пункт 1826 км,  47  км ,  61  км ,,,,,,,,,,,
 13.,807825 .,ОП Тюбеляс,  51  км ,  57  км ,,,,,,,,,,,
 14.,807810 .,ОП Ост. Пункт 1838 км,  58  км ,  50  км ,,,,,,,,,,,
 15.,807806 .,Мурсалимкино,  60  км ,  48  км ,,,,,,,,,,,
 16.,807721 .,ОП Ост. Пункт 1843 км,  63  км ,  45  км ,,,,,,,,,,,
 17.,807717 .,ОП Терменево,  66  км ,  42  км ,,,,,,,,,,,
