Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Южной ж.д. (код дороги 43),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 43-001 ""ХАРЬКОВ-СОРТИРОВОЧНЫЙ - МЕРЕФА"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Харьков-Сортировочный,до ст. Мерефа,,,,,,,,,,,
  1.,440001 .,Харьков-Сортировочный,   0  км ,  29  км ,,,,,,,,,,,
  2.,440041 .,ОП Пост-Южный-Сортировочный,   1  км ,  28  км ,,,,,,,,,,,
  3.,440406 .,Харьков-Пассажирский,   4  км ,  25  км ,,,,,,,,,,,
  4.,440069 .,ОП Новоселовка,   6  км ,  23  км ,,,,,,,,,,,
  5.,440073 .,ОП Липовая Роща,  10  км ,  19  км ,,,,,,,,,,,
  6.,440088 .,ОП Карачевка,  13  км ,  16  км ,,,,,,,,,,,
  7.,441170 .,Покотиловка,  14  км ,  15  км ,,,,,,,,,,,
  8.,441165 .,ОП Научный,  17  км ,  12  км ,,,,,,,,,,,
  9.,441150 .,ОП Высокий,  19  км ,  10  км ,,,,,,,,,,,
 10.,441146 .,ОП Зеленый Гай,  21  км ,   8  км ,,,,,,,,,,,
 11.,441131 .,ОП Южный,  22  км ,   7  км ,,,,,,,,,,,
 12.,441127 .,ОП Комаровка,  23  км ,   6  км ,,,,,,,,,,,
 13.,441112 .,ОП Артемовка,  27  км ,   2  км ,,,,,,,,,,,
 14.,441108 .,Мерефа,  29  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  2) участок 43-002 ""МЕРЕФА - ЛЮБОТИН"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Мерефа,до ст. Люботин,,,,,,,,,,,
  1.,441108 .,Мерефа,   0  км ,  18  км ,,,,,,,,,,,
  2.,441112 .,ОП Артемовка,   2  км ,  16  км ,,,,,,,,,,,
  3.,441127 .,ОП Комаровка,   6  км ,  12  км ,,,,,,,,,,,
  4.,449701 .,Буды,   9  км ,   9  км ,,,,,,,,,,,
