Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Якутской ж.д. (код дороги 91),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 91-001 ""НЕРЮНГРИ-ПАССАЖИРСКАЯ (Дальневосточной ж.д.) - ТОММОТ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Нерюнгри-Пассажирская,до ст. Томмот,,,,,,,,,,,
  1.,911501 .,Нерюнгри-Пассажирская,   0  км , 361  км ,,,,,,,,,,,
  2.,912006 .,Нерюнгри-Грузовая,   9  км , 352  км ,,,,,,,,,,,
  3.,913507 .,Денисовский,  19  км , 342  км ,,,,,,,,,,,
  4.,913600 .,Чульман (рзд),  30  км , 331  км ,,,,,,,,,,,
  5.,913704 .,Чульбасс,  45  км , 316  км ,,,,,,,,,,,
  6.,913808 .,Тенистый,  56  км , 305  км ,,,,,,,,,,,
  7.,913812 .,Хатыми (рзд),  85  км , 276  км ,,,,,,,,,,,
  8.,913831 .,Огоньер (рзд), 105  км , 256  км ,,,,,,,,,,,
  9.,913850 .,Таежная (рзд), 149  км , 212  км ,,,,,,,,,,,
 10.,913865 .,Большой Нимныр (рзд), 208  км , 153  км ,,,,,,,,,,,
 11.,913916 .,Селигдар (рзд), 245  км , 116  км ,,,,,,,,,,,
 12.,913901 .,Косаревский (рзд), 262  км ,  99  км ,,,,,,,,,,,
 13.,914001 .,Алдан, 278  км ,  83  км ,,,,,,,,,,,
 14.,914105 .,Куранах, 310  км ,  51  км ,,,,,,,,,,,
 15.,914209 .,Томмот, 361  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  2) участок 91-002 ""ТОММОТ - НИЖНИЙ БЕСТЯХ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Томмот,до ст. Нижний Бестях,,,,,,,,,,,
  1.,914209 .,Томмот,   0  км , 438  км ,,,,,,,,,,,
  2.,914213 .,Болотный (рзд),  55  км , 383  км ,,,,,,,,,,,
  3.,914228 .,Амга, 100  км , 338  км ,,,,,,,,,,,
  4.,914232 .,Карбыкан (рзд), 159  км , 279  км ,,,,,,,,,,,
  5.,914247 .,Кюргелях, 211  км , 227  км ,,,,,,,,,,,
  6.,914251 .,Ханиердах (рзд), 259  км , 179  км ,,,,,,,,,,,
  7.,914266 .,Олень, 315  км , 123  км ,,,,,,,,,,,
  8.,914302 .,Кердем, 365  км ,  73  км ,,,,,,,,,,,
  9.,914406 .,Рассолода (рзд), 401  км ,  37  км ,,,,,,,,,,,
 10.,913403 .,Нижний Бестях, 438  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  3) участок 91-004 ""НЕРЮНГРИ-ПАССАЖИРСКАЯ (Дальневосточной ж.д.) - НЕРЮНГРИ-ГРУЗОВАЯ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Нерюнгри-Пассажирская,до ст. Нерюнгри-Грузовая,,,,,,,,,,,
  1.,911501 .,Нерюнгри-Пассажирская,   0  км ,   9  км ,,,,,,,,,,,
  2.,912103 .,Нерюнгри-Пассажирская (СТР),   0  км ,   9  км ,,,,,,,,,,,
  3.,912203 .,Нерюнгри-Грузовая (ЖДЯ СТР),   0  км ,   9  км ,,,,,,,,,,,
  4.,912006 .,Нерюнгри-Грузовая,   9  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  4) участок 91-003 ""НЕРЮНГРИ-ГРУЗОВАЯ - ТОММОТ (для пассажирского движения)"" (Для пассажирского движения)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Нерюнгри-Грузовая,до ст. Томмот,,,,,,,,,,,
  1.,912006 .,Нерюнгри-Грузовая,   0  км , 354  км ,,,,,,,,,,,
  2.,913507 .,Денисовский,  14  км , 340  км ,,,,,,,,,,,
  3.,913600 .,Чульман (рзд),  26  км , 328  км ,,,,,,,,,,,
  4.,913704 .,Чульбасс,  43  км , 311  км ,,,,,,,,,,,
  5.,913808 .,Тенистый,  51  км , 303  км ,,,,,,,,,,,
  6.,913812 .,Хатыми (рзд),  80  км , 274  км ,,,,,,,,,,,
  7.,913831 .,Огоньер (рзд), 100  км , 254  км ,,,,,,,,,,,
  8.,913850 .,Таежная (рзд), 144  км , 210  км ,,,,,,,,,,,
  9.,913865 .,Большой Нимныр (рзд), 203  км , 151  км ,,,,,,,,,,,
 10.,913916 .,Селигдар (рзд), 239  км , 115  км ,,,,,,,,,,,
 11.,913901 .,Косаревский (рзд), 267  км ,  87  км ,,,,,,,,,,,
 12.,914001 .,Алдан, 287  км ,  67  км ,,,,,,,,,,,
 13.,914105 .,Куранах, 303  км ,  51  км ,,,,,,,,,,,
 14.,914209 .,Томмот, 354  км ,   0  км ,,,,,,,,,,,
_____________________________________________________________________________________________,,,,,,,,,,,,,,,
