Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,
,,,,,,,,,,,,
АЛФАВИТНЫЙ СПИСОК ЖЕЛЕЗНОДОРОЖНЫХ СТАНЦИЙ,,,,,,,,,,,,
,,,,,,,,,,,,
"Алфавитный список ГОРОДОВ, названия которых не совпадают с названиями станций",,,,,,,,,,,,
,,,,,,,,,,,,
№ п/п,Город,Регион,ж.д. Станция,Дорога,,,,,,,,
    1.,Абай,"Карагандинская обл.,",675407  Карабас - 7 км,68  Кзх,,,,,,,,
,,Казахстан,,,,,,,,,,
    2.,Абастумани (пгт),Республика Грузия,578404  Ахалцихе - 28 км,57  Грз,,,,,,,,
    3.,Абатский (пгт),"Тюменская обл., Россия",791608  Ишим - 59 км,76  Сверд (Р),,,,,,,,
    4.,Агдаш,Азербайджан,555008  Ляки - 10 км,55  Азерб,,,,,,,,
    5.,Агджабеди,Азербайджан,552103  Ватаги - 62 км,55  Азерб,,,,,,,,
    6.,Агджабеди,Азербайджан,555101  Евлах - 90 км,55  Азерб,,,,,,,,
    7.,Агджабеди,Азербайджан,555309  Барда - 64 км,55  Азерб,,,,,,,,
    8.,Адигени (пгт),Республика Грузия,578404  Ахалцихе - 30 км,57  Грз,,,,,,,,
    9.,Аксай,"Уральская обл., Казахстан",666408  Казахстан - 0 км,68  Кзх,,,,,,,,
   10.,Актау,"Мангистауская обл.,",663306  Мангистау - 18 км,68  Кзх,,,,,,,,
,,Казахстан,,,,,,,,,,
   11.,Актау (пгт),"Карагандинская обл.,",673308  Мырза - 3 км,68  Кзх,,,,,,,,
,,Казахстан,,,,,,,,,,
   12.,Александровка,"Кировоградская обл.,",423108  Фундуклеевка - 1 км,40  Од (У),,,,,,,,
,,Украина,,,,,,,,,,
   13.,Александровка,"Акмолинская обл.,",693104  Джемантуз - 0 км,68  Кзх,,,,,,,,
,,Казахстан,,,,,,,,,,
   14.,Александровск,"Пермская обл., Россия",768601  Копи - 2 км,76  Сверд (Р),,,,,,,,
   15.,Алексеевка,"Запорожская обл., Украина",462301  Бельманка - 8 км,45  Придн (У),,,,,,,,
   16.,Алексеевка,"Акмолинская обл.,",692601  Ак-Куль - 0 км,68  Кзх,,,,,,,,
,,Казахстан,,,,,,,,,,
   17.,Алматы,Казахстан,700007  Алматы 1 - 0 км,68  Кзх,,,,,,,,
   18.,Алматы,Казахстан,700100  Алматы 2 - 0 км,68  Кзх,,,,,,,,
   19.,Алупка,"Республика Крым, Украина",473908  Симферополь - 91 км,45  Придн (У),,,,,,,,
   20.,Алушта,"Республика Крым, Украина",473908  Симферополь - 45 км,45  Придн (У),,,,,,,,
   21.,Алчевск,"Луганская обл., Украина",506209  Коммунарск - 0 км,48  Дон (У),,,,,,,,
   22.,Альметьевск,"Республика Татарстан,",648607  Бугульма - 54 км,63  Кбш (Р),,,,,,,,
,,Россия,,,,,,,,,,
   23.,Амбролаури (пгт),Республика Грузия,575302  Кутаиси I - 65 км,57  Грз,,,,,,,,
   24.,Амурск (пгт),"Хабаровский край, Россия",965501  Мылки - 18 км,96  Д-Вост (Р),,,,,,,,
   25.,Ангарск,"Иркутская обл., Россия",932029  Ангарск - 0 км,92  В-Сиб (Р),,,,,,,,
   26.,Ангарск,"Иркутская обл., Россия",932103  Китой-Комбинатская - 0 км,92  В-Сиб (Р),,,,,,,,
   27.,Ангарск,"Иркутская обл., Россия",932005  Китой - 0 км,92  В-Сиб (Р),,,,,,,,
   28.,Андреевка (пгт),"Харьковская обл., Украина",444106  Шебелинка - 3 км,43  Южн (У),,,,,,,,
   29.,Анений Ной,Республика Молдова,390705  Булбоака - 5 км,39  Млд,,,,,,,,
   30.,Анжеро-Судженск,"Кемеровская обл., Россия",875907  Анжерская - 0 км,83  З-Сиб (Р),,,,,,,,
   31.,Антополь,"Брестская обл., Белоруссия",132801  Городец - 5 км,13  Бел,,,,,,,,
   32.,Аральск,"Кзыл-Ординская обл.,",670309  Арал Тенизи - 0 км,68  Кзх,,,,,,,,
,,Казахстан,,,,,,,,,,
   33.,Арбузинка (пгт),"Николаевская обл., Украина",413409  Кавуны - 4 км,40  Од (У),,,,,,,,
   34.,Артем,"Приморский край, Россия",982403  Артем-Приморский I - 0 км,96  Д-Вост (Р),,,,,,,,
   35.,Артемовка (пгт),"Полтавская обл., Украина",449006  Скороходово - 0 км,43  Южн (У),,,,,,,,
   36.,Артемово,"Донецкая обл., Украина",491107  Магдалиновка - 6 км,48  Дон (У),,,,,,,,
   37.,Артемовский,"Свердловская обл., Россия",785908  Егоршино - 0 км,76  Сверд (Р),,,,,,,,
   38.,Асбестовский (пгт),"Свердловская обл., Россия",786506  Алапаевск - 25 км,76  Сверд (Р),,,,,,,,
   39.,Аскания-Нова (пгт),"Херсонская обл., Украина",475405  Новоалексеевка - 76 км,45  Придн (У),,,,,,,,
   40.,Ахмета (пгт),Республика Грузия,562502  Телави - 25 км,57  Грз,,,,,,,,
   41.,Ахсу,Азербайджан,554607  Кюрдамир - 34 км,55  Азерб,,,,,,,,
   42.,Ахтубинск,"Астраханская обл., Россия",616201  Ахтуба - 0 км,61  Прив (Р),,,,,,,,
   43.,Ахунбабаев,"Андижанская обл.,",743801  Жалакудук - 1 км,73  Узбк,,,,,,,,
,,Узбекистан,,,,,,,,,,
   44.,Ачит (пгт),"Свердловская обл., Россия",259100  Уфимка - 13 км,24  Горьк (Р),,,,,,,,
   45.,Бабинцы (пгт),"Киевская обл., Украина",321902  Клавдиево - 7 км,32  Ю-Зап (У),,,,,,,,
   46.,Бабушкин,"Республика Бурятия, Россия",934607  Мысовая - 0 км,92  В-Сиб (Р),,,,,,,,
   47.,Базалия (пгт),"Хмельницкая обл., Украина",330206  Войтовцы - 30 км,32  Ю-Зап (У),,,,,,,,
   48.,Байкалово (пгт),"Свердловская обл., Россия",792600  Талица - 43 км,76  Сверд (Р),,,,,,,,
   49.,Балей,"Читинская обл., Россия",948101  Приисковая - 55 км,94  Заб (Р),,,,,,,,
   50.,Балыкчи,"Иссыккульская обл.,",717703  Рыбачье - 5 км,70  Кирг,,,,,,,,
,,Кыргызстан,,,,,,,,,,
   51.,Барановка (пгт),"Житомирская обл., Украина",347902  Радулино - 24 км,32  Ю-Зап (У),,,,,,,,
   52.,Баранчинский (пгт),"Свердловская обл., Россия",772503  Баранчинская - 3 км,76  Сверд (Р),,,,,,,,
   53.,Барсово (пгт),"Тюменская обл., Россия",797303  Сургут - 26 км,76  Сверд (Р),,,,,,,,
   54.,Басьяновский (пгт),"Свердловская обл., Россия",772109  Перегрузочная - 2 км,76  Сверд (Р),,,,,,,,
   55.,Батурин (пгт),"Черниговская обл., Украина",326003  Бахмач-Пассажирский - 19 км,32  Ю-Зап (У),,,,,,,,
   56.,Бахчисарай,"Республика Крым, Украина",473700  Самохвалово - 6 км,45  Придн (У),,,,,,,,
   57.,Бегомль,"Витебская обл., Белоруссия",163903  Парафьянов - 42 км,13  Бел,,,,,,,,
   58.,Беднодемьяновск,"Республика Мордовия,",640408  Зубова Поляна - 32 км,63  Кбш (Р),,,,,,,,
,,Россия,,,,,,,,,,
