Четверг 25 сен.2025г.  17:59,,,,,
,,,,,
АЛФАВИТНЫЙ СПИСОК ЖЕЛЕЗНОДОРОЖНЫХ СТАНЦИЙ,,,,,
,,,,,
АЛФАВИТНЫЙ СПИСОК ОСТАНОВОЧНЫХ ПУНКТОВ И ПЛАТФОРМ,,,,,
№ п/п,Наименование пункта,Операции,Дорога,Код станции,
    1., Ост. Пункт 1054 км,Х,84 84-я дорога,849762,
    2.,2-я Магистральная,О,92 В-Сиб (Р),924446,
    3.,3-я Успенка,О,58 Ю-Вост (Р),595654,
    4.,4-й участок,О,92 В-Сиб (Р),934170,
    5.,7 жилой участок,О,80 Ю-Ур (Р),806220,
    6.,Аакре,О,08 Эст,085827,
    7.,Аапста,О,57 Грз,574066,
    8.,Аардла,О,08 Эст,085780,
    9.,Абабково,О,24 Горьк (Р),269116,
   10.,Абдикеево,О,63 Кбш (Р),647248,
   11.,Абзаново,О,63 Кбш (Р),652034,
   12.,Абово,О,01 Окт (Р),066510,
   13.,Абрамиха,О,92 В-Сиб (Р),934582,
   14.,Абрамцево,О,17 Моск (Р),236057,
   15.,Абрикосовый,О,48 Дон (У),500217,
   16.,Абрикосовый,О,89 89-я дорога,959619,
   17.,Абросимово,Б,28 Сев (Р),306813,
   18.,Абыла,О,68 Кзх,670920,
   19.,Авангард,О,17 Моск (Р),190213,
   20.,Авдон,О,63 Кбш (Р),651718,
   21.,Авдюшино,О,88 Крас (Р),889632,
   22.,Аверкино,О,63 Кбш (Р),659226,
   23.,Авиамоторная,О,17 Моск (Р),193913,
   24.,Авлаш,О,63 Кбш (Р),648151,
   25.,Авраамовская,Б,13 Бел,154529,
   26.,Австрийский борик,О,83 З-Сиб (Р),873780,
   27.,Автомобилист,О,92 В-Сиб (Р),927143,
   28.,Автоприбор,О,24 Горьк (Р),262719,
   29.,Автостанция,О,43 Южн (У),428090,
   30.,Автостанция,О,83 З-Сиб (Р),865131,
   31.,АВИАБОР,О,24 Горьк (Р),264837,
   32.,Агарзя,Б,24 Горьк (Р),258224,
   33.,Агломератчик,О,83 З-Сиб (Р),865040,
   34.,Агролес,О,17 Моск (Р),214221,
   35.,Агрономический,О,48 Дон (У),487421,
   36.,Агрономический,О,89 89-я дорога,901529,
   37.,Агротранс,О,58 Ю-Вост (Р),585925,
   38.,Агудзера,О,57 Грз,573813,
   39.,Агурис Кархана,О,57 Грз,571119,
   40.,Адамовское,О,45 Придн (У),458611,
   41.,Аджатар,О,80 Ю-Ур (Р),805020,
   42.,Адмиралтейская Слобода,О,24 Горьк (Р),250228,
   43.,Адо-Тымово,О,96 Д-Вост (Р),997714,
   44.,Адровка,О,13 Бел,168663,
   45.,Азадоглы,О,51 С-Кав (Р),544713,
   46.,Азизбекова,О,55 Азерб,547684,
   47.,Азино,О,24 Горьк (Р),276834,
   48.,Азово,О,63 Кбш (Р),653889,
   49.,Азовсталь,О,48 Дон (У),484713,
   50.,Азовсталь,О,89 89-я дорога,899719,
   51.,Ай-Ягун,О,76 Сверд (Р),796955,
   52.,Айамаа,О,08 Эст,085757,
   53.,Айвазовский,О,10 Клг (Р),102120,
   54.,Айрите,О,09 Лат,093332,
   55.,Айский мост,О,80 Ю-Ур (Р),806451,
   56.,Айтек,О,68 Кзх,671529,
   57.,Айтмембетово,О,63 Кбш (Р),653840,
   58.,Академгородок,О,32 Ю-Зап (У),322322,
   59.,Академическая,О,92 В-Сиб (Р),930112,
   60.,Аквапарк,О,28 Сев (Р),296058,
   61.,Акварель,О,61 Прив (Р),611570,
   62.,Акимо-Анненка,О,88 Крас (Р),880534,
   63.,Акимовка,О,40 Од (У),411831,
   64.,Аккахарью,О,01 Окт (Р),023214,
   65.,Аккулаево,О,63 Кбш (Р),657023,
   66.,Аксай,О,51 С-Кав (Р),513626,
   67.,Аксеново,О,28 Сев (Р),303533,
   68.,Аксёниха,О,83 З-Сиб (Р),835948,
   69.,Аксиньина,О,17 Моск (Р),200515,
   70.,Аксютовка,О,43 Южн (У),444322,
   71.,Актас,О,68 Кзх,698242,
   72.,Актау,О,68 Кзх,673416,
   73.,Акуаскиа,О,57 Грз,573326,
   74.,Акура,О,57 Грз,562317,
   75.,Акчуринский,О,63 Кбш (Р),642511,
   76.,Ала-Тау,О,88 Крас (Р),886634,
   77.,Алабино,О,17 Моск (Р),181028,
   78.,Алабушево,О,01 Окт (Р),060618,
   79.,Алакуль,Б,80 Ю-Ур (Р),829434,
   80.,Алалампи,О,01 Окт (Р),025135,
   81.,Аланда,О,09 Лат,098649,
   82.,Аларда,О,83 З-Сиб (Р),865214,
   83.,Алатту,О,01 Окт (Р),026227,
   84.,Алгашет,О,92 В-Сиб (Р),920820,
   85.,Алдара,О,55 Азерб,551115,
   86.,Алдарово,О,63 Кбш (Р),656829,
   87.,Алды,Х,51 С-Кав (Р),540905,
   88.,Алебастровая,О,48 Дон (У),494529,
   89.,Алебастровая,О,89 89-я дорога,958620,
   90.,Алебастрово,О,76 Сверд (Р),765533,
   91.,Алеевка,О,40 Од (У),410241,
   92.,Алей,О,83 З-Сиб (Р),843446,
   93.,Александрино,О,17 Моск (Р),173939,
   94.,Александрия,О,13 Бел,156929,
   95.,Александрия-Ровенская,О,35 Льв (У),356634,
   96.,Александровка,О,13 Бел,149111,
   97.,Александровка,О,17 Моск (Р),210818,
   98.,Александровка,О,17 Моск (Р),221210,
   99.,Александровка,О,40 Од (У),423627,
  100.,Александровка,О,43 Южн (У),433633,
  101.,Александровка,О,45 Придн (У),451951,
  102.,Александровка,О,48 Дон (У),506815,
  103.,Александровка,О,58 Ю-Вост (Р),591818,
  104.,Александровка,О,61 Прив (Р),620828,
  105.,Александровка,О,61 Прив (Р),621638,
  106.,Александровка,О,88 Крас (Р),880214,
  107.,Александровка,О,94 Заб (Р),942618,
  108.,Александровка,О,84 84-я дорога,848755,
  109.,Александровская-,О,01 Окт (Р),039025,
,Финляндская,,,,
  110.,Алексеевка,О,01 Окт (Р),048419,
  111.,Алексеевка,О,17 Моск (Р),224736,
  112.,Алексеевка,О,61 Прив (Р),608864,
  113.,Алексеевская,О,17 Моск (Р),174344,
  114.,Алексеевское,О,51 С-Кав (Р),520371,
  115.,Алексино,О,43 Южн (У),445842,
  116.,Аленевка,Б,58 Ю-Вост (Р),608328,
  117.,Алентуйка,О,94 Заб (Р),941013,
  118.,Аленушка,О,13 Бел,133310,
  119.,Алешево,О,24 Горьк (Р),248158,
  120.,Алешино,О,24 Горьк (Р),261612,
  121.,Алиабад,Б,55 Азерб,559526,
  122.,Алисово,О,58 Ю-Вост (Р),595221,
  123.,Алитус II,О,12 Лит,123613,
  124.,Аллак,О,83 З-Сиб (Р),836715,
  125.,Алмаз,О,32 Ю-Зап (У),322411,
  126.,Алмало,О,51 С-Кав (Р),542915,
  127.,Алонский,О,83 З-Сиб (Р),832422,
