Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
АЛФАВИТНЫЙ СПИСОК ЖЕЛЕЗНОДОРОЖНЫХ СТАНЦИЙ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Алфавитный список портов ВНУТРЕННЕГО ВОДНОГО транспорта, включённых в прямое смешанное железнодорожно-водное сообщение",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
№ п/п,Порт,Параграфы,Бассейн,Водоём,Операции,"Масса груза, т",,,,,,,,,,,,,,
    1.,Абакан,"§1, 2, 3, 4, 7",,Енисей,ОП,20,,,,,,,,,,,,,,
    2.,Абрамково,"§1,4",,Северная Двина,П,,,,,,,,,,,,,,,
    3.,Агидель,§ 4,,Белая,ОП,,,,,,,,,,,,,,,
    4.,Адзьва-Вом,"§4,5",,Уса,П,,,,,,,,,,,,,,,
    5.,Аетонга,"§4,5,6",,Индигирка,П,,,,,,,,,,,,,,,
    6.,Азов,"§ 1,2,3,4",,Дон,ОП,27,,,,,,,,,,,,,,
    7.,Азово,§4,Восточно-Казахстанский,Иртыш,,,,,,,,,,,,,,,,
    8.,Аим,"§4,5",,Мая,П,,,,,,,,,,,,,,,
    9.,Айкино,"§1,4",,Вычегда,ОП,,,,,,,,,,,,,,,
   10.,Аксай,§4,,Дон,ОП,,,,,,,,,,,,,,,
   11.,Аксарка,"§4,5",,Обь,П,5,,,,,,,,,,,,,,
,,Погрузку и выгрузку контейнеров в Аксарке грузоотправители и грузополучатели обязаны производить своими силами и средствами и на своих причалах.,,,,,,,,,,,,,,,,,,
   12.,Аксуат,§7,,Урал,О,,,,,,,,,,,,,,,
   13.,Актаныш,§4,,Белая,ОП,,,,,,,,,,,,,,,
   14.,Александровка-Донская,§4,,Дон,ОП,,,,,,,,,,,,,,,
   15.,Александрово,§4,,Ока,ОП,,,,,,,,,,,,,,,
   16.,Александровское,"§3,4",,Обь,ОП,5,,,,,,,,,,,,,,
   17.,Александровское,§5,,Волго-Балтийский канал,О,,,,,,,,,,,,,,,
   18.,Алексеевка,"§1,4",,Волга,О,,,,,,,,,,,,,,,
   19.,Алексеевка,"§4,5",,Амур,П,,,,,,,,,,,,,,,
   20.,Алексеевский,"§3,4,5",,Лена,П,,,,,,,,,,,,,,,
,,Погрузку и выгрузку контейнеров в Алексеевском грузоотправители и грузополучатели обязаны производить своими силами и средствами и на своих причалах.,,,,,,,,,,,,,,,,,,
   21.,Амбор,§4,,Кама,ОП,,,,,,,,,,,,,,,
