Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
АЛФАВИТНЫЙ СПИСОК ЖЕЛЕЗНОДОРОЖНЫХ СТАНЦИЙ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Алфавитный список портов, производящих ПЕРЕВАЛКУ грузов с железнодорожного на ВНУТРЕННИЙ ВОДНЫЙ транспорт и обратно",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
№ п/п,Порт,с воды на ЖД,с ЖД на воду,"Масса груза, т",Пароходство,ж.д. Станция,Дорога,Расстояния до ТП,,,,,,,,,,,,
    1.,Абакан,§2,§2,20,,888004  Абакан,88  Крас (Р),"Тигей (887675) - 24 км, Саянская (889100) - 398 км",,,,,,,,,,,,
    2.,Азов,"§1,2,4","§1,2,4,5",27,,510806  Азов,51  С-Кав (Р),,,,,,,,,,,,,
    3.,Алатырь,§4,"§1,2,3,4",,,247600  Алатырь,24  Горьк (Р),"Красный Узел (247009) - 127 км, Канаш (248105) - 114 км",,,,,,,,,,,,
    4.,"АО ""Алроса-Термина""","1,2,4","1,2,4",,-,927105  Лена,92  В-Сиб (Р),,,,,,,,,,,,,
,,-,,,,,,,,,,,,,,,,,,
    5.,"АО ""Хабаровский речной","1,2,3,4","1,2,3,4",,,970406  Хабаровск I,96  Д-Вост (Р),,,,,,,,,,,,,
,"торговый порт""",,,,,,,,,,,,,,,,,,,
    6.,Архангельск,"§1,2,4","§1,2,4",10,,290901  Жаровиха,28  Сев (Р),Архангельск-Город (290507) - 9 км,,,,,,,,,,,,
    7.,Астрахань,§2,§2,20,,616502  Правый Берег,61  Прив (Р),"Кизилюрт (542807) - 422 км, Аксарайская (617505) - 69 км",,,,,,,,,,,,
    8.,Атырау Узень Порты,"§ 1, 2","§ 1, 2",5,Уральское,661601  Акжайык,68  Кзх,"Макат (661103) - 125 км, Дины Нурпеисовой (рзд) (эксп.) (662002) - 292 км",,,,,,,,,,,,
    9.,Байкал,"§1,2","§1,2",5,,933604  Байкал,92  В-Сиб (Р),"Иркутск-Пассажирский (930108) - 220 км, Улан-Удэ (935506) - 424 км",,,,,,,,,,,,
   10.,Бийск,"§1,2","§1,2",10,,843200  Бийск,83  З-Сиб (Р),Алтайская (840005) - 147 км,,,,,,,,,,,,
   11.,Благовещенск,"§1,2, 3,4","§1,2,3,4,5",10,(ЗАО «Торговый порт,954704  Благовещенск,94  Заб (Р),,,,,,,,,,,,,
,,,,,Благовещенск»),,,,,,,,,,,,,,,
   12.,Бобруйск,"§1,2","§1,2",5,Верхнеднепровское,147703  Березина,13  Бел,"Осиповичи I (146407) - 47 км, Жлобин (155004) - 60 км",,,,,,,,,,,,
   13.,Брест,"§1,2","§1,2",5,Верхнеднепровское,130007  Брест-Центральный,13  Бел,,,,,,,,,,,,,
   14.,Бухтарма,§2,§2,5,Верхнеказахстанское,714207  Бухтарма,68  Кзх,Новоустькаменогорск (713806) - 102 км,,,,,,,,,,,,
   15.,Волгоград,"§1,2,4","§1,2,4",5,,611104  Мечетка,61  Прив (Р),"Разгуляевка (610900) - 19 км, Верхний Баскунчак (618207) - 183 км",,,,,,,,,,,,
   16.,Волгоград,§2,§2,5,,610402  Волжский,61  Прив (Р),"Разгуляевка (610900) - 28 км, Верхний Баскунчак (618207) - 174 км",,,,,,,,,,,,
   17.,Волгодонск,"§1,2,4","§1,2,4",10,,519707  Волгодонская,51  С-Кав (Р),Куберле (519105) - 66 км,,,,,,,,,,,,
   18.,Вологда,"§1,2,4","§1,2,4",5,,300200  Вологда-Пристань,28  Сев (Р),Вологда I (300107) - 4 км,,,,,,,,,,,,
   19.,Вятские Поляны,§4,"§1,2,3,4",,,253809  Вятские Поляны,24  Горьк (Р),"Дербышки (251004) - 137 км, Агрыз (254905) - 150 км",,,,,,,,,,,,
