Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
АЛФАВИТНЫЙ СПИСОК ЖЕЛЕЗНОДОРОЖНЫХ СТАНЦИЙ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Алфавитный список МОРСКИХ портов и пунктов, включенных в прямое смешанное железнодорожно-водное сообщение",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
№ п/п,Порт,Параграфы,Пароходство,Место,Операции,,,,,,,,,,,,,,,
    1.,Агнево,"§ 2, 4, 5, 6",,Татарский пролив,ОП,,,,,,,,,,,,,,,
    2.,Айвадж,"§ 2, 5, 6",Среднеазиатское,р. Пяндж,ОП,,,,,,,,,,,,,,,
    3.,Актау,"§ 1, 7",Каспийское,Каспийское море,ОП,,,,,,,,,,,,,,,
    4.,Аладжа,"§ 3, 6, 7",,Каспийское море,ОП,,,,,,,,,,,,,,,
    5.,Александровск,"§ 2, 4, 7",,Татарский пролив,ОП,,,,,,,,,,,,,,,
    6.,Амдерма,"§ 2, 4, 5, 6, 7",,Карское море,ОП,,,,,,,,,,,,,,,
    7.,Анадырь,"§ 2, 4, 5, 6, 7",,Анадырский залив,ОП,,,,,,,,,,,,,,,
    8.,Анапка,"§ 2, 4, 6, 7",,Берингово море,ОП,,,,,,,,,,,,,,,
    9.,"АО ""Дальневосточный",1,,Японское море,,,,,,,,,,,,,,,,
,"коммерческий холодильник""",,,,ОП,,,,,,,,,,,,,,,
   10.,"АО ""Международный морской","1, 7",-,Японское море,,,,,,,,,,,,,,,,
,"перегрузочный терминал""",,,,ОП,,,,,,,,,,,,,,,
,,-,,,,,,,,,,,,,,,,,,
   11.,Апука,"§ 1, 4, 5, 6",,Берингово море,ОП,,,,,,,,,,,,,,,
   12.,Аральск-порт,"§ 3, 4",Среднеазиатское,Аральское море,ОП,,,,,,,,,,,,,,,
   13.,Арково,"§ 2, 4, 5, 6",,Татарский пролив,ОП,,,,,,,,,,,,,,,
   14.,Архангельск,"§ 1, 7",,Белое море,ОП,,,,,,,,,,,,,,,
   15.,Архангельск ЗАО,"§ 1, 7",-,Белое море,,,,,,,,,,,,,,,,
,Арктик-Консалтинг-Сервис,,,,ОП,,,,,,,,,,,,,,,
   16.,Астрахань,"§ 1, 7",,Каспийское море,ОП,,,,,,,,,,,,,,,
   17.,Аян,"§ 2, 4, 5, 6",,Охотское море,ОП,,,,,,,,,,,,,,,
   18.,Баку,"§ 1, 7",Каспийское,Каспийское море,ОП,,,,,,,,,,,,,,,
   19.,Балтийск,"§ 1, 7",,Балтийское море,ОП,,,,,,,,,,,,,,,
   20.,Баренцбург,"§ 1, 4, 7",,Баренцево море (о.,,,,,,,,,,,,,,,,
,,,,Шпицберген),ОП,,,,,,,,,,,,,,,
   21.,Батуми,"§ 1, 7",Грузинское,Черное море,ОП,,,,,,,,,,,,,,,
   22.,Бекташ,"§ 3, 6, 7",Каспийское,Каспийское море,ОП,,,,,,,,,,,,,,,
   23.,Белгород-Днестровский,§ 1,ГАМРТУ,Днестровский лиман,ОП,,,,,,,,,,,,,,,
   24.,Беломорск,"§ 2, 4, 7",,Белое море,ОП,,,,,,,,,,,,,,,
   25.,Бердянск,"§ 1, 7",ГАМРТУ,Азовское море,ОП,,,,,,,,,,,,,,,
   26.,Беринговский,"§ 2, 4, 5, 6, 7",,Берингово море,ОП,,,,,,,,,,,,,,,
   27.,Бируни,"§ 3, 4, 5, 6",Среднеазиатское,р. Амударья,ОП,,,,,,,,,,,,,,,
   28.,Большерецк,"§ 2, 4, 5, 6",,Охотское море,ОП,,,,,,,,,,,,,,,
   29.,Большой порт,§ 1,,Балтийское море,,,,,,,,,,,,,,,,
,"Санкт-Петербург ООО ""ЛАТМЕТ""",,,,ОП,,,,,,,,,,,,,,,
   30.,Большой порт,§ 1,,Финский залив Невская губа,,,,,,,,,,,,,,,,
,САНКТ-ПЕТЕРБУРГ ООО Газпромнефть Терминал СПб,,,и устье реки Нева,ОП,,,,,,,,,,,,,,,
   31.,Ванино,"§ 1, 7",,Татарский пролив,ОП,,,,,,,,,,,,,,,
   32.,Ванино АО,1,,Японское море,,,,,,,,,,,,,,,,
,"""ВаниноТрансУголь""",,,,ОП,,,,,,,,,,,,,,,
,,нет,,,,,,,,,,,,,,,,,,
   33.,Вилково,"§ 3, 4",Порт Усть-Дунайск,р. Дунай,ОП,,,,,,,,,,,,,,,
   34.,Владивосток,"§ 1, 7",,Японское море,ОП,,,,,,,,,,,,,,,
   35.,Владивосток ОАО,"§ 1, 7",,Японское море,,,,,,,,,,,,,,,,
,Владивостокский морской торговый порт,,,,ОП,,,,,,,,,,,,,,,
   36.,Владивосток ОАО,"§ 1, 7",-,Японское море,,,,,,,,,,,,,,,,
,ДАЛЬКОМХОЛОД,,,,ОП,,,,,,,,,,,,,,,
   37.,"Владивосток ООО ""Порт","1, 7",-,Японское море,,,,,,,,,,,,,,,,
,"Вера""",,,,ОП,,,,,,,,,,,,,,,
   38.,Владивосток ООО Нико-Ойл,§ 1,-,Японское море,,,,,,,,,,,,,,,,
,ДВ,,,,ОП,,,,,,,,,,,,,,,
   39.,Владивосток ФГУП ДС в,"§ 1, 7",-,Японское море,,,,,,,,,,,,,,,,
