Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
АЛФАВИТНЫЙ СПИСОК ЖЕЛЕЗНОДОРОЖНЫХ СТАНЦИЙ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Алфавитный список МОРСКИХ портов, производящих ПЕРЕВАЛКУ грузов с железных дорог на морской транспорт и обратно",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
№ п/п,Порт,Параграфы,Пароходство,ж.д. Станция,Дорога,Расстояния до ТП,,,,,,,,,,,,,,
    1.,Актау,"§ 1, 7",Каспийское,663306  Мангистау,68  Кзх,,,,,,,,,,,,,,,
    2.,Актау Северный Терминал,"§ 1, 7",Каспийское,663306  Мангистау,68  Кзх,,,,,,,,,,,,,,,
    3.,"АО ""Дальневосточный",1,,982009  Океанская,96  Д-Вост (Р),"Владивосток (980003) - 22 км, Надеждинская (986508) - 22 км",,,,,,,,,,,,,,
,"коммерческий холодильник""",,,,,,,,,,,,,,,,,,,
    4.,"АО ""Международный морской","1, 7",-,987905  Блюхер,96  Д-Вост (Р),"Хасан (эксп.) (987106) - 127 км, Барановский (988402) - 138 км",,,,,,,,,,,,,,
,"перегрузочный терминал""",,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,,,,,,,,,,
    5.,Аральск,§ 3,Среднеазиатское,670309  Арал Тенизи,68  Кзх,"Сексеул (670102) - 52 км, Арыс 1 (698004) - 843 км",,,,,,,,,,,,,,
    6.,Архангельск,"§ 1, 7",,290305  Бакарица,28  Сев (Р),"Архангельск-Город (290507) - 10 км, Обозерская (295002) - 123 км",,,,,,,,,,,,,,
    7.,Архангельск,"§ 1, 7",,290403  Архангельск,28  Сев (Р),"Архангельск-Город (290507) - 16 км, Обозерская (295002) - 129 км",,,,,,,,,,,,,,
    8.,Архангельск,"§ 1, 7",,290507  Архангельск-Город,28  Сев (Р),,,,,,,,,,,,,,,
    9.,Архангельск ЗАО,"§ 1, 7",,291707  Соломбалка,28  Сев (Р),Архангельск-Город (290507) - 11 км,,,,,,,,,,,,,,
,Арктик-Консалтинг-Сервис,,,,,,,,,,,,,,,,,,,
   10.,Астрахань,"§ 1, 7",,616803  Астрахань I,61  Прив (Р),"Кизилюрт (542807) - 430 км, Аксарайская (617505) - 49 км",,,,,,,,,,,,,,
   11.,Баку,"§ 1, 7",Каспийское,547302  Баку-Торговая,55  Азерб,Алят (548502) - 10 км,,,,,,,,,,,,,,
,,,, Пристань,,,,,,,,,,,,,,,,
   12.,Балтийск,"§ 1, 7",,103404  Балтийск,10  Клг (Р),Калининград-Сортировочный (100001) - 47 км,,,,,,,,,,,,,,
   13.,Батуми,"§ 1, 7",Грузинское,571509  Батуми,57  Грз,,,,,,,,,,,,,,,
   14.,Беккери,§ 1,,082000  Юлемисте,08  Эст,,,,,,,,,,,,,,,
   15.,Белгород-Днестровский,§ 1,ГАМРТУ,403206  Белгород-,40  Од (У),,,,,,,,,,,,,,,
,,,,Днестровский,,,,,,,,,,,,,,,,
   16.,Беломорск,"§ 2, 4, 7",,013000  Беломорск,01  Окт (Р),,,,,,,,,,,,,,,
   17.,Бердянск,"§ 1, 7",ГАМРТУ,478102  Бердянск,45  Придн (У),,,,,,,,,,,,,,,
   18.,Большой порт С-ПЕТЕРБУРГ,§ 1,-,035508  Автово,01  Окт (Р),Санкт-Петербургский узел (000023) - 0 км,,,,,,,,,,,,,,
,ООО Газпромнефть Терминал СПб,,,,,,,,,,,,,,,,,,,
   19.,Большой порт,§ 1,,035809  Новый Порт,01  Окт (Р),Санкт-Петербургский узел (000023) - 0 км,,,,,,,,,,,,,,
,"Санкт-Петербург ООО ""ЛАТМЕТ""",,,,,,,,,,,,,,,,,,,
   20.,Бугаз,§ 3,Черноморское,401401  Бугаз,40  Од (У),,,,,,,,,,,,,,,
   21.,Ванино,"§ 1, 7",,967600  Ванино,96  Д-Вост (Р),,,,,,,,,,,,,,,
   22.,Ванино АО,1,,967305  Дюанка,96  Д-Вост (Р),"Комсомольск-Сортировочный (960007) - 432 км, Ванино (967600) - 21 км",,,,,,,,,,,,,,
,"""ВаниноТрансУголь""",,,,,,,,,,,,,,,,,,,
,,нет,,,,,,,,,,,,,,,,,,
   23.,Вентспилсский свободный,"§ 1, 7",Латвийское,098206  Вентспилс,09  Лат,,,,,,,,,,,,,,,
,порт,,,,,,,,,,,,,,,,,,,
   24.,Владивосток,"§ 1, 7",,980003  Владивосток,96  Д-Вост (Р),,,,,,,,,,,,,,,
   25.,Владивосток ОАО,"§ 1, 7",,980003  Владивосток,96  Д-Вост (Р),,,,,,,,,,,,,,,
,Владивостокский морской торговый порт,,,,,,,,,,,,,,,,,,,
   26.,Владивосток ОАО,"§ 1, 7",-,980802  Мыс-Чуркин,96  Д-Вост (Р),Владивосток (980003) - 9 км,,,,,,,,,,,,,,
,ДАЛЬКОМХОЛОД,,,,,,,,,,,,,,,,,,,
   27.,Владивосток ОАО,"§ 1, 7",-,982206  Угловая,96  Д-Вост (Р),,,,,,,,,,,,,,,
,ДАЛЬКОМХОЛОД,,,,,,,,,,,,,,,,,,,
   28.,"Владивосток ООО ""Порт","1, 7",,983209  Стрелковая,96  Д-Вост (Р),"Угловая (982206) - 77 км, Находка (984502) - 163 км",,,,,,,,,,,,,,
,"Вера""",,,,,,,,,,,,,,,,,,,
   29.,Владивосток ООО Нико-Ойл,§ 1,,980605  Гайдамак,96  Д-Вост (Р),Владивосток (980003) - 5 км,,,,,,,,,,,,,,
,ДВ,,,,,,,,,,,,,,,,,,,
   30.,Владивосток ФГУП ДС в,"§ 1, 7",-,980802  Мыс-Чуркин,96  Д-Вост (Р),Владивосток (980003) - 9 км,,,,,,,,,,,,,,
,Дальневосточном федеральном округе,,,,,,,,,,,,,,,,,,,
   31.,Владивостокский морской,"§ 1, 7",,980605  Гайдамак,96  Д-Вост (Р),Владивосток (980003) - 5 км,,,,,,,,,,,,,,
,порт Гайдамак,,,,,,,,,,,,,,,,,,,
   32.,Владивостокский морской,"§ 1, 7",,980802  Мыс-Чуркин,96  Д-Вост (Р),Владивосток (980003) - 9 км,,,,,,,,,,,,,,
,рыбный порт,,,,,,,,,,,,,,,,,,,
