Четверг 25 сен.2025г.  17:59,,,,,
,,,,,
АЛФАВИТНЫЙ СПИСОК ЖЕЛЕЗНОДОРОЖНЫХ СТАНЦИЙ,,,,,
,,,,,
"АЛФАВИТНЫЙ СПИСОК РАЗДЕЛЬНЫХ ПУНКТОВ (станций, разъездов, постов, блокпостов и обгонных пунктов)",,,,,
№ п/п,Наименование пункта,Операции,Дорога,Транзитные пукты и расстояния до них,Код станции
    1., Жалгызтал,О,68 Кзх,680000 Есиль - 255км,681709
    2.,1 Мая,О,40 Од (У),"405703 Раздельная-Сортировочная - 74км, 406802 Подольск - 36км",406513
    3.,Абагур-Лесной,Б 3,83 З-Сиб (Р),"860206 Новокузнецк-Восточный - 4км, 864601 Томусинская - 24км",864300
    4.,Абагуровский (рзд),О,83 З-Сиб (Р),860206 Новокузнецк-Восточный - 3км,865065
    5.,Абадан (рзд),Х,73 Узбк,"736808 Каракалпакстан (эксп.) - 197км, 737800 Найманкуль (эксп.) - 234км",744804
    6.,Абадзехская,П 1,51 С-Кав (Р),"530208 Армавир-Ростовский - 159км, 533403 Туапсе-Сортировочная - 177км",535004
    7.,Абаевский,Б,76 Сверд (Р),790408 Войновка - 97км,795736
    8.,Абаза,"П 1,3",88 Крас (Р),"864601 Томусинская - 323км, 887675 Тигей - 144км",887500
    9.,Абазинка,О 3,51 С-Кав (Р),"530208 Армавир-Ростовский - 136км, 537601 Прохладная - 267км",531107
   10.,Абазовка,"О 3,11н,12н",43 Южн (У),"427308 Ромодан - 99км, 448709 Полтава-Южная - 32км",447602
   11.,Абаил,Х,68 Кзх,"698606 Шымкент - 114км, 706304 Тараз - 104км",699767
   12.,Абай,О,68 Кзх,"676700 Кызылжар - 616км, 670102 Сексеул - 96км",672907
   13.,Абакан,"П 1,2,3,4,8,8н,",88 Крас (Р),"887675 Тигей - 24км, 889100 Саянская - 398км",888004
,,"10,10н,11,11н,12,12н",,,
   14.,Абакан (перев.),,88 Крас (Р),"887675 Тигей - 24км, 889100 Саянская - 398км",888108
   15.,Абаклия,П 3,39 Млд,"397009 Прут II (эксп.) - 100км, 399606 Етулия (эксп.) - 117км",398904
   16.,Абакумовка (рзд),О 3,88 Крас (Р),"889100 Саянская - 109км, 920002 Тайшет - 140км",889401
   17.,Абалаково,О 3,88 Крас (Р),880002 Ачинск I - 252км,882309
   18.,Абамеликово,О,40 Од (У),"407906 Слободка - 12км, 408307 Рудница - 42км",408006
   19.,Абаша,Б,57 Грз,"570008 Самтредиа - 14км, 571903 Сенаки - 14км",571706
   20.,Абганерово,"Б 1,3",61 Прив (Р),"519105 Куберле - 211км, 611405 Волгоград II - 83км",612408
   21.,Абдулино,"Б 1,3,4",63 Кбш (Р),"651506 Чишмы - 202км, 657305 Кинель - 233км",659902
   22.,Абинская,"П 1,3,4,8н,10н,",51 С-Кав (Р),"521603 Крымская - 12км, 524404 Краснодар I - 74км",523505
,,"11н,12н",,,
   23.,Аблык,"О 1,3,4,6,8,8н,",73 Узбк,"722400 Ташкент - 115км, 725803 Хаваст - 252км",722701
,,"9,10,10н",,,
   24.,Абовян,"О 1,3,9",56 Ю-Кав,"567400 Масис - 65км, 567804 Ереван - 79км",568101
   25.,Абрамовка,"П 1,3",58 Ю-Вост (Р),"582005 Лиски - 121км, 584405 Поворино - 104км",583600
   26.,Абросово,Б,01 Окт (Р),"043203 Кабожа - 27км, 051106 Сонково - 173км",043010
   27.,Аван,О,96 Д-Вост (Р),"970406 Хабаровск I - 138км, 974801 Сибирцево - 448км",972064
   28.,Аваха (рзд),О,96 Д-Вост (Р),960007 Комсомольск-Сортировочный - 431км,918337
   29.,Августовский,О 3,43 Южн (У),"326003 Бахмач-Пассажирский - 58км, 429002 Прилуки - 25км",429106
   30.,Авда (рзд),О,88 Крас (Р),"889100 Саянская - 26км, 892705 Уяр - 30км",889149
   31.,Авдеевка,"Б 1,3,8н,10н,",48 Дон (У),ТП,482803
,,11н,,,
   32.,Авдеевка,"Б 1,3,8н,10н,",89 89-я дорога,ТП,898701
,,11н,,,
   33.,Аверьяновка,О,88 Крас (Р),"875907 Анжерская - 156км, 880002 Ачинск I - 162км",880356
   34.,Авиационная,О 3,17 Моск (Р),"192605 Михнево - 43км, 193400 Коломенское - 33км",193006
   35.,Авилово,О,61 Прив (Р),"605300 Балашов I - 243км, 621801 Петров Вал - 7км",622522
   36.,Авламыш,"П 1,3",75 Трк,"752800 Ашгабат - 476км, 754609 Туркменбаши I (эксп.) - 476км, 758101 Дашогуз - 1019км",754905
   37.,Авсюнино,"О 2,3",17 Моск (Р),"231805 Куровская - 12км, 242912 Нечаевская - 97км",231903
   38.,Автово,"3,8н,10н,11н,",01 Окт (Р),000023 Санкт-Петербургский узел - 0км,035508
,,12н,,,
   39.,Автово (перев.),,01 Окт (Р),000023 Санкт-Петербургский узел - 0км,035404
   40.,Автово (эксп.),,01 Окт (Р),000023 Санкт-Петербургский узел - 0км,035601
   41.,Авчала,"1,3,8н",57 Грз,"560101 Тбилиси-Узловая - 16км, 577204 Хашури - 110км",560307
   42.,Авчала (эксп.),,57 Грз,"560101 Тбилиси-Узловая - 16км, 577204 Хашури - 110км",560330
