Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,
,,,,,,,,,,,,
АЛФАВИТНЫЙ СПИСОК ЖЕЛЕЗНОДОРОЖНЫХ СТАНЦИЙ,,,,,,,,,,,,
,,,,,,,,,,,,
Список РЕГИОНОВ железных дорог,,,,,,,,,,,,
,,,,,,,,,,,,
1. КУЗБАССКИЙ РЕГИОН (Россия),,,,,,,,,,,,
,,,,,,,,,,,,
№ п/п,Станция,,,,,,,,,,,
    1.,864300 Абагур-Лесной,,,,,,,,,,,
    2.,875907 Анжерская,,,,,,,,,,,
    3.,870706 Арлюк,,,,,,,,,,,
    4.,862701 Артышта II,,,,,,,,,,,
    5.,875108 Асино,,,,,,,,,,,
    6.,865708 Ахпун,,,,,,,,,,,
    7.,872608 Байкаим,,,,,,,,,,,
    8.,875409 Балагачево,,,,,,,,,,,
    9.,863100 Бардино,,,,,,,,,,,
   10.,872006 Барзас,,,,,,,,,,,
   11.,862305 Белово,,,,,,,,,,,
   12.,875803 Белый Яр,,,,,,,,,,,
   13.,876401 Берикульская,,,,,,,,,,,
   14.,871906 Бирюлинская,,,,,,,,,,,
   15.,873808 Богашево,,,,,,,,,,,
   16.,862606 Бочаты,,,,,,,,,,,
   17.,876100 Водоканальная,,,,,,,,,,,
   18.,862502 Гурьевск,,,,,,,,,,,
   19.,861302 Егозово,,,,,,,,,,,
   20.,863007 Ерунаково,,,,,,,,,,,
   21.,871802 Забойщик,,,,,,,,,,,
   22.,864002 Зеньково,,,,,,,,,,,
   23.,876308 Ижморская,,,,,,,,,,,
   24.,874904 Итатка,,,,,,,,,,,
   25.,871200 Ишаново,,,,,,,,,,,
   26.,865801 Каз,,,,,,,,,,,
   27.,872102 Кайгур,,,,,,,,,,,
   28.,866005 Калары,,,,,,,,,,,
   29.,865106 Калтан,,,,,,,,,,,
   30.,870000 Кемерово-Сортировочное,,,,,,,,,,,
   31.,870104 Кемерово,,,,,,,,,,,
   32.,864809 Кийзак,,,,,,,,,,,
   33.,866109 Кондома,,,,,,,,,,,
   34.,874603 Копылово,,,,,,,,,,,
   35.,863505 Красный Камень,,,,,,,,,,,
   36.,875201 Куендат,,,,,,,,,,,
   37.,863308 Курегеш,,,,,,,,,,,
   38.,871709 Латыши,,,,,,,,,,,
   39.,872504 Ленинск-Кузнецкий I,,,,,,,,,,,
   40.,872701 Ленинск-Кузнецкий II,,,,,,,,,,,
   41.,873009 Литвиново,,,,,,,,,,,
   42.,865208 Малиновка,,,,,,,,,,,
   43.,864902 Междуреченск,,,,,,,,,,,
   44.,862201 Мереть,,,,,,,,,,,
   45.,865407 Мундыбаш,,,,,,,,,,,
   46.,864705 Мыски,,,,,,,,,,,
   47.,860206 Новокузнецк-Восточный,,,,,,,,,,,
   48.,864207 Новокузнецк-Северный,,,,,,,,,,,
   49.,860009 Новокузнецк-Сортировочный,,,,,,,,,,,
   50.,860102 Новокузнецк,,,,,,,,,,,
   51.,864103 Обнорская,,,,,,,,,,,
   52.,865002 Осинники,,,,,,,,,,,
   53.,872307 Плотниково,,,,,,,,,,,
   54.,863204 Полосухино,,,,,,,,,,,
   55.,871408 Правотомск,,,,,,,,,,,
   56.,871304 Предкомбинат,,,,,,,,,,,
   57.,871501 Притомье,,,,,,,,,,,
   58.,861406 Проектная,,,,,,,,,,,
   59.,863907 Прокопьевск,,,,,,,,,,,
   60.,861209 Промышленная,,,,,,,,,,,
   61.,862409 Разрез,,,,,,,,,,,
   62.,875606 Сайга,,,,,,,,,,,
   63.,875709 Санджик,,,,,,,,,,,
   64.,865604 Сарбала,,,,,,,,,,,
   65.,875305 Сахалинка,,,,,,,,,,,
   66.,863702 Спиченково,,,,,,,,,,,
   67.,876007 Судженка,,,,,,,,,,,
   68.,873308 Тайга,,,,,,,,,,,
   69.,864404 Тальжино,,,,,,,,,,,
   70.,866403 Таштагол,,,,,,,,,,,
   71.,862108 Терентьевская,,,,,,,,,,,
   72.,873901 Томск I,,,,,,,,,,,
   73.,874001 Томск II,,,,,,,,,,,
   74.,874302 Томск-Грузовой,,,,,,,,,,,
   75.,864601 Томусинская,,,,,,,,,,,
   76.,871107 Топки,,,,,,,,,,,
   77.,863401 Трудармейская,,,,,,,,,,,
   78.,872909 Тутальская,,,,,,,,,,,
   79.,862803 Тырган,,,,,,,,,,,
   80.,862907 Углерод,,,,,,,,,,,
   81.,875502 Улу-Юл,,,,,,,,,,,
   82.,863806 Черкасов Камень,,,,,,,,,,,
   83.,866306 Шерегеш,,,,,,,,,,,
   84.,870801 Шишино,,,,,,,,,,,
   85.,870405 Юрга I,,,,,,,,,,,
   86.,873206 Яшкино,,,,,,,,,,,
   87.,876204 Яя,,,,,,,,,,,
_____________________________________________________________________________________________,,,,,,,,,,,,
