Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ (в км) МЕЖДУ ТРАНЗИТНЫМИ ПУНКТАМИ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Россия (часть 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Конечный пункт маршрута,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Авдеевка (89 89-я до),Агрыз (24 Горьк),Азов (51 С-Кав),Айвазовская (85 Крым),Акбаш (63 Кбш),Аксарайская (61 Прив),Алапаевск (76 Сверд),Александров (17 Моск),Алтайская (83 З-Сиб),Анжерская (83 З-Сиб),Аппаратная (76 Сверд),Арбузово (17 Моск),Арзамас II (24 Горьк),Армавир-Ростовский (51 С-Кав),Артышта I (83 З-Сиб),Артышта II (83 З-Сиб),Архангельск-Город (28 Сев),Аршинцево (85 Крым),Аткарск (61 Прив),Ачинск I (88 Крас),Багратионовск (эксп.) (10 Клг),Балашов I (58 Ю-Вост),Балашов-Пассажирский (58 Ю-Вост),Бамовская (94 Заб),Барановский (96 Д-Вост),Барнаул (83 З-Сиб),Батайск (51 С-Кав),Батецкая (01 Окт),Безымянка (63 Кбш),Бекасово I (17 Моск),Белгород (58 Ю-Вост),Белогорск (94 Заб),Беломорск (01 Окт),Белоостров (01 Окт),Бельково (17 Моск),Бердянск (82 82-я до),Бердяуш (80 Ю-Ур),Бескудниково (17 Моск),Благовещенск (94 Заб),Богданович (76 Сверд),Богоявленск (58 Ю-Вост),Бологое-Московское (01 Окт),Борзя (94 Заб),Брянск-Льговский (17 Моск),Брянск-Орловский (17 Моск),Буй (28 Сев),Бусловская (эксп.) (01 Окт),Валуйки (58 Ю-Вост),Ванино (96 Д-Вост),Веймарн (01 Окт),Великие Луки (01 Окт),Великий Новгород (01 Окт),Венгеровка (84 84-я до),Вернадовка (63 Кбш),Верхний Баскунчак (61 Прив),Верхний Токмак I (82 82-я до),Верхний Токмак II (82 82-я до),Верховье (17 Моск),Веселое (эксп.) (51 С-Кав),Владивосток (96 Д-Вост),Владимир (24 Горьк),Владиславовка (85 Крым),Воздвиженский (96 Д-Вост),Войновка (76 Сверд),Волгоград II (61 Прив),Волноваха (89 89-я до),Волово (17 Моск),Вологда I (28 Сев),Волочаевка I (96 Д-Вост),Волочаевка II (96 Д-Вост),Волховстрой I (01 Окт),Волховстрой II (01 Окт),Воскресенск (17 Моск),Выборг (01 Окт),Выстрел (рзд) (эксп.) (58 Ю-Вост),Вязьма (17 Моск),Вязьма-Брянская (17 Моск),Вяртсиля (эксп.) (01 Окт),Галич (28 Сев),Гатчина-Варшавская (01 Окт),Гатчина-Товарная-Балтийская (01 Окт),Глушково (эксп.) (17 Моск),Горбачево (17 Моск),Горловка (89 89-я до),Горная (51 С-Кав),Гороблагодатская (76 Сверд),Горы (01 Окт),Готня (58 Ю-Вост),Гродеково (эксп. ЗЧ) (96 Д-Вост),Грязи-Воронежские (58 Ю-Вост),Гудермес (51 С-Кав),Гуково (эксп.) (51 С-Кав),Гумрак (61 Прив),Данилов (28 Сев),Дебальцево-Сортировочное (89 89-я до),Дежневка (96 Д-Вост),Дема (63 Кбш),Дербент (51 С-Кав),Дербышки (24 Горьк),Джанкой (85 Крым),Дмитров (17 Моск),Дно (01 Окт),Должанская (84 84-я до),Донецк (89 89-я до),Дружинино (76 Сверд),Дубининский (96 Д-Вост),Духовская (17 Моск),Евпатория-Товарная (85 Крым),Егоршино (76 Сверд),Ейск (51 С-Кав),Екатеринбург-Сортировочный (76 Сверд),Елец (58 Ю-Вост),Еманжелинск (80 Ю-Ур),Ермолино (28 Сев),Ершов (61 Прив),Железнодорожный (эксп.) (10 Клг),Жигулевское Море (63 Кбш),Жилево (17 Моск),Забайкальск (эксп. КЖД) (94 Заб),Завережье (эксп.) (01 Окт),Закордонный (рзд) (эксп.) (51 С-Кав),Замчалово (51 С-Кав),Заневский Пост (01 Окт),Занозная (17 Моск),Заудинский (92 В-Сиб),Зауралье (эксп.) (80 Ю-Ур),Звезда (63 Кбш),Злынка (эксп.) (17 Моск),Золотая Сопка (эксп.) (80 Ю-Ур),Ивангород-Нарвский (эксп.) (01 Окт),Иваново-Сортировочное (28 Сев),Ивдель II (пп) (76 Сверд),Известковая (96 Д-Вост),Икша (17 Моск),Иловайск (89 89-я до),Иловля I (61 Прив),Им. Максима Горького (61 Прив),Инза (63 Кбш),Инкерман I (85 Крым),Инская (83 З-Сиб),Иркутск-Пассажирский (92 В-Сиб),Ирса (01 Окт),Иртышское (83 З-Сиб),Кабожа (01 Окт),Кавказская (51 С-Кав),Казань (24 Горьк),Калининград-Сортировочный (10 Клг),Калино (76 Сверд),Кама (24 Горьк),Каменск-Уральский (76 Сверд),Камыш-Заря (82 82-я до),Камышовая Бухта (85 Крым),Канаш (24 Горьк),Кандалакша (01 Окт),Канисай (рзд) (эксп.) (80 Ю-Ур),Карбышево I (83 З-Сиб),Карламан (63 Кбш),Карталы I (80 Ю-Ур),Карталы I (эксп.) (80 Ю-Ур),Карымская (94 Заб),Карьер 122 км (рзд) (эксп.) (51 С-Кав),Касторная-Курская (58 Ю-Вост),Квашино (стык) (89 89-я до),Керченский Завод (85 Крым),Керчь (85 Крым),Керчь-Порт (85 Крым),Керчь-Южная (85 Крым),Керчь-Южная-Паром (85 Крым),Кивиярви (эксп.) (01 Окт),Кигаш (эксп.) (61 Прив),Кизилюрт (51 С-Кав),Кизитеринка (51 С-Кав),Кизляр (51 С-Кав),Кинель (63 Кбш),Киров (24 Горьк),Климов (эксп.) (17 Моск),Ковров I (24 Горьк),Козачок (бп) (эксп.) (58 Ю-Вост),Коломенское (17 Моск),Комсомольск-Сортировочный (96 Д-Вост),Кондрашевская-Новая (84 84-я до),Коноша I (28 Сев),Константиновка (89 89-я до),Корсаков (96 Д-Вост),Котельнич I (24 Горьк),Котлас-Узловой (28 Сев),Кочетовка I (58 Ю-Вост),Краматорск (89 89-я до),Красная Могила (стык) (84 84-я до),Красногвардеец II (80 Ю-Ур),Краснодар I (51 С-Кав),Красное (эксп.) (17 Моск),Красный Кут (61 Прив),Красный Лиман (89 89-я до),Красный Узел (24 Горьк),Красный Хутор (эксп.) (58 Ю-Вост),Криничная (89 89-я до),Крым-Паром (85 Крым),Крымская (51 С-Кав),Куберле (51 С-Кав),Кубинка I (17 Моск),Кузино (76 Сверд),Кулунда (эксп.) (83 З-Сиб),Курган (80 Ю-Ур),Куровская (17 Моск),Курск (17 Моск),Кусково (17 Моск),Кустаревка (17 Моск),Ланская (01 Окт),Лантрановка (стык) (84 84-я до),Ларино (89 89-я до),Лев Толстой (58 Ю-Вост),Левшино (76 Сверд),Лена (92 В-Сиб),Лигово (01 Окт),Лиски (58 Ю-Вост),Лихая (51 С-Кав),Лихославль (01 Окт),Лодейное Поле (01 Окт),Локоть (эксп. на Рубцовск) (83 З-Сиб),Лосиноостровская (17 Моск),Луга I (01 Окт),Луганск (84 84-я до),Льгов-Киевский (17 Моск),Люберцы I (17 Моск),Люблино-Сортировочное (17 Моск),Лянгасово (24 Горьк),Мамоново (эксп.) (10 Клг),Манихино I (17 Моск),Манихино II (17 Моск),Мариуполь-Порт (89 89-я до),Мармыжи (17 Моск),Марцево (51 С-Кав),Матанцы (24 Горьк),Махачкала (51 С-Кав),Мга (01 Окт),Мекензиевы Горы (85 Крым),Микунь (28 Сев),Миллерово (51 С-Кав),Михнево (17 Моск),Морозовская (51 С-Кав),Москва-Бутырская (17 Моск),Москва-Пассажирская-Киевская (17 Моск),Москва-Пассажирская-Курская (17 Моск),Москва-Пассажирская-Ярославская (17 Моск),Москва-Рижская (17 Моск),Москва-Сортировочная-Киевская (17 Моск),Москва-Товарная (01 Окт),Москва-Товарная-Курская (17 Моск),Москва-Товарная-Смоленская (17 Моск),Московский узел (17 Моск),Муратовка (17 Моск),Мурманск (01 Окт),Муром I (24 Горьк)
№ п/п,Начальный пункт маршрута,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254
1,Авдеевка (89 89-я до),0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,53,,,,,,,,,,,81,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,,,,,,,,,,,,,,,,,,,,65,,,,,95,,,,,,136,,,27,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,
2,Агрыз (24 Горьк),,0,1977,,301,1622,742,1106,2265,2356,576,1664,676,2091,2440,2443,1607,,1059,2674,,1134,1128,6038,7965,2280,1947,1811,836,1193,1772,6630,1827,1703,1087,,739,1130,6739,670,1315,1479,5304,1510,1518,934,1829,1603,7587,1786,1692,1725,,1078,1425,,,1546,2441,8054,969,,7939,905,1432,,1305,1064,7239,7248,1542,1539,1038,1801,1631,1399,1406,1926,883,1711,1712,1768,1351,,1850,714,1620,1812,8039,1350,2166,1819,1406,1027,,7250,573,2288,287,,1196,1736,,,486,7924,1558,,683,2109,561,1443,865,1037,1102,,797,1101,5423,1768,1890,1801,1653,1461,4412,1046,774,1736,954,1823,1017,1044,6999,1216,,1335,1424,700,,2106,3948,1605,1629,1462,2025,304,,515,84,671,,,421,2210,1049,1464,622,1074,1111,5057,1812,1561,,,,,,,2352,1627,2101,1934,2019,866,438,1755,910,1863,1130,7134,,1180,,7892,514,817,1282,,,1014,2099,1646,1119,,662,1812,,,2185,1726,1219,639,1985,932,999,1612,1107,922,1677,,,1374,416,3998,1677,1440,1790,1410,1657,2586,1130,1804,,1690,1066,1130,441,,1267,1264,,1604,2024,454,2159,1614,,1049,1737,1101,1640,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1304,2482,799
3,Азов (51 С-Кав),,1977,0,,1786,979,2719,1303,4022,4113,2553,1055,1519,327,4197,4200,2325,,1072,4431,,885,891,7795,9722,4037,30,2027,1435,1312,1030,8387,2545,2051,1284,,2216,1290,8496,2631,880,1692,7061,1209,1217,1641,2177,742,9344,2134,1811,1967,,1377,782,,,995,677,9811,1325,,9696,2866,564,,1030,1687,8996,9005,2002,2005,1157,2149,770,1518,1525,2340,1692,2059,2060,1079,1184,,127,2691,2007,1103,9796,777,793,194,571,1548,,9007,1937,1045,1690,,1393,1949,,,2463,9681,1489,,2660,192,2538,892,2432,1486,1160,,1396,1204,7180,1887,167,176,2025,1404,6169,2800,1373,1435,2510,2171,1466,3021,8756,1413,,642,553,1412,,3863,5705,1939,3386,1857,261,1684,,2492,2061,2589,,,1598,2928,1857,3221,1986,2380,2417,6814,357,772,,,,,,,2816,984,858,43,940,1465,2032,1454,1389,1154,1284,8891,,1898,,9649,1945,2261,845,,,1551,306,1543,1088,,1357,1070,,,353,297,1338,2616,3742,2686,1196,923,1290,1283,2025,,,939,2393,5755,2025,579,187,1570,2123,4343,1290,2063,,1001,1226,1290,2018,,1386,1383,,815,110,2034,916,2001,,2493,282,1220,337,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1421,3200,1396
4,Айвазовская (85 Крым),,,,0,,,,,,,,,,,,,,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,,,,,,,,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280,,,,,,,,,,,,,303,,,,,,,,,,,,110,104,109,115,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265,,,,,,,,,,,,,,,,,
5,Акбаш (63 Кбш),,301,1786,,0,1431,1043,1278,2357,2448,877,1735,858,1900,2532,2535,1908,,868,2766,,1025,1019,6130,8057,2372,1756,2002,645,1287,1710,6722,2128,2004,1259,,551,1265,6831,966,1208,1667,5396,1604,1612,1235,2130,1494,7679,2087,1786,1942,,969,1234,,,1459,2250,8146,1151,,8031,1201,1241,,1323,1365,7331,7340,1843,1840,1132,2102,1522,1493,1500,2227,1184,2012,2013,1759,1397,,1659,1015,1921,1783,8131,1241,1975,1628,1215,1328,,7342,272,2097,588,,1368,1924,,,787,8016,1652,,984,1918,862,1356,767,1219,911,,606,1179,5515,1862,1699,1610,1954,1555,4504,1135,583,1830,856,2124,1199,1345,7091,1388,,1144,1233,509,,2198,4040,1906,1721,1725,1834,594,,816,385,924,,,634,2511,748,1556,321,773,810,5149,1703,1452,,,,,,,2653,1436,1910,1743,1828,670,739,1849,1092,1834,1259,7226,,1481,,7984,815,1118,1173,,,818,1908,1740,928,,676,1750,,,1994,1535,1313,940,2077,1021,1171,1603,1265,824,1978,,,1267,717,4090,1978,1331,1599,1545,1958,2678,1265,2038,,1681,1201,1265,742,,1361,1358,,1495,1833,755,1968,1915,,1350,1628,1195,1449,1265,1265,1265,1265,1265,1265,1265,1265,1265,1265,1398,2783,981
6,Аксарайская (61 Прив),,1622,979,,1431,0,2364,1517,3667,3758,2198,1455,1358,1010,3842,3845,2539,,717,4076,,835,841,7440,9367,3682,949,2241,1080,1526,1430,8032,2759,2265,1498,,1861,1504,8141,2276,1094,1906,6706,1434,1442,1855,2391,1142,8989,2348,2025,2181,,1196,197,,,1209,1360,9456,1539,,9341,2511,415,,1244,1901,8641,8650,2216,2219,1371,2363,1170,1732,1739,2554,1906,2273,2274,1479,1408,,852,2336,2221,1503,9441,991,544,821,409,1762,,8652,1582,666,1335,,1607,2163,,,2108,9326,1714,,2305,1111,2183,1106,2068,1700,629,,1041,1418,6825,2101,892,803,2239,1629,5814,2445,1018,1660,1979,2385,1680,2666,8401,1627,,480,426,1129,,3508,5350,2153,3031,2071,1008,1329,,2137,1706,2234,,,1369,3142,1326,2866,1599,1849,1886,6459,962,1172,,,,,,,3030,5,479,936,397,1110,1935,1679,1592,1554,1498,8536,,2112,,9294,1848,2300,1059,,,1020,1082,1768,503,,1176,1470,,,1168,709,1552,2261,3387,2331,1410,1323,1504,1324,2239,,,1153,2038,5400,2239,979,792,1784,2337,3988,1504,2277,,1401,1440,1504,1921,,1600,1597,,1215,1026,1937,537,2215,,2532,887,1434,642,1504,1504,1504,1504,1504,1504,1504,1504,1504,1504,1637,3414,1481
7,Алапаевск (76 Сверд),,742,2719,,1043,2364,0,1793,1724,1815,166,2406,1418,2833,1899,1902,2128,,1801,2133,,1876,1870,5497,7424,1739,2689,2332,1290,1935,2514,6089,2348,2224,1812,,509,1872,6198,129,2057,2000,4763,2252,2260,1455,2350,2345,7046,2307,2310,2246,,1820,2167,,,2288,3183,7513,1655,,7398,364,2174,,2047,1585,6698,6707,2063,2060,1780,2322,2373,2141,2148,2447,1404,2232,2233,2510,2093,,2592,165,2141,2554,7498,2092,2908,2561,2148,1548,,6709,788,3030,1029,,1883,2257,,,256,7383,2300,,59,2851,181,2185,374,1643,1799,,1375,1843,4882,2386,2632,2543,2174,2203,3871,546,1352,2478,463,2344,1663,373,6458,1903,,2077,2166,1442,,1565,3407,2126,1088,1983,2767,1046,,364,658,171,,,1163,2731,1264,923,837,593,630,4516,2554,2303,,,,,,,2873,2369,2843,2676,2761,1260,959,2497,1591,2605,1872,6593,,1701,,7351,1035,1338,2024,,,1408,2841,2388,1861,,1404,2554,,,2927,2468,1961,259,1444,432,1741,2354,1836,1664,2198,,,2116,463,3457,2198,2182,2532,2097,2178,2045,1872,2325,,2432,1808,1872,962,,1963,1960,,2346,2766,975,2901,2135,,1570,2479,1843,2382,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,2046,3003,1541
