Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ (в км) МЕЖДУ ТРАНЗИТНЫМИ ПУНКТАМИ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Россия (часть 2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Конечный пункт маршрута,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Муром I (24 Горьк),Мшанка (17 Моск),Навля (17 Моск),Надеждинская (96 Д-Вост),Наушки (эксп. КЖД) (92 В-Сиб),Находка (96 Д-Вост),Неболчи (01 Окт),Нева (01 Окт),Невель I (01 Окт),Невель II (01 Окт),Нежеголь (эксп.) (58 Ю-Вост),Нерехта (28 Сев),Нестеров (эксп.) (10 Клг),Нечаевская (24 Горьк),Нижний Новгород-Сортировочный (24 Горьк),Никель (80 Ю-Ур),Никитовка (89 89-я до),Новки I (24 Горьк),Новокузнецк-Восточный (83 З-Сиб),Новомосковская II (17 Моск),Новообразцовое (63 Кбш),Новороссийск (51 С-Кав),Новосибирск-Главный (83 З-Сиб),Новосокольники (01 Окт),Новый Ургал (96 Д-Вост),Няр (76 Сверд),Обозерская (28 Сев),Обухово (01 Окт),Обь (83 З-Сиб),Ожерелье (17 Моск),Озинки (эксп.) (61 Прив),Окатово (24 Горьк),Окская (24 Горьк),Окуловка (01 Окт),Ольховая (эксп.)(стык) (84 84-я до),Орел (17 Моск),Оренбург (80 Ю-Ур),Орехово-Зуево (17 Моск),Орск-Новый Город (эксп.) (80 Ю-Ур),Осолодино (обп) (83 З-Сиб),Остряково (85 Крым),Отрожка (58 Ю-Вост),Очеретино (89 89-я до),Павелец-Сызранский (рзд) (17 Моск),Павелец-Тульский (17 Моск),Павловск (01 Окт),Пенза I (63 Кбш),Пермь II (76 Сверд),Пермь-Сортировочная (76 Сверд),Перово (17 Моск),Петров Вал (61 Прив),Петрозаводск (01 Окт),Петропавловск (эксп.) (80 Ю-Ур),Печоры-Псковские (01 Окт),Пибаньшур (24 Горьк),Плеханово (17 Моск),Поварово II (17 Моск),Поворино (58 Ю-Вост),Подборовье (01 Окт),Подмосковная (17 Моск),Поздино (24 Горьк),Покровск (89 89-я до),Полетаево I (80 Ю-Ур),Пологи (82 82-я до),Понятовка (эксп.) (17 Моск),Попасная (84 84-я до),Порт Оля (61 Прив),Посадниково (01 Окт),Посинь (рзд) (эксп.) (01 Окт),Проектная (83 З-Сиб),Прохладная (51 С-Кав),Псков-Пассажирский (01 Окт),Пугачевск (61 Прив),Пут. пост 81 км (17 Моск),Пыталово (01 Окт),Разгуляевка (61 Прив),Раненбург (58 Ю-Вост),Ржев-Балтийский (01 Окт),Ржев-Белорусский (01 Окт),Ржевка (01 Окт),Родаково (84 84-я до),Рославль I (17 Моск),Ростов-Главный (51 С-Кав),Ртищево I (58 Ю-Вост),Рудня (эксп.) (17 Моск),Рузаевка (63 Кбш),Рутченково (89 89-я до),Ручьи (01 Окт),Рыбинск-Товарный (28 Сев),Рыбное (17 Моск),Ряжск I (17 Моск),Сакмарская (80 Ю-Ур),Сальск (51 С-Кав),Самара (63 Кбш),Самур (эксп.) (51 С-Кав),Санкт-Петербург-Балтийский (01 Окт),Санкт-Петербург-Сорт.-Московский (01 Окт),Санкт-Петербург-Тов.-Московский (01 Окт),Санкт-Петербург-Товарный-Витебский (01 Окт),Санкт-Петербург-Финляндский (01 Окт),Санкт-Петербургский узел (01 Окт),Сараевка (58 Ю-Вост),Саратов II-Товарный (61 Прив),Саянская (88 Крас),Светогорск (эксп.) (01 Окт),Свияжск (24 Горьк),Святогорск (89 89-я до),Северск (89 89-я до),Семейкино-Новое (84 84-я до),Сенная (61 Прив),Серов-Сортировочный (76 Сверд),Сибирцево (96 Д-Вост),Сиваш (стык) (82 82-я до),Скангали (рзд) (эксп.) (01 Окт),Славянск (89 89-я до),Смоленск (17 Моск),Смычка (76 Сверд),Соблаго (01 Окт),Советск (эксп.) (10 Клг),Сокур (83 З-Сиб),Соленое Озеро (эксп.) (85 Крым),Соловей (эксп.) (58 Ю-Вост),Соловьевск (эксп.) (94 Заб),Сонково (01 Окт),Сосногорск (28 Сев),Сосыка-Ростовская (51 С-Кав),Среднесибирская (83 З-Сиб),Староминская-Ейская (51 С-Кав),Старый Оскол (58 Ю-Вост),Столбовая (17 Моск),Ступки (89 89-я до),Суземка (эксп.) (17 Моск),Суоярви I (01 Окт),Сураж (эксп.) (17 Моск),Сухиничи (17 Моск),Сухиничи-Главные (17 Моск),Сызрань I (63 Кбш),Таврическ (82 82-я до),Таганрог (51 С-Кав),Тайга (83 З-Сиб),Тайшет (92 В-Сиб),Тамбов I (58 Ю-Вост),Татарская (83 З-Сиб),Тверь (01 Окт),Тигей (88 Крас),Тимашевская (51 С-Кав),Тихонова Пустынь (17 Моск),Тихорецкая (51 С-Кав),Томусинская (83 З-Сиб),Топки (83 З-Сиб),Торжок (01 Окт),Трофимовский I (61 Прив),Туапсе-Сортировочная (51 С-Кав),Тула I-Курская (17 Моск),Тында (96 Д-Вост),Тюмень (76 Сверд),Углегорск (89 89-я до),Угловая (96 Д-Вост),Узловая I (17 Моск),Узловая II (17 Моск),Узуново (17 Моск),Украинская (82 82-я до),Улан-Удэ (92 В-Сиб),Ульяновск-Центральный (63 Кбш),Унеча (17 Моск),Урбах (61 Прив),Успенская (эксп.) (51 С-Кав),Утяк (80 Ю-Ур),Уфа (63 Кбш),Уяр (88 Крас),Фаянсовая (17 Моск),Федоровка (82 82-я до),Феодосия (85 Крым),Хабаровск I (96 Д-Вост),Хасан (эксп.) (96 Д-Вост),Хийтола (01 Окт),Ховрино (01 Окт),Холмск (96 Д-Вост),Челябинск-Главный (80 Ю-Ур),Червленная-Узловая (51 С-Кав),Череповец I (28 Сев),Чернухино (84 84-я до),Черняховск (10 Клг),Чишмы (63 Кбш),Чудово-Московское (01 Окт),Чурилово (80 Ю-Ур),Чусовская (76 Сверд),Шарташ (76 Сверд),Шоссейная (01 Окт),Шушары (01 Окт),Электростанция (80 Ю-Ур),Юдино (24 Горьк),Юрга I (83 З-Сиб),Яганово (17 Моск),Янисъярви (01 Окт),Ярославль-Главный (28 Сев),Ясиноватая (89 89-я до)
№ п/п,Начальный пункт маршрута,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450
1,Авдеевка (89 89-я до),,,,,,,,,,,,,,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,160,124,,,,,,,109,,,,,,,,,,,,,,,,94,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
2,Агрыз (24 Горьк),799,1259,1555,8010,4665,8188,1573,1659,1745,1747,1811,1055,,890,788,1231,,925,2545,1223,698,2234,2096,1721,6610,572,1474,1652,2079,1131,1223,891,771,1549,,1458,972,1027,1257,1831,,1458,,1263,1268,1690,860,400,395,1076,1199,1817,1199,1881,179,1274,1248,1215,1368,1130,425,,849,,1698,,1841,1608,1855,2374,2347,1835,1008,1138,1929,1416,1339,1451,1458,1677,,1651,1954,1019,1654,718,,1677,1179,1129,1262,941,1816,825,2329,1677,1654,1663,1677,1677,1677,1678,998,3047,1868,337,,,,860,912,7874,,1957,,1575,704,1608,,2132,,1632,5391,1286,1304,2001,2221,2043,1630,1139,,1632,1957,1685,1388,1392,689,,2029,2325,3278,1207,1638,1368,2900,2150,1301,1963,2573,2357,1443,987,2325,1269,5659,897,,8024,1244,1239,1170,,4404,539,1641,1086,2087,952,583,2991,1464,,,7288,8204,1843,1130,7587,823,2181,1188,,,536,1651,823,531,575,1677,1677,817,307,2252,1078,1876,1102,
3,Азов (51 С-Кав),1396,1224,1164,9767,6422,9945,1865,2025,1864,1866,1069,1528,,1305,1567,2101,,1374,4302,1112,1297,402,3853,1840,8367,2549,2192,2000,3836,1174,1281,1306,1584,1762,,1077,1780,1224,2127,3588,,669,,1228,1233,2038,1159,2377,2372,1236,778,2283,2953,2094,2156,1149,1408,804,1951,1290,2034,,2402,,1397,,1198,1942,1974,4131,612,2048,1254,1335,2142,580,904,1570,1577,2025,,1350,40,1000,1551,1301,,2025,1550,1066,933,1811,207,1424,1086,2025,2002,2011,2025,2025,2025,936,979,4804,2216,1640,,,,1117,2889,9631,,2170,,1472,2681,1768,,3889,,771,7148,1657,2748,161,3978,126,843,1258,,1241,2421,1384,1331,1327,1288,,115,4082,5035,920,3395,1528,4657,233,1418,199,4330,4114,1603,990,561,1154,7416,2858,,9781,1091,1096,1135,,6161,1438,1340,1067,173,2706,1947,4748,1399,,,9045,9961,2191,1290,9344,2428,778,1811,,,1900,1893,2437,2508,2552,2025,2025,2434,1670,4009,1197,2338,1473,
4,Айвазовская (85 Крым),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
5,Акбаш (63 Кбш),981,1199,1649,8102,4757,8280,1836,1960,1839,1841,1749,1286,,1072,970,930,,1107,2637,1241,507,2043,2188,1815,6702,873,1775,1953,2171,1149,1032,1073,953,1737,,1504,671,1199,956,1923,,1349,,1203,1208,1991,751,701,696,1211,1008,2118,1288,2069,480,1310,1383,1106,1669,1265,726,,737,,1792,,1650,1909,1949,2466,2156,2023,817,1310,2117,1225,1232,1545,1552,1978,,1745,1763,910,1748,620,,1978,1418,1041,1174,640,1625,634,2138,1978,1955,1964,1978,1978,1978,1616,807,3139,2169,550,,,,669,1213,7966,,2145,,1669,1005,1743,,2224,,1523,5483,1525,1605,1810,2313,1852,1523,1233,,1726,2258,1779,1482,1486,498,,1838,2417,3370,1098,1730,1503,2992,1959,1395,1772,2665,2449,1578,796,2134,1315,5751,1193,,8116,1262,1257,1110,,4496,348,1735,895,1896,1041,282,3083,1558,,,7380,8296,2144,1265,7679,763,1990,1489,,,235,1868,772,832,876,1978,1978,769,580,2344,1172,2177,1341,
6,Аксарайская (61 Прив),1481,1438,1479,9412,6067,9590,2079,2239,2078,2080,1469,1742,,1519,1470,1570,,1588,3947,1326,942,1217,3498,2054,8012,2194,2406,2214,3481,1388,750,1520,1453,1976,,1301,1249,1438,1596,3233,,1069,,1442,1447,2252,978,2022,2017,1450,616,2497,2598,2308,1801,1363,1622,754,2165,1504,1937,,2047,,1622,,219,2156,2188,3776,725,2262,723,1549,2356,399,1118,1784,1791,2239,,1575,956,819,1776,1120,,2239,1764,1280,1147,1280,799,1069,707,2239,2216,2225,2239,2239,2239,1336,624,4449,2430,1285,,,,762,2534,9276,,2384,,1697,2326,1982,,3534,,1171,6793,1871,2787,984,3623,1045,1243,1472,,1556,2635,1609,1556,1552,933,,1031,3727,4680,1007,3040,1742,4302,1152,1634,946,3975,3759,1817,635,1244,1368,7061,2503,,9426,1305,1310,1349,,5806,1083,1565,536,1089,2351,1592,4393,1624,,,8690,9606,2405,1504,8989,2073,559,2025,,,1545,2107,2082,2153,2197,2239,2239,2079,1315,3654,1411,2552,1687,
7,Алапаевск (76 Сверд),1541,2001,2297,7469,4124,7647,2094,2180,2363,2365,2553,1576,,1632,1413,872,,1606,2004,1965,1440,2976,1555,2339,6069,452,1995,2173,1538,1873,1920,1633,1430,2070,,2200,1187,1756,898,1290,,2200,,2005,2010,2211,1602,483,484,1818,1941,2338,699,2402,700,2016,1935,1957,1889,1872,946,,358,,2440,,2583,2129,2473,1833,3089,2356,1705,1825,2450,2158,2081,2147,2154,2198,,2393,2696,1761,2396,1460,,2198,1700,1871,2004,1156,2558,1301,3071,2198,2175,2184,2198,2198,2198,2420,1740,2506,2389,1079,,,,1602,241,7333,,2478,,2317,121,2154,,1591,,2374,4850,1807,1825,2743,1680,2785,2372,1881,,2374,2478,2427,2130,2134,1431,,2771,1784,2737,1949,1097,2055,2359,2892,2043,2705,2032,1816,2130,1729,3067,2011,5118,356,,7483,1986,1981,1912,,3863,1281,2383,1828,2829,452,778,2450,2206,,,6747,7663,2364,1872,7046,332,2923,1709,,,825,2172,323,348,174,2198,2198,338,1049,1711,1820,2397,1623,
8,Александров (17 Моск),307,367,600,9116,5771,9294,599,759,648,650,919,225,,216,422,1840,,229,3651,331,956,1645,3202,624,7716,1486,889,734,3185,239,1218,217,439,496,,566,1519,79,1866,2937,,634,,371,376,772,800,1314,1309,156,1117,1017,2305,828,1093,382,142,763,648,156,847,,1955,,737,,1736,676,758,3480,1855,782,1170,32,876,1118,447,354,361,759,,690,1280,721,647,658,,759,247,237,370,1550,1450,1101,2224,759,736,745,759,759,759,786,916,4153,950,769,,,,1022,1826,8980,,904,,568,1672,502,,3238,,911,6497,354,1445,1404,3327,1369,738,247,,677,1155,730,433,437,965,,1355,3431,4384,533,2744,262,4006,1476,346,1442,3679,3463,337,905,1804,377,6765,2003,,9130,352,347,278,,5510,930,686,1004,1413,2058,1560,4097,509,,,8394,9310,925,156,8693,1929,2021,508,,,1513,627,1929,1445,1681,759,759,1923,799,3358,186,1072,170,
