Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,
,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ (в км) МЕЖДУ ТРАНЗИТНЫМИ ПУНКТАМИ,,,,,,,,,,,,,
Азербайджан,,,,,,,,,,,,,
,,Конечный пункт маршрута,,,,,,,,,,,
,,Акстафа,Алят,Астара,Баку-Товарная,Баладжары,Беюк-Кясик (эксп.),Гаджигабул,Джульфа,Османлы-Новые,Шарур (эксп.),Ширван,Ялама (эксп.)
№ п/п,Начальный пункт маршрута,1,2,3,4,5,6,7,8,9,10,11,12
1,Акстафа,0,372,539,454,441,47,329,705,356,842,344,633
2,Алят,372,0,243,82,69,419,43,409,60,546,48,261
3,Астара,539,243,0,325,312,586,210,532,183,669,195,504
4,Баку-Товарная,454,82,325,0,13,501,125,491,142,628,130,205
5,Баладжары,441,69,312,13,0,488,112,478,129,615,117,192
6,Беюк-Кясик (эксп.),47,419,586,501,488,0,376,752,403,889,391,680
7,Гаджигабул,329,43,210,125,112,376,0,376,27,513,15,304
8,Джульфа,705,409,532,491,478,752,376,0,349,137,361,670
9,Османлы-Новые,356,60,183,142,129,403,27,349,0,486,12,321
10,Шарур (эксп.),842,546,669,628,615,889,513,137,486,0,498,807
11,Ширван,344,48,195,130,117,391,15,361,12,498,0,309
12,Ялама (эксп.),633,261,504,205,192,680,304,670,321,807,309,0
