Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ (в км) МЕЖДУ ТРАНЗИТНЫМИ ПУНКТАМИ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Беларусь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Конечный пункт маршрута,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Алеща (эксп.),Андреевичи (рзд),Барановичи-Центральные,Белынковичи (эксп.),Беняконе (эксп.),Берестовица (рзд),Бигосово (эксп.),Бигосово,Брест-Восточный,Брест-Полесский,Брест-Северный (эксп.),Брест-Центральный (эксп.),Брест-Центральный,Брузги (эксп.),Витебск,Волковыск,Высоко-Литовск (эксп.),Высоко-Литовск,Гомель,Горынь (эксп.),Гродно,Гудогай (эксп.),Езерище (эксп.),Жабинка (эксп.),Жабинка,Жлобин,Закопытье (эксп.),Закопытье,Заольша (эксп.),Калинковичи,Кричев I,Крулевщизна,Лида,Лунинец,Лынтупы,Минск-Сортировочный,Могилев II,Молодечно,Мосты,Новобелицкая,Орша-Центральная,Осиновка (эксп.),Осиповичи I,Полоцк парк Громы,Полоцк,Поречье,Свислочь (эксп.),Свислочь,Словечно (эксп.),Тереховка (эксп.),Тереховка,Терюха (эксп.),Терюха,Хотислав (эксп.),Шестеровка (эксп.)
№ п/п,Начальный пункт маршрута,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
1,Алеща (эксп.),0,495,469,451,420,518,136,129,668,671,676,676,671,530,150,485,720,712,526,643,507,327,233,645,645,440,571,563,210,541,368,140,375,589,255,331,316,247,449,531,234,282,442,49,51,539,528,514,612,574,566,565,553,728,409
2,Андреевичи (рзд),495,0,132,657,165,23,533,526,331,334,339,339,334,127,547,10,383,375,533,305,104,328,629,308,308,447,578,570,606,429,574,355,120,252,470,270,473,248,46,538,486,537,340,446,448,136,33,19,500,581,573,572,560,391,615
3,Барановичи-Центральные,469,132,0,525,159,155,507,500,199,202,207,207,202,239,438,122,251,243,401,174,216,302,521,176,176,315,446,438,498,297,442,329,114,120,444,138,341,222,158,406,354,402,208,420,422,248,165,151,368,449,441,440,428,259,483
4,Белынковичи (эксп.),451,657,525,0,684,680,489,482,724,727,732,732,727,764,301,647,776,768,394,640,741,592,384,701,701,308,439,431,361,409,83,493,639,586,608,428,184,512,683,399,217,265,317,402,404,773,690,676,480,442,434,433,421,784,124
5,Беняконе (эксп.),420,165,159,684,0,188,458,451,358,361,366,366,361,200,472,155,410,402,560,333,177,253,555,335,335,474,605,597,532,456,601,280,45,279,395,257,500,173,119,565,473,521,367,371,373,209,198,184,527,608,600,599,587,418,642
6,Берестовица (рзд),518,23,155,680,188,0,556,549,354,357,362,362,357,150,570,33,406,398,556,329,127,351,653,331,331,470,601,593,630,452,597,378,143,275,493,293,496,271,69,561,509,557,363,469,471,159,56,42,523,604,596,595,583,414,638
7,Бигосово (эксп.),136,533,507,489,458,556,0,7,706,709,714,714,709,568,188,523,758,750,564,681,545,365,271,683,683,478,609,601,248,579,406,178,413,627,293,369,354,285,487,569,272,320,480,87,85,577,566,552,650,612,604,603,591,766,447
8,Бигосово,129,526,500,482,451,549,7,0,699,702,707,707,702,561,181,516,751,743,557,674,538,358,264,676,676,471,602,594,241,572,399,171,406,620,286,362,347,278,480,562,265,313,473,80,78,570,559,545,643,605,597,596,584,759,440
9,Брест-Восточный,668,331,199,724,358,354,706,699,0,3,8,8,3,438,637,321,52,44,527,279,415,501,720,23,23,503,572,564,697,402,641,528,313,225,643,337,540,421,357,532,553,601,407,619,621,447,364,350,473,575,567,566,554,60,682
10,Брест-Полесский,671,334,202,727,361,357,709,702,3,0,8,8,3,441,640,324,52,44,530,282,418,504,723,26,26,506,575,567,700,405,644,531,316,228,646,340,543,424,360,535,556,604,410,622,624,450,367,353,476,578,570,569,557,57,685
11,Брест-Северный (эксп.),676,339,207,732,366,362,714,707,8,8,0,10,5,446,645,329,54,42,535,287,423,509,728,31,31,511,580,572,705,410,649,536,321,233,651,345,548,429,365,540,561,609,415,627,629,455,372,358,481,583,575,574,562,65,690
12,Брест-Центральный (эксп.),676,339,207,732,366,362,714,707,8,8,10,0,5,446,645,329,54,46,535,287,423,509,728,31,31,511,580,572,705,410,649,536,321,233,651,345,548,429,365,540,561,609,415,627,629,455,372,358,481,583,575,574,562,65,690
13,Брест-Центральный,671,334,202,727,361,357,709,702,3,3,5,5,0,441,640,324,49,41,530,282,418,504,723,26,26,506,575,567,700,405,644,531,316,228,646,340,543,424,360,535,556,604,410,622,624,450,367,353,476,578,570,569,557,60,685
