Четверг 25 сен.2025г.  17:59,,,,,,,,,,
,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ (в км) МЕЖДУ ТРАНЗИТНЫМИ ПУНКТАМИ,,,,,,,,,,
Грузия,,,,,,,,,,
,,Конечный пункт маршрута,,,,,,,,
,,Батуми,Гантиади (эксп.),Гардабани (эксп.),Поти,Садахло (эксп.),Самтредиа,Сенаки,Тбилиси-Узловая,Хашури
№ п/п,Начальный пункт маршрута,1,2,3,4,5,6,7,8,9
1,Батуми,0,368,396,174,423,104,132,354,228
2,Гантиади (эксп.),368,0,556,278,583,264,236,514,388
3,Гардабани (эксп.),396,556,0,362,111,292,320,42,168
4,Поти,174,278,362,0,389,70,42,320,194
5,Садахло (эксп.),423,583,111,389,0,319,347,69,195
6,Самтредиа,104,264,292,70,319,0,28,250,124
7,Сенаки,132,236,320,42,347,28,0,278,152
8,Тбилиси-Узловая,354,514,42,320,69,250,278,0,126
9,Хашури,228,388,168,194,195,124,152,126,0
