Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ (в км) МЕЖДУ ТРАНЗИТНЫМИ ПУНКТАМИ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Казахстан,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Конечный пункт маршрута,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Актау-Порт,Актогай,Алимбет (эксп.),Алматы 1,Алтынколь (эксп.),Арыс 1,Астана-1,Бейнеу,Берлик I,Болашак (эксп.),Дины Нурпеисовой (рзд) (эксп.),Достык (эксп.),Екибастуз I,Елимай (обп) (эксп.),Ерейментау,Есиль,Жана-Есиль,Жана-Семей,Жарык,Жетыген,Зерновая (эксп.),Золотая Сопка (эксп.),Илецк I (эксп.),Кандыагаш,Караганда-Сортировочная,Караганды,Кокшетау I,Костанай,Куркамыс (эксп.),Курык-Порт,Кызылжар,Локоть (эксп. на Малиновое Озеро),Макат,Мангистау,Мойынты,Никельтау,Новоустькаменогорск,Оазис (рзд) (эксп.),Оскемен-1,Павлодар,Петропавловск (эксп.),Сарыагаш (эксп.),Сексеул,Семей,Семиглавый Мар (эксп.),Сороковая,Тараз,Тобол,Турксиб (эксп.),Шагыр (эксп.),Шалкар,Шар,Шымкент
№ п/п,Начальный пункт маршрута,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
1,Актау-Порт,0,2777,1313,2792,3128,1967,2400,408,2489,330,1118,3086,2682,1858,2515,2041,2072,3143,2038,2835,2242,2015,1389,1100,2182,2159,2260,1849,2931,77,1784,3267,708,4,2253,1235,3280,487,3292,2814,2455,2098,1072,3148,1770,2388,2249,1753,2366,2003,907,3129,2046
2,Актогай,2777,0,2356,557,807,1382,1101,2369,860,3099,2945,318,921,1870,1088,1477,1585,460,739,514,1755,1974,2432,2143,883,860,1397,1808,954,2846,993,587,2535,2773,524,2278,503,2448,515,837,1592,1513,1705,468,2813,1089,1100,1765,983,1418,1870,352,1303
3,Алимбет (эксп.),1313,2356,0,2371,2707,1546,1260,905,2068,1635,1015,2665,1566,701,1399,884,915,2027,1617,2414,1085,858,502,213,1478,1501,1103,692,1815,1382,1363,2151,605,1309,1832,78,2286,984,2298,1698,1298,1677,651,2032,883,1272,1828,596,1945,1582,486,2135,1625
4,Алматы 1,2792,557,2371,0,336,825,1318,2384,303,3114,2960,864,1478,2087,1433,1694,1802,1017,956,43,1972,2191,2447,2158,1100,1077,1614,2025,1511,2861,1210,1144,2550,2788,741,2293,1060,2463,1072,1394,1809,956,1720,1025,2828,1306,543,1982,426,861,1885,909,746
5,Алтынколь (эксп.),3128,807,2707,336,0,1161,1654,2720,639,3450,3296,1114,1728,2423,1769,2030,2138,1267,1292,293,2308,2527,2783,2494,1436,1413,1950,2361,1761,3197,1546,1394,2886,3124,1077,2629,1310,2799,1322,1644,2145,1292,2056,1275,3164,1642,879,2318,762,1197,2221,1159,1082
6,Арыс 1,1967,1382,1546,825,1161,0,1537,1559,522,2289,2135,1689,1819,2091,1652,1913,2021,1842,1175,868,2191,2248,1622,1333,1319,1296,1833,2082,2068,2036,1429,1969,1725,1963,960,1468,1885,1638,1897,1951,2028,131,895,1850,2003,1525,282,1986,399,36,1060,1734,79
7,Астана-1,2400,1101,1260,1318,1654,1537,0,1992,1015,2722,2119,1410,306,769,139,376,484,767,362,1361,654,873,1606,1317,218,241,296,707,555,2469,616,891,1709,2396,577,1182,1026,2071,1038,438,491,1668,1328,772,1987,12,1255,664,1138,1573,1493,875,1458
8,Бейнеу,408,2369,905,2384,2720,1559,1992,0,2081,730,710,2678,2274,1450,2107,1633,1664,2735,1630,2427,1834,1607,981,692,1774,1751,1852,1441,2523,477,1376,2859,300,404,1845,827,2872,79,2884,2406,2047,1690,664,2740,1362,1980,1841,1345,1958,1595,499,2721,1638
9,Берлик I,2489,860,2068,303,639,522,1015,2081,0,2811,2657,1167,1297,1784,1130,1391,1499,1320,653,346,1669,1888,2144,1855,797,774,1311,1722,1546,2558,907,1447,2247,2485,438,1990,1363,2160,1375,1429,1506,653,1417,1328,2525,1003,240,1679,123,558,1582,1212,443
10,Болашак (эксп.),330,3099,1635,3114,3450,2289,2722,730,2811,0,1440,3408,3004,2180,2837,2363,2394,3465,2360,3157,2564,2337,1711,1422,2504,2481,2582,2171,3253,301,2106,3589,1030,326,2575,1557,3602,809,3614,3136,2777,2420,1394,3470,2092,2710,2571,2075,2688,2325,1229,3451,2368
