Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ (в км) МЕЖДУ ТРАНЗИТНЫМИ ПУНКТАМИ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Латвия,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Конечный пункт маршрута,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Блокпост 401 км,Блокпост 524 км,Болдерая,Вайнеде (эксп.),Вентспилс,Глуда,Гулбене,Даугавпилс-Шкирошанас,Елгава,Земитаны (3 км Рига-Краста),Земитаны,Зилупе (эксп.),Иерики,Ильгюциемс,Индра (эксп.),Калети (эксп.),Карсава (эксп.),Крустпилс,Курцумс (рзд) (эксп.),Лиепая,Лугажи (эксп.),Мейтене (эксп.),Плявиняс,Приекуле,Разъезд 3 км,Резекне II,Резекне I,Реньге (эксп.),Рига-Краста,Торнякалнс,Тукумс II,Эглайне (эксп.),Яняварти
№ п/п,Начальный пункт маршрута,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
1,Блокпост 401 км,0,6,247,487,404,256,218,13,240,234,231,159,301,243,66,477,141,99,38,417,390,270,116,457,17,97,94,314,236,231,293,49,224
2,Блокпост 524 км,6,0,239,479,396,248,210,5,232,226,223,141,293,235,72,472,126,94,33,412,385,265,111,452,12,82,79,309,228,226,288,44,219
3,Болдерая,247,239,0,300,178,69,195,234,53,23,20,299,90,8,313,293,288,145,262,233,182,86,128,273,241,240,243,129,25,13,70,273,20
4,Вайнеде (эксп.),487,479,300,0,188,231,469,474,247,297,294,539,364,296,550,47,528,385,499,67,456,280,402,27,478,480,483,292,299,287,303,510,294
5,Вентспилс,404,396,178,188,0,180,355,391,164,183,180,456,250,174,470,287,445,302,419,121,342,197,288,161,398,397,400,241,185,173,108,430,180
6,Глуда,256,248,69,231,180,0,238,243,16,66,63,308,133,65,322,224,297,154,271,164,225,49,171,204,250,249,252,61,68,56,72,282,63
7,Гулбене,218,210,195,469,355,238,0,205,222,178,175,270,105,191,284,462,259,116,233,402,197,255,99,442,212,211,214,315,180,182,247,244,179
8,Даугавпилс-Шкирошанас,13,5,234,474,391,243,205,0,227,221,218,146,288,230,79,467,131,89,28,407,380,260,106,447,7,87,84,304,223,221,283,39,214
9,Елгава,240,232,53,247,164,16,222,227,0,50,47,292,117,49,306,240,281,138,255,180,209,33,155,220,234,233,236,77,52,40,56,263,47
10,Земитаны (3 км,234,226,23,297,183,66,178,221,50,0,3,286,73,19,300,290,275,132,249,230,165,83,115,270,228,230,227,127,2,10,75,260,7
,Рига-Краста),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Земитаны,231,223,20,294,180,63,175,218,47,3,0,283,70,16,297,287,273,129,246,227,162,80,112,267,225,224,227,124,5,7,72,257,4
12,Зилупе (эксп.),159,141,299,539,456,308,270,146,292,286,283,0,353,295,225,415,107,154,174,472,445,325,171,512,153,59,62,369,288,286,351,185,279
13,Иерики,301,293,90,364,250,133,105,288,117,73,70,353,0,86,367,357,325,199,316,297,92,150,182,337,295,294,297,194,75,77,142,327,74
14,Ильгюциемс,243,235,8,296,174,65,191,230,49,19,16,295,86,0,309,289,284,141,258,229,178,82,124,269,237,236,239,126,21,9,66,269,16
15,Индра (эксп.),66,72,313,550,470,322,284,79,306,300,297,225,367,309,0,429,214,168,101,484,459,339,185,526,86,166,163,383,302,300,362,112,293
16,Калети (эксп.),477,472,293,47,287,224,462,467,240,290,287,415,357,289,429,0,404,378,495,60,332,273,395,20,471,473,476,285,292,280,296,506,287
17,Карсава (эксп.),141,126,288,528,445,297,259,131,281,275,273,107,325,284,214,404,0,143,163,461,434,314,160,501,140,48,49,358,277,275,337,172,268
18,Крустпилс,99,94,145,385,302,154,116,89,138,132,129,154,199,141,168,378,143,0,117,318,291,171,17,358,96,95,98,215,134,132,194,128,125
19,Курцумс (рзд) (эксп.),38,33,262,499,419,271,233,28,255,249,246,174,316,258,101,495,163,117,0,435,408,288,134,475,21,115,112,332,251,249,311,53,242
20,Лиепая,417,412,233,67,121,164,402,407,180,230,227,472,297,229,484,60,461,318,435,0,389,213,335,40,414,413,416,225,232,220,236,446,227
21,Лугажи (эксп.),390,385,182,456,342,225,197,380,209,165,162,445,92,178,459,332,434,291,408,389,0,242,274,429,387,386,389,286,167,169,234,419,166
22,Мейтене (эксп.),270,265,86,280,197,49,255,260,33,83,80,325,150,82,339,273,314,171,288,213,242,0,188,253,267,266,269,110,85,73,89,299,80
23,Плявиняс,116,111,128,402,288,171,99,106,155,115,112,171,182,124,185,395,160,17,134,335,274,188,0,375,113,112,115,232,117,115,180,145,108
24,Приекуле,457,452,273,27,161,204,442,447,220,270,267,512,337,269,526,20,501,358,475,40,429,253,375,0,454,453,456,265,272,260,276,486,267
25,Разъезд 3 км,17,12,241,478,398,250,212,7,234,228,225,153,295,237,86,471,140,96,21,414,387,267,113,454,0,94,91,311,230,228,290,32,221
26,Резекне II,97,82,240,480,397,249,211,87,233,230,224,59,294,236,166,473,48,95,115,413,386,266,112,453,94,0,3,310,229,227,289,126,220
27,Резекне I,94,79,243,483,400,252,214,84,236,227,227,62,297,239,163,476,49,98,112,416,389,269,115,456,91,3,0,313,232,230,292,123,223
28,Реньге (эксп.),314,309,129,292,241,61,315,304,77,127,124,369,194,126,383,285,358,215,332,225,286,110,232,265,311,310,313,0,129,117,133,343,124
29,Рига-Краста,236,228,25,299,185,68,180,223,52,2,5,288,75,21,302,292,277,134,251,232,167,85,117,272,230,229,232,129,0,12,77,262,9
30,Торнякалнс,231,226,13,287,173,56,182,221,40,10,7,286,77,9,300,280,275,132,249,220,169,73,115,260,228,227,230,117,12,0,65,260,7
31,Тукумс II,293,288,70,303,108,72,247,283,56,75,72,351,142,66,362,296,337,194,311,236,234,89,180,276,290,289,292,133,77,65,0,322,72
32,Эглайне (эксп.),49,44,273,510,430,282,244,39,263,260,257,185,327,269,112,506,172,128,53,446,419,299,145,486,32,126,123,343,262,260,322,0,253
33,Яняварти,224,219,20,294,180,63,179,214,47,7,4,279,74,16,293,287,268,125,242,227,166,80,108,267,221,220,223,124,9,7,72,253,0
