Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ (в км) МЕЖДУ ТРАНЗИТНЫМИ ПУНКТАМИ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Литва,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Конечный пункт маршрута,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Бугяняй (эксп.),Вальчюнай,Вильнюс,Гайжюнай,Драугисте,Йонишкис (эксп.),Казлу-Руда,Кайшядорис,Каунас,Кибартай (эксп.),Клайпеда,Крятинга,Кужяй,Кяна (эксп.),Лянтварис,Мажейкяй (эксп.),Мажейкяй,Моцкава (эксп.),Пабраде,Пагегяй (эксп.),Паняряй,Радвилишкис,Рокишкис,Стасилос (эксп.),Турмантас (эксп.),Швянченеляй,Шяуляй
№ п/п,Начальный пункт маршрута,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
1,Бугяняй (эксп.),0,316,330,226,250,163,298,249,262,349,237,215,88,357,298,44,25,378,381,271,320,123,262,353,479,408,103
2,Вальчюнай,316,0,22,92,390,273,140,69,106,191,378,355,228,49,20,310,291,220,73,341,12,195,332,45,171,100,213
3,Вильнюс,330,22,0,90,404,287,154,67,104,205,392,369,242,36,18,324,305,234,51,355,9,193,346,50,149,78,227
4,Гайжюнай,226,92,90,0,300,183,72,23,36,123,288,265,138,133,72,220,201,152,141,251,80,103,242,129,253,168,123
5,Драугисте,250,390,404,300,0,237,372,323,336,423,12,35,162,431,372,250,231,452,455,85,394,196,336,427,553,482,177
6,Йонишкис (эксп.),163,273,287,183,237,0,255,206,219,306,225,202,75,314,255,157,138,335,338,228,277,80,219,310,436,365,60
7,Казлу-Руда,298,140,154,72,372,255,0,73,36,51,360,337,210,181,122,292,273,80,205,323,144,175,314,177,303,232,195
8,Кайшядорис,249,69,67,23,323,206,73,0,37,124,311,288,161,110,49,243,224,153,118,274,57,126,265,106,216,145,146
9,Каунас,262,106,104,36,336,219,36,37,0,87,324,301,174,147,86,256,237,116,155,287,94,139,278,143,253,182,159
10,Кибартай (эксп.),349,191,205,123,423,306,51,124,87,0,411,388,261,232,173,343,324,131,256,374,195,226,365,228,354,283,246
11,Клайпеда,237,378,392,288,12,225,360,311,324,411,0,23,150,422,360,232,213,440,443,91,382,185,324,415,541,470,165
12,Крятинга,215,355,369,265,35,202,337,288,301,388,23,0,127,399,337,209,190,417,420,114,359,162,301,392,518,447,142
13,Кужяй,88,228,242,138,162,75,210,161,174,261,150,127,0,269,210,82,63,290,293,183,232,35,174,265,391,320,15
14,Кяна (эксп.),357,49,36,133,431,314,181,110,147,232,422,399,269,0,61,351,332,261,114,382,53,237,373,86,212,141,254
15,Лянтварис,298,20,18,72,372,255,122,49,86,173,360,337,210,61,0,292,273,202,69,323,9,175,314,57,183,96,195
16,Мажейкяй (эксп.),44,310,324,220,250,157,292,243,256,343,232,209,82,351,292,0,19,372,375,265,314,117,256,347,473,402,97
17,Мажейкяй,25,291,305,201,231,138,273,224,237,324,213,190,63,332,273,19,0,353,356,246,295,98,237,328,454,383,78
18,Моцкава (эксп.),378,220,234,152,452,335,80,153,116,131,440,417,290,261,202,372,353,0,285,403,224,255,394,257,383,312,275
19,Пабраде,381,73,51,141,455,338,205,118,155,256,443,420,293,114,69,375,356,285,0,406,61,244,397,110,98,27,278
20,Пагегяй (эксп.),271,341,355,251,85,228,323,274,287,374,91,114,183,382,323,265,246,403,406,0,345,148,287,378,504,433,168
21,Паняряй,320,12,9,80,394,277,144,57,94,195,382,359,232,53,9,314,295,224,61,345,0,183,336,49,159,88,217
22,Радвилишкис,123,195,193,103,196,80,175,126,139,226,185,162,35,237,175,117,98,255,244,148,183,0,139,232,356,271,20
23,Рокишкис,262,332,346,242,336,219,314,265,278,365,324,301,174,373,314,256,237,394,397,287,336,139,0,369,495,424,159
24,Стасилос (эксп.),353,45,50,129,427,310,177,106,143,228,415,392,265,86,57,347,328,257,110,378,49,232,369,0,208,137,250
25,Турмантас (эксп.),479,171,149,253,553,436,303,216,253,354,541,518,391,212,183,473,454,383,98,504,159,356,495,208,0,71,376
26,Швянченеляй,408,100,78,168,482,365,232,145,182,283,470,447,320,141,96,402,383,312,27,433,88,271,424,137,71,0,305
27,Шяуляй,103,213,227,123,177,60,195,146,159,246,165,142,15,254,195,97,78,275,278,168,217,20,159,250,376,305,0
