Четверг 25 сен.2025г.  17:59,,,,,,,,,
,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ (в км) МЕЖДУ ТРАНЗИТНЫМИ ПУНКТАМИ,,,,,,,,,
Таджикистан,,,,,,,,,
,,Конечный пункт маршрута,,,,,,,
,,Душанбе I,Канибадам (эксп.),Канибадам,Пахтаабад (эксп.),Спитамен (эксп.),Хатлон,Хошады (эксп.),Шураб
№ п/п,Начальный пункт маршрута,1,2,3,4,5,6,7,8
1,Душанбе I,0,,,71,,,,
2,Канибадам (эксп.),,0,8,,109,,,61
3,Канибадам,,8,0,,101,,,53
4,Пахтаабад (эксп.),71,,,0,,,,
5,Спитамен (эксп.),,109,101,,0,,,154
6,Хатлон,,,,,,0,164,
7,Хошады (эксп.),,,,,,164,0,
8,Шураб,,61,53,,154,,,0
