Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ (в км) МЕЖДУ ТРАНЗИТНЫМИ ПУНКТАМИ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Туркменистан,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Конечный пункт маршрута,,,,,,,,,,,,,,,,,,,,,,,,,
,,Акяйла (эксп.),Артык,Ашгабат,Берекет,Бюзмейин,Газоджак (эксп.),Гыпджак,Дашогуз (эксп.),Дашогуз,Зергер,Имамназар (эксп.),Керки,Мары,Разъезд № 161 (эксп.),Сарахс (эксп.),Сарахс,Серхетабат (эксп.),Серхетяка (эксп.),Талимарджан (эксп.),Тахиаташ (эксп.),Туркменабад II,Туркменабад I,Туркменбаши I (эксп.),Туркменбаши II (эксп.),Фарап (эксп.),Этрек
№ п/п,Начальный пункт маршрута,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1,Акяйла (эксп.),0,644,550,256,515,1461,540,1090,1080,1125,1413,1329,893,1483,945,939,1215,700,1399,1140,1141,1136,524,513,1158,34
2,Артык,644,0,94,388,129,817,104,654,644,481,769,685,249,839,301,295,571,832,755,704,497,492,656,645,514,610
3,Ашгабат,550,94,0,294,58,911,10,560,550,575,863,779,343,933,395,389,665,738,849,610,591,586,562,551,608,516
4,Берекет,256,388,294,0,270,1205,284,834,824,869,1157,1073,637,1227,689,683,959,959,1143,884,885,880,268,257,902,222
5,Бюзмейин,515,129,58,270,0,969,25,562,552,610,921,837,401,,453,424,723,714,907,612,626,644,527,516,666,481
6,Газоджак (эксп.),1461,817,911,1205,969,0,921,1471,1461,336,624,540,568,694,772,766,890,1649,610,1521,330,325,1473,1462,347,1427
7,Гыпджак,540,104,10,284,25,921,0,550,540,585,873,789,353,943,405,399,675,728,859,600,601,596,552,541,618,506
8,Дашогуз (эксп.),1090,654,560,834,562,1471,550,0,10,1135,1423,1339,903,1493,955,949,1225,1278,1409,70,1151,1146,1102,1091,1168,1056
9,Дашогуз,1080,644,550,824,552,1461,540,10,0,1125,1413,1329,893,1483,945,939,1215,1268,1399,60,1141,1136,1092,1081,1158,1046
10,Зергер,1125,481,575,869,610,336,585,1135,1125,0,288,204,232,358,436,430,554,1313,274,1185,16,11,1137,1126,33,1091
11,Имамназар (эксп.),1413,769,863,1157,921,624,873,1423,1413,288,0,84,520,238,724,718,842,1601,154,1473,304,299,1425,1414,321,1379
12,Керки,1329,685,779,1073,837,540,789,1339,1329,204,84,0,436,154,640,634,758,1517,70,1389,220,215,1341,1330,237,1295
13,Мары,893,249,343,637,401,568,353,903,893,232,520,436,0,590,204,198,322,1081,506,953,248,243,905,894,265,859
14,Разъезд № 161 (эксп.),1483,839,933,1227,,694,943,1493,1483,358,238,154,590,0,794,788,912,1671,194,1543,374,369,1495,1484,391,1449
15,Сарахс (эксп.),945,301,395,689,453,772,405,955,945,436,724,640,204,794,0,6,526,1133,710,1005,452,447,957,946,469,911
16,Сарахс,939,295,389,683,424,766,399,949,939,430,718,634,198,788,6,0,520,1127,704,999,446,441,951,940,463,905
17,Серхетабат (эксп.),1215,571,665,959,723,890,675,1225,1215,554,842,758,322,912,526,520,0,1403,828,1275,570,565,1227,1216,587,1181
18,Серхетяка (эксп.),700,832,738,959,714,1649,728,1278,1268,1313,1601,1517,1081,1671,1133,1127,1403,0,1587,1328,1329,1324,712,701,1346,666
19,Талимарджан (эксп.),1399,755,849,1143,907,610,859,1409,1399,274,154,70,506,194,710,704,828,1587,0,1459,290,285,1411,1400,307,1365
20,Тахиаташ (эксп.),1140,704,610,884,612,1521,600,70,60,1185,1473,1389,953,1543,1005,999,1275,1328,1459,0,1201,1196,1152,1141,1218,1106
21,Туркменабад II,1141,497,591,885,626,330,601,1151,1141,16,304,220,248,374,452,446,570,1329,290,1201,0,5,1153,1143,27,1107
22,Туркменабад I,1136,492,586,880,644,325,596,1146,1136,11,299,215,243,369,447,441,565,1324,285,1196,5,0,1148,1137,22,1102
23,Туркменбаши I (эксп.),524,656,562,268,527,1473,552,1102,1092,1137,1425,1341,905,1495,957,951,1227,712,1411,1152,1153,1148,0,13,1170,490
24,Туркменбаши II (эксп.),513,645,551,257,516,1462,541,1091,1081,1126,1414,1330,894,1484,946,940,1216,701,1400,1141,1143,1137,13,0,1159,479
25,Фарап (эксп.),1158,514,608,902,666,347,618,1168,1158,33,321,237,265,391,469,463,587,1346,307,1218,27,22,1170,1159,0,1124
26,Этрек,34,610,516,222,481,1427,506,1056,1046,1091,1379,1295,859,1449,911,905,1181,666,1365,1106,1107,1102,490,479,1124,0
