Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ (в км) МЕЖДУ ТРАНЗИТНЫМИ ПУНКТАМИ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Узбекистан,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Конечный пункт маршрута,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Амузанг (эксп.),Андижан I,Бекабад (эксп.),Бухара I,Галаба (эксп.),Джумуртау (эксп.),Каракалпакстан (эксп.),Кашкадарья,Келес (эксп.),Коканд I,Кувасай (эксп.),Кудукли (эксп.),Кумкургон,Мароканд,Мискин,Навои,Найманкуль (эксп.),Найманкуль,Нишан (эксп.),Питняк (эксп.),Савай (эксп.),Сувонобод (эксп.),Султанабад (эксп.),Сурханобод (эксп.),Сырдарьинская (эксп.),Ташкент,Термез-Порт (эксп.),Термез,Учкурган (эксп.),Хаваст,Ханабад (эксп.),Ходжадавлет (эксп.),Шават (эксп.)
№ п/п,Начальный пункт маршрута,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
1,Амузанг (эксп.),0,771,589,350,49,1079,1774,205,921,635,748,208,127,332,944,433,1161,1159,131,987,820,589,820,131,635,711,66,54,777,552,838,448,1079
2,Андижан I,771,0,182,670,918,1213,1722,566,402,136,101,871,830,439,1078,577,1295,1293,640,1121,49,182,49,640,302,378,915,903,67,219,67,768,1213
3,Бекабад (эксп.),589,182,0,488,736,1031,1540,384,220,46,159,689,648,257,896,395,1113,1111,458,939,231,,231,458,120,195,733,721,188,37,249,586,1031
4,Бухара I,350,670,488,0,497,729,1238,145,634,534,647,450,409,231,594,93,811,809,219,637,719,488,719,219,534,610,494,482,676,451,737,98,729
5,Галаба (эксп.),49,918,736,497,0,1226,1735,352,882,782,895,169,88,479,1091,590,1308,1306,402,1134,967,736,967,92,782,858,27,15,924,699,985,595,1226
6,Джумуртау (эксп.),1079,1213,1031,729,1226,0,779,874,1177,1077,1190,1179,1138,774,135,636,352,350,948,130,1262,1031,1262,948,1077,1153,1223,1211,1219,994,1280,827,
7,Каракалпакстан (эксп.),1774,1722,1540,1238,1735,779,0,1383,1686,1586,1699,1728,1647,1283,644,1145,431,429,1457,687,1771,1540,1771,1797,1546,1662,1732,1720,1728,1503,1789,1336,779
8,Кашкадарья,205,566,384,145,352,874,1383,0,530,430,543,305,264,127,739,238,956,954,74,782,615,384,615,74,430,506,349,337,572,347,633,243,874
9,Келес (эксп.),921,402,220,634,882,1177,1686,530,0,266,379,875,794,403,1042,541,1259,1257,604,1085,451,220,451,944,122,24,879,867,408,183,469,732,1177
10,Коканд I,635,136,46,534,782,1077,1586,430,266,0,113,735,694,303,942,441,1159,1157,504,985,185,46,185,504,166,242,779,767,142,83,203,632,1077
11,Кувасай (эксп.),748,101,159,647,895,1190,1699,543,379,113,0,848,807,416,1055,554,1272,1270,617,1098,150,159,150,617,279,355,892,880,168,196,168,745,1190
12,Кудукли (эксп.),208,871,689,450,169,1179,1728,305,875,735,848,0,81,432,1044,543,1261,1259,231,1087,920,689,920,231,735,811,166,154,877,652,938,548,1179
13,Кумкургон,127,830,648,409,88,1138,1647,264,794,694,807,81,0,391,1003,502,1220,1218,314,1046,879,648,879,150,694,770,85,73,836,611,897,507,1138
14,Мароканд,332,439,257,231,479,774,1283,127,403,303,416,432,391,0,639,138,856,854,201,682,488,257,488,201,303,379,476,464,445,220,506,329,774
