Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ (в км) МЕЖДУ ТРАНЗИТНЫМИ ПУНКТАМИ,,,,,,,,,,,,,,
Эстония,,,,,,,,,,,,,,
,,Конечный пункт маршрута,,,,,,,,,,,,
,,Вайвара,Валга (эксп.),Койдула (эксп.),Лелле,Маарду,Мууга,Нарва (эксп.),Палдиски,Раквере,Таллинн,Тапа,Тарту,Юлемисте
№ п/п,Начальный пункт маршрута,1,2,3,4,5,6,7,8,9,10,11,12,13
1,Вайвара,0,306,308,249,189,196,25,233,81,185,108,221,178
2,Валга (эксп.),306,0,97,339,279,286,331,323,225,275,198,85,268
3,Койдула (эксп.),308,97,0,341,281,289,333,325,227,210,200,87,270
4,Лелле,249,339,341,0,82,89,274,126,168,72,141,254,71
5,Маарду,189,279,281,82,0,7,214,66,108,18,81,194,11
6,Мууга,196,286,289,89,7,0,221,73,115,25,88,201,18
7,Нарва (эксп.),25,331,333,274,214,221,0,258,106,210,133,246,203
8,Палдиски,233,323,325,126,66,73,258,0,152,48,125,238,55
9,Раквере,81,225,227,168,108,115,106,152,0,104,27,140,97
10,Таллинн,185,275,210,72,18,25,210,48,104,0,77,190,7
11,Тапа,108,198,200,141,81,88,133,125,27,77,0,113,70
12,Тарту,221,85,87,254,194,201,246,238,140,190,113,0,183
13,Юлемисте,178,268,270,71,11,18,203,55,97,7,70,183,0
